Siren,Employeur,Année,Somme des 10 plus hautes rémunérations brutes en euros,Nombre de femmes bénéficiaires,Nombre d'hommes bénéficiaires,Durée cumulée en nombre de mois,Commentaires,date_der_maj
21060004500012,Ville d'Antibes,2018,"1061375,50",2,8,120,,2021-01-14
21060004500012,Ville d'Antibes,2019,"1066400,13",3,7,120,,2021-01-14
21060004500012,Ville d'Antibes,2020,"1057109,56",3,7,119,,2021-01-14
