CANDIDATS,REMPLACANTS,PARTIS,VOIX OBTENUES 1er tour,VOIX OBTENUES 2d tour,% DE VOIX OBTENUES 1er tour,% DE VOIX OBTENUES 2d tour,canton,participation
,,,,,,,Les Portes du Médoc,
Violette DEMAREST Nicolas ONG,Véronique JUSOT Guy LATRY,Front de Gauche,1271,, 6.97%,,Les Portes du Médoc,49.14 % 
,,,,,,,,
Laurent LAGARDE Marie-Mauricette MARTINEZ,Edmond LAURENT Armelle JOUE,Front National,4258,, 23.35%,,Les Portes du Médoc,49.14 % 
,,,,,,,,
Christine BOST Stéphane SAUBUSSE,Roselyne TURBE Bruno FARENIAUX,Union de la Gauche,7773,9098, 42.63%,55.30% ,Les Portes du Médoc,49.14 % 
,,,,,,,,
Jean-Christophe GRELLETY Marie-Rose LUCMARIE,Christian DUBOUILH Jacqueline PIGNON,Front de Gauche,1182,, 6.76%,,Le Réolais et Les Bastides,57.74 % 
,,,,,,,,
Yves D'AMECOURT Sophie SELLIER,André BARNETT Aline MARTIN,Union de la Droite,5759,7198, 32.93%,38.16% ,Le Réolais et Les Bastides,57.74 % 
,,,,,,,,
Bernard CASTAGNET Christelle GUIONIE,Daniel BARBE Sabrina NIETRZEBA-CARLESSO,Parti Socialiste,5848,7443, 33.44%,39.46% ,Le Réolais et Les Bastides,57.74 % 
,,,,,,,,
Sandrine CHADOURNE Patrick DUVAL CAMPANA,Micheline CHEVALLIER Didier RIVA,Front National,4698,4223, 26.87%,22.39% ,Le Réolais et Les Bastides,57.74 % 
,,,,,,,,
Jean-Marie DARMIAN Anne-Laure FABRE-NADLER,Gérard POISBELAUD Mathilde FELD,Union de la Gauche,6850,8669, 39.70%,55.75% ,Créon, 52.74 % 
,,,,,,,,
Thomas BEX Sylvie-Marie DUPUY,Bertrand LECAT Bérangère BRILLON,Union de la Droite,4572,6882, 26.50%,44.25% ,Créon, 52.74 % 
,,,,,,,,
Gérard BELLOC Maryse BIGUERIE,Christophe COUSIN Annick DUBOIS,Front National,4027,, 23.34%,,Créon, 52.74 % 
,,,,,,,,
Catherine MARQUES Jean-Paul PETIT,Elodie ROBINE Noël FLORENTIN,Front de Gauche,1806,, 10.47%,,Créon, 52.74 % 
,,,,,,,,
Patrick BOUILLOT Christine TEXIER,Guy FAUFLING Nathalie RICHARD,Front de Gauche,2341,, 15.51%,,Villenave-d'Ornon,46.39 % 
,,,,,,,,
Vincent DOURNEAU Nathalie LE GUEN,Stéphane DIKOUME Nathalie CADET,Front National,2931,, 19.42%,,Villenave-d'Ornon,46.39 % 
,,,,,,,,
Marc KLEINHENTZ Françoise MATHA-STEPANI,Benjamin FOURNIER Christine BONNEFOY,Union de la Droite,3669,5357, 24.31%,39.41% ,Villenave-d'Ornon,46.39 % 
