Section,Parcelle ,Subdivision ,Lieu-dit,Nature,Surface,année,Parfor,Plan,exclusion,Soumission à l'ONF
E,242,a,Lagun,pins,"1,2916",2007,53,1,x,non
E,243,,Lagun,pins,"0,244",2007,53,1,x,non
E,264,b,Lagun,pins,"0,1908",2007,53,1,x,non
E,272,b,Lagun,pins,"7,2928",2004,54,1,x,non
E,272,a,Lagun,pins,"1,5739",1981,"55,1",1,x,non
E,272,c,Lagun,pins,"2,2639",1981,"55,2",1,x,non
E,272,d,Lagun,pins,"0,2977",CR,"55,3",1,x,non
E,251,,Lagun,pins,"1,22",1960,"56,1",1,x,non
E,274,a,Lagun Ouest,pins,"7,1679",1960,"56,1",1,x,non
E,275,,Lagun Ouest,pins,"0,06",1960,"56,1",1,x,non
E,274,c,Lagun Ouest,pins,"1,6994",1971,"56,2",1,x,non
E,274,b,Lagun Ouest,pins,"0,9127",CR,"56,3",1,x,non
E,525,c,Moulin,Bor,"1,799",,5046,1,x,non
E,536,b,Moulin,emprise,"0,3844",,5057,1,x,non
E,552,d,Moulin,emprise,"0,563",,5057,1,x,non
E,561,b,Champaou,emprise,"0,5214",,5057,1,x,non
E,552,d,Moulin,aire,"0,5923",,5063,1,x,non
E,561,d,Champaou,aire,"3,2174",1998,5063,1,x,non
E,191,b,Moulin,emprise,"0,0846",,5057,1,x,non
E,239,b,Champaou,emprise,"0,04",,5057,1,x,non
E,240,b,Champaou,emprise,"0,09",,5057,1,x,non
E,248,b,Lagun,emprise,"0,1697",,5057,1,x,non
E,272,e,Lagun,emprise,"0,2917",,5057,1,x,non
E,463,,moulin,lac,1,,5060,1,,non
D,240,b,pouchouta,emprise,"0,5016",,5057,2A,x,non
D,173,g,Rioulèbe,pins,"1,4796",1947,"9,2",3B,x,non
D,173,d,Rioulèbe,pins,"5,0978",1962,"9,1",3B,x,non
D,173,c,Rioulèbe,pins,"3,2233",1947,"9,2",3B,x,non
D,174,b,Rioulèbe,pins,"0,0366",1947,"9,2",3B,x,non
D,173,b,Rioulèbe,pins,"7,085",1988,10,3B,x,non
D,250,a,Rioulèbe,pins,"3,7391",1988,10,3B,x,non
D,251,b,Rioulèbe,pins,"0,565",1988,10,3B,x,non
D,250,c,Rioulèbe,pins,"6,1707",1960,"11,1",3B,x,non
D,250,b,Rioulèbe,pins,"4,2404",1947,"11,2",3B,x,non
D,250,d,Rioulèbe,pins,"0,9473",1947,"11,2",3B,x,non
D,166,c,Rioulèbe,emprise,"1,26",,5058,3B,x,non
D,167,b,Rioulèbe,emprise,"0,49",,5058,3B,x,non
D,168,c,Rioulèbe,emprise,"1,3421",,5058,3B,x,non
D,174,a,Rioulèbe,emprise,"0,9234",,5058,3B,x,non
D,172,,Rioulèbe,aire,"0,01",,5063,3B,x,non
E,320,b,Lagun Ouest,emprise,"0,0621",,5057,1,,non
D,173,i,Rioulèbe,Tsi,"0,1224",,5,3B,x,non
D,258,d,Rioulèbe,Tsi,"0,11",,5,3B,x,non
D,258,e,Rioulèbe,Tsi,"0,43",,5,3B,x,non
