Année ;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Postes budgétaires;28;28;32;32;34;34;37;37;37;37;37;42;46;50;54;55;55;56;57;57;58;70;74;76;80;83;95;105;120;132;148;159;171;178;185;192;198;199;200;215;225
ETPT;;;;;;;;;;;;;;;;;;;;;;;;;80;85;90;100;113;126;140;153;165;175;182;189;195;198;199;208;220
