FID,Classe,SHAPE_Length,SHAPE_Area
1,65,181.660478834102,1220.00577011426
2,65,182.730541644803,1769.36972447586
3,65,183.700219201651,1812.25684805026
4,65,205.468292371659,1895.18922606352
5,65,209.572333069884,1979.35118160611
6,65,226.844407775479,1196.47606578666
7,65,238.700029392006,1216.68314494754
8,65,117.008662345839,740.083592809775
9,65,30078.2203485843,714187.709305056
