"Brocas : accidents de la route entre 2005 et 2011",
"Données 2005-2011","Brocas"
"Nombre total d'accidents",5
"Nombre de personnes tuées",0
"Nombre de personnes indemnes",3
"Nombre de personnes blessées",7
"- dont blessés graves",6
"- dont blessés légers",1
