Code du département,Libellé du département,Code de la circonscription,Libellé de la circonscription,Code de la commune,Libellé de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Nuance,Voix,% Voix/Ins,% Voix/Exp
33,Gironde,4,4ème circonscription,3,Ambarès-et-Lagrave,8,1321,790,"59,8",531,"40,2",7,"0,53","1,32",3,"0,23","0,56",521,"39,44","98,12",2,F,BRIVARY,Anne-Isabelle,EXG,3,"0,23","0,58",10,F,HÉRAUD,Christine,EXG,2,"0,15","0,38",7,F,BAL,Berivan,COM,10,"0,76","1,92",8,F,BESSON,Maud,FI,68,"5,15","13,05",1,M,DAVID,Alain,SOC,79,"5,98","15,16",3,F,DESVALOIS,Laure,ECO,23,"1,74","4,41",5,M,GILLES,Jean-Louis,DIV,3,"0,23","0,58",11,F,DAUMAND,Daphné,DIV,8,"0,61","1,54",9,M,S'KALLI-BOUAZIZA,Aziz,REM,167,"12,64","32,05",12,M,LAPORTE,Hubert,UDI,69,"5,22","13,24",4,F,HOSTIER,Martine,DLF,4,"0,3","0,77",6,M,HADON,Serge,FN,85,"6,43","16,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,4,4ème circonscription,3,Ambarès-et-Lagrave,9,848,466,"54,95",382,"45,05",5,"0,59","1,31",2,"0,24","0,52",375,"44,22","98,17",2,F,BRIVARY,Anne-Isabelle,EXG,5,"0,59","1,33",10,F,HÉRAUD,Christine,EXG,1,"0,12","0,27",7,F,BAL,Berivan,COM,9,"1,06","2,4",8,F,BESSON,Maud,FI,58,"6,84","15,47",1,M,DAVID,Alain,SOC,50,"5,9","13,33",3,F,DESVALOIS,Laure,ECO,7,"0,83","1,87",5,M,GILLES,Jean-Louis,DIV,5,"0,59","1,33",11,F,DAUMAND,Daphné,DIV,4,"0,47","1,07",9,M,S'KALLI-BOUAZIZA,Aziz,REM,105,"12,38",28,12,M,LAPORTE,Hubert,UDI,59,"6,96","15,73",4,F,HOSTIER,Martine,DLF,4,"0,47","1,07",6,M,HADON,Serge,FN,68,"8,02","18,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,4,4ème circonscription,3,Ambarès-et-Lagrave,10,1087,561,"51,61",526,"48,39",6,"0,55","1,14",3,"0,28","0,57",517,"47,56","98,29",2,F,BRIVARY,Anne-Isabelle,EXG,3,"0,28","0,58",10,F,HÉRAUD,Christine,EXG,1,"0,09","0,19",7,F,BAL,Berivan,COM,20,"1,84","3,87",8,F,BESSON,Maud,FI,97,"8,92","18,76",1,M,DAVID,Alain,SOC,63,"5,8","12,19",3,F,DESVALOIS,Laure,ECO,15,"1,38","2,9",5,M,GILLES,Jean-Louis,DIV,1,"0,09","0,19",11,F,DAUMAND,Daphné,DIV,7,"0,64","1,35",9,M,S'KALLI-BOUAZIZA,Aziz,REM,147,"13,52","28,43",12,M,LAPORTE,Hubert,UDI,73,"6,72","14,12",4,F,HOSTIER,Martine,DLF,9,"0,83","1,74",6,M,HADON,Serge,FN,81,"7,45","15,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,4,4ème circonscription,3,Ambarès-et-Lagrave,11,789,408,"51,71",381,"48,29",7,"0,89","1,84",0,0,0,374,"47,4","98,16",2,F,BRIVARY,Anne-Isabelle,EXG,6,"0,76","1,6",10,F,HÉRAUD,Christine,EXG,2,"0,25","0,53",7,F,BAL,Berivan,COM,4,"0,51","1,07",8,F,BESSON,Maud,FI,53,"6,72","14,17",1,M,DAVID,Alain,SOC,40,"5,07","10,7",3,F,DESVALOIS,Laure,ECO,12,"1,52","3,21",5,M,GILLES,Jean-Louis,DIV,1,"0,13","0,27",11,F,DAUMAND,Daphné,DIV,5,"0,63","1,34",9,M,S'KALLI-BOUAZIZA,Aziz,REM,106,"13,43","28,34",12,M,LAPORTE,Hubert,UDI,63,"7,98","16,84",4,F,HOSTIER,Martine,DLF,5,"0,63","1,34",6,M,HADON,Serge,FN,77,"9,76","20,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,4,4ème circonscription,4,Ambès,1,915,544,"59,45",371,"40,55",7,"0,77","1,89",2,"0,22","0,54",362,"39,56","97,57",2,F,BRIVARY,Anne-Isabelle,EXG,1,"0,11","0,28",10,F,HÉRAUD,Christine,EXG,2,"0,22","0,55",7,F,BAL,Berivan,COM,26,"2,84","7,18",8,F,BESSON,Maud,FI,60,"6,56","16,57",1,M,DAVID,Alain,SOC,29,"3,17","8,01",3,F,DESVALOIS,Laure,ECO,7,"0,77","1,93",5,M,GILLES,Jean-Louis,DIV,2,"0,22","0,55",11,F,DAUMAND,Daphné,DIV,5,"0,55","1,38",9,M,S'KALLI-BOUAZIZA,Aziz,REM,93,"10,16","25,69",12,M,LAPORTE,Hubert,UDI,56,"6,12","15,47",4,F,HOSTIER,Martine,DLF,4,"0,44","1,1",6,M,HADON,Serge,FN,77,"8,42","21,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,4,4ème circonscription,4,Ambès,2,762,427,"56,04",335,"43,96",8,"1,05","2,39",3,"0,39","0,9",324,"42,52","96,72",2,F,BRIVARY,Anne-Isabelle,EXG,0,0,0,10,F,HÉRAUD,Christine,EXG,4,"0,52","1,23",7,F,BAL,Berivan,COM,9,"1,18","2,78",8,F,BESSON,Maud,FI,48,"6,3","14,81",1,M,DAVID,Alain,SOC,40,"5,25","12,35",3,F,DESVALOIS,Laure,ECO,9,"1,18","2,78",5,M,GILLES,Jean-Louis,DIV,5,"0,66","1,54",11,F,DAUMAND,Daphné,DIV,2,"0,26","0,62",9,M,S'KALLI-BOUAZIZA,Aziz,REM,88,"11,55","27,16",12,M,LAPORTE,Hubert,UDI,50,"6,56","15,43",4,F,HOSTIER,Martine,DLF,4,"0,52","1,23",6,M,HADON,Serge,FN,65,"8,53","20,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,4,4ème circonscription,4,Ambès,3,525,327,"62,29",198,"37,71",4,"0,76","2,02",1,"0,19","0,51",193,"36,76","97,47",2,F,BRIVARY,Anne-Isabelle,EXG,3,"0,57","1,55",10,F,HÉRAUD,Christine,EXG,0,0,0,7,F,BAL,Berivan,COM,3,"0,57","1,55",8,F,BESSON,Maud,FI,49,"9,33","25,39",1,M,DAVID,Alain,SOC,18,"3,43","9,33",3,F,DESVALOIS,Laure,ECO,4,"0,76","2,07",5,M,GILLES,Jean-Louis,DIV,0,0,0,11,F,DAUMAND,Daphné,DIV,4,"0,76","2,07",9,M,S'KALLI-BOUAZIZA,Aziz,REM,34,"6,48","17,62",12,M,LAPORTE,Hubert,UDI,36,"6,86","18,65",4,F,HOSTIER,Martine,DLF,1,"0,19","0,52",6,M,HADON,Serge,FN,41,"7,81","21,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,8,8ème circonscription,5,Andernos-les-Bains,1,986,458,"46,45",528,"53,55",5,"0,51","0,95",2,"0,2","0,38",521,"52,84","98,67",2,F,TEXIER,Solange,EXG,2,"0,2","0,38",10,F,TRANNOY,Danielle,COM,4,"0,41","0,77",3,F,COTI,Cécile,FI,52,"5,27","9,98",9,M,PRADAYROL,Pierre,SOC,17,"1,72","3,26",11,M,DUBOT,Nicolas,ECO,20,"2,03","3,84",8,F,COULAIS,Fabienne,DIV,2,"0,2","0,38",1,F,PANONACLE,Sophie,REM,234,"23,73","44,91",5,M,FOULON,Yves,LR,122,"12,37","23,42",6,F,BEY,Anny,DVD,15,"1,52","2,88",7,F,LE PAGE,Sophie,DLF,12,"1,22","2,3",4,M,LAMARA,Laurent,FN,41,"4,16","7,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,8,8ème circonscription,5,Andernos-les-Bains,2,976,445,"45,59",531,"54,41",3,"0,31","0,56",2,"0,2","0,38",526,"53,89","99,06",2,F,TEXIER,Solange,EXG,1,"0,1","0,19",10,F,TRANNOY,Danielle,COM,8,"0,82","1,52",3,F,COTI,Cécile,FI,47,"4,82","8,94",9,M,PRADAYROL,Pierre,SOC,28,"2,87","5,32",11,M,DUBOT,Nicolas,ECO,26,"2,66","4,94",8,F,COULAIS,Fabienne,DIV,4,"0,41","0,76",1,F,PANONACLE,Sophie,REM,240,"24,59","45,63",5,M,FOULON,Yves,LR,117,"11,99","22,24",6,F,BEY,Anny,DVD,8,"0,82","1,52",7,F,LE PAGE,Sophie,DLF,11,"1,13","2,09",4,M,LAMARA,Laurent,FN,36,"3,69","6,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,8,8ème circonscription,5,Andernos-les-Bains,3,1073,562,"52,38",511,"47,62",6,"0,56","1,17",4,"0,37","0,78",501,"46,69","98,04",2,F,TEXIER,Solange,EXG,7,"0,65","1,4",10,F,TRANNOY,Danielle,COM,5,"0,47",1,3,F,COTI,Cécile,FI,74,"6,9","14,77",9,M,PRADAYROL,Pierre,SOC,18,"1,68","3,59",11,M,DUBOT,Nicolas,ECO,31,"2,89","6,19",8,F,COULAIS,Fabienne,DIV,6,"0,56","1,2",1,F,PANONACLE,Sophie,REM,203,"18,92","40,52",5,M,FOULON,Yves,LR,90,"8,39","17,96",6,F,BEY,Anny,DVD,19,"1,77","3,79",7,F,LE PAGE,Sophie,DLF,13,"1,21","2,59",4,M,LAMARA,Laurent,FN,35,"3,26","6,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
