"nb_ucd","nb_doses","type_de_vaccin","date"
80723,403615,"Pfizer","2021-01-22"
1563,15630,"Moderna","2021-01-22"
76506,459036,"Pfizer","2021-01-24"
1365,13650,"Moderna","2021-01-24"
75279,451674,"Pfizer","2021-01-31"
4128,41280,"Moderna","2021-01-31"
