"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"24","37","37261","2019","03726119T0121","90","2",,"SAS ARC & PIERRE","75249650500021","10-14","Rue","Jean Perrin","Les Minimes",,"17000","LA ROCHELLE",,"100","12  1","Rue","Berthelot",,,"37000","TOURS",,"0063DY","0065DY","0066DY",1,1615,,,,8,16,14,7,2,0,0,0,47,47,,,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,686,2400,0,0,"14",2019-08-31,,
"24","37","37274","2019","0372741950003","90","2",,,,,,"La Coudraie",,,"37370","VILLEBOURG",,"100",,"Lieu-","La Salle",,,"37370","VILLEBOURG",,"0044ZN",,,1,2102,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,55,56,0,0,0,"14",2019-08-31,,
"84","38","38001","2019","0380011910008","90","2","SARL","Les Maisons Passions","84850109400017","27b",,"rue Gambetta",,,"38490","LES ABRETS EN DAUPHINE",,"100","29/31",,"rue Gambetta",,,"38490","LES ABRETS EN DAUPHINE",,"177AN","178AN","179AN",2,2402,,,,0,2,8,0,0,0,1,0,10,10,"3","2",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,284,637,0,70,214,"14",2019-08-31,"2019-08-05",
"84","38","38001","2019","0380011910033","90","2",,"SCI SMCI","81132284100016","3",,"rue du Gresivaudan",,,"38290","LA VERPILLIERE",,"100",,,"rue de la Liberte",,,"38490","LES ABRETS EN DAUPHINE",,"452AS","454AS",,1,1152,,,,0,0,6,0,0,0,0,0,6,6,"3",,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,425,0,0,0,"7",2019-08-31,,
"84","38","38001","2019","0380011910036","90","2",,"LES MAISONS PASSIONS","82530603800027","27B",,"rue Gambetta",,,"38490","LES ABRETS EN DAUPHINE",,"100","132",,"rue du 11 Novembre","Fitilieu",,"38490","LES ABRETS EN DAUPHINE",,"448AC",,,1,1030,,,,0,3,5,0,0,0,0,0,8,8,"2",,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,494,0,0,0,"14",2019-08-31,,
"84","38","38013","2019","0380131920020","90","2",,,,"185","Chemi","DES HAIES",,,"38140","CHARNECLES",,"100",,"Route","DE LYON",,,"38140","APPRIEU",,"1144AK",,,1,0,,,,0,0,0,1,0,0,0,1,0,1,,,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,148,0,0,0,"5",2019-08-31,,
"84","38","38013","2019","0380131920021","90","2",,,,"41","Rue","DE LA BATTERIE",,,"69500","BRON",,"100",,"Impas","DES ACACIAS","LES COTES DE LA ROBERTIERE",,"38140","APPRIEU",,"0155AE","0154AE","0138AE",1,5803,,,,0,0,0,0,0,1,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,129,0,0,0,"5",2019-08-31,,
"84","38","38022","2019","0380221910029","90","2",,,,,,"1 route du Perticoz",,,"38630","LES AVENIERES VEYRINS-THUELLIN",,"100","1",,"ROUTE DU PERTICOZ",,,"38630","LES AVENIERES VEYRINS-THUELLIN",,"15750D",,,1,2238,,,,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,109,40,0,0,0,"4",2019-08-31,,
"84","38","38030","2019","0380301920007","90","2","CNBS","COMBE","85237346300011","405","Chemi","DU CHAMP DU REY",,,"38140","BEAUCROISSANT",,"100",,"Chemi","DU CHAMP DU REY",,,"38140","BEAUCROISSANT",,"0060AM","0061AM","0062AM",1,830,,,,0,0,0,2,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,166,0,0,0,"5",2019-08-31,,
"84","38","38034","2019","0380341910013","32","2",,"SCI FONTEYMONT",,"1910",,"route de Marcollin",,,"26210","LENS LESTANG",,"100","1",,"RTE DE VIENNE",,,"38270","BEAUREPAIRE",,"469ZM",,,2,3173,,,,0,1,1,1,0,0,0,0,3,3,"2","2",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,17,245,0,0,"14",2019-08-31,"2019-07-15",
