Site,Code,Libellé DP,adresse,Numéro interne,Politique publique,Catégorie de sites,Date création,Statut,latitude,longitude
MAZERES RELAIS-DE-PRÊT-BDP,S1606,MAZERES RELAIS-DE-PRÊT-BDP S1606,7 Le Bourg 33210 Mazères,782082,02 Cohésion vie sociale et épanouissement,,29/07/2004,locataire,44.495042,-0.258645
SABLONS CRD-AIRE,S1694,SABLONS CRD-AIRE S1694,Le Port de Guîtres 33910 Sablons,989054,05 Mobilité,,09/09/2008,propriétaire,45.037221,-0.185215
LORMONT AS GAROSSES,S1697,LORMONT AS GAROSSES S1697,1 Rue des Garosses 33310 Lormont,989147,08 Solidarité autonomie et santé,,23/09/2008,locataire,44.876869,-0.521547
SAUCATS ENS RESERVE-NATURELLE-GEOLOGIQUE,S1711,SAUCATS ENS RESERVE-NATURELLE-GEOLOGIQUE S1711,GIEU 33650 Saucats,985615,07 Protection valorisation environnement,,14/04/2008,propriétaire,44.655878,-0.587479
LANGON ADMIN-DDTM,S1708,LANGON ADMIN-DDTM S1708,15 BIS Cours des Fosses 33210 Langon,995234,06 Performance de collectivité,,20/01/2009,propriétaire,44.554943,-0.247336
ST-LOUIS-DE-MONTERRAND ENS PALUS,S1736,ST-LOUIS-DE-MONTERRAND ENS PALUS S1736,,1008117,07 Protection valorisation environnement,,04/06/2009,propriétaire,,
BORDEAUX PRE ARMAGNAC,S1773,BORDEAUX PRE ARMAGNAC S1773,60 Rue d'Armagnac 33800 Bordeaux,1262061,08 Solidarité autonomie et santé,,28/06/2012,propriétaire,44.820942,-0.550146
ST-MORILLON BDP RELAIS-DE-PRÊT,S1746,ST-MORILLON BDP RELAIS-DE-PRÊT S1746,,1174248,02 Cohésion vie sociale et épanouissement,,28/07/2010,locataire,,
ST-AVIT-ST-NAZAIRE CRD-CE,S1809,ST-AVIT-ST-NAZAIRE CRD-CE S1809,LA GUERENNE 33220 Saint-Avit-Saint-Nazaire,1367954,05 Mobilité,,19/05/2015,propriétaire,44.841813,0.252235
BEAUTIRAN ENS ARTIGUES-DE-FRAYCHE,S1792,BEAUTIRAN ENS ARTIGUES-DE-FRAYCHE S1792,Rue Crabey 33640 Beautiran,1354012,07 Protection valorisation environnement,,18/02/2014,propriétaire,44.705101,-0.452031
LANGOIRAN MECS GARDERA,,LANGOIRAN MECS GARDERA ,,1381663,,,15/11/2002,,,
LIGNAN GARE,,LIGNAN GARE ,,1373360,,,29/01/2002,,,
LA-SAUVE GARE,,LA-SAUVE GARE ,,1379236,,,29/01/2002,,,
BEGLES CLG PABLO-NÉRUDA,,BEGLES CLG PABLO-NÉRUDA ,,1378437,,,16/06/2000,,,
GUJAN-MESTRAS PORT MOLLE,S0788,GUJAN-MESTRAS PORT MOLLE S0788,,97546,05 Mobilité,,20/04/2001,propriétaire,,
ANDERNOS-LES-BAINS PORT CENTRE,S0782,ANDERNOS-LES-BAINS PORT CENTRE S0782,Andernos-les-Bains,97550,05 Mobilité,,20/04/2001,propriétaire,44.742448,-1.090931
JAU-DIGNAC-LOIRAC PORT RICHARD,S0787,JAU-DIGNAC-LOIRAC PORT RICHARD S0787,Meric 33590 Jau-Dignac-et-Loirac,97554,05 Mobilité,,20/04/2001,propriétaire,45.40933,-0.998178
MARCENAIS CONDUITE-EAU-BLAYAIS,S0807,MARCENAIS CONDUITE-EAU-BLAYAIS S0807,Favereau 33620 Marcenais,97569,05 Mobilité,,22/05/2001,locataire,45.060028,-0.336026
LATRESNE GARE CASTERA,S0828,LATRESNE GARE CASTERA S0828,8 Avenue de la Libération 33360 Latresne,97587,06 Performance de collectivité,,22/06/2001,propriétaire,44.783321,-0.495988
PRIGNAC-MARCAMPS ENS PALUS-DU-MORON,S0657,PRIGNAC-MARCAMPS ENS PALUS-DU-MORON S0657,Prignac-et-Marcamps,97481,07 Protection valorisation environnement,,12/02/2001,propriétaire,45.032351,-0.494302
CAPTIEUX DFCI,S0748,CAPTIEUX DFCI S0748,Rue de la Gare 33840 Captieux,97508,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.291817,-0.258879
CESTAS DFCI,S0750,CESTAS DFCI S0750,2 Chemin de la Croix d'Hins 33610 Cestas,97510,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.743428,-0.688203
ST-SYMPHORIEN DFCI,S0757,ST-SYMPHORIEN DFCI S0757,Rue de l'Église 33113 Saint-Léger-de-Balson,97517,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.433089,-0.466209
VENDAYS DFCI,S0761,VENDAYS DFCI S0761,3 Passage des Pompiers 33930 Vendays-Montalivet,97521,07 Protection valorisation environnement,,10/04/2001,propriétaire,45.354376,-1.05927
LESPARRE-MEDOC CLG LES-LESQUES,S0020,LESPARRE-MEDOC CLG LES-LESQUES S0020,1 Avenue Jean Moulin 33340 Lesparre-Médoc,87139,03 Collège et éducation,,16/06/2000,propriétaire,45.30021,-0.928507
PAREMPUYRE CLG PORTE-DU-MÉDOC,S0042,PAREMPUYRE CLG PORTE-DU-MÉDOC S0042,1 Avenue des Sports 33290 Parempuyre,87145,03 Collège et éducation,,16/06/2000,propriétaire,44.94696,-0.60058
LE-BOUSCAT CLG AUSONE,S0064,LE-BOUSCAT CLG AUSONE S0064,,87150,03 Collège et éducation,,16/06/2000,propriétaire,,
ST-MEDARD-EN-JALLES CLG FRANÇOIS-MAURIAC,S0083,ST-MEDARD-EN-JALLES CLG FRANÇOIS-MAURIAC S0083,131 Avenue Montaigne 33160 Saint-Médard-en-Jalles,87159,03 Collège et éducation,,16/06/2000,propriétaire,44.893863,-0.712014
ARCACHON CLG MARIE-BARTETTE,S0109,ARCACHON CLG MARIE-BARTETTE S0109,9 Avenue Roland Dorgeles 33120 Arcachon,87172,03 Collège et éducation,,16/06/2000,propriétaire,44.650779,-1.16028
GUJAN-MESTRAS CLG CHANTE-CIGALE,S0124,GUJAN-MESTRAS CLG CHANTE-CIGALE S0124,21 Allée Pierre Corneille 33470 Gujan-Mestras,87177,03 Collège et éducation,,16/06/2000,propriétaire,44.621819,-1.060666
LA-TESTE-DE-BUCH CLG HENRI-DHEURLE,S0125,LA-TESTE-DE-BUCH CLG HENRI-DHEURLE S0125,9 Rue Pierre de Coubertin 33260 La Teste-de-Buch,87178,03 Collège et éducation,,16/06/2000,propriétaire,44.63078,-1.135637
TALENCE CLG VICTOR-LOUIS,S0151,TALENCE CLG VICTOR-LOUIS S0151,52 Avenue de Thouars 33400 Talence,87189,03 Collège et éducation,,16/06/2000,propriétaire,44.798953,-0.592376
ST-ANDRE-DE-CUBZAC CLG LA-GAROSSE,S0168,ST-ANDRE-DE-CUBZAC CLG LA-GAROSSE S0168,Allée de la Garosse 33240 Saint-André-de-Cubzac,87195,03 Collège et éducation,,16/06/2000,propriétaire,45.007113,-0.431811
LIBOURNE CLG EUGÈNE-ATGET,S0194,LIBOURNE CLG EUGÈNE-ATGET S0194,,87205,03 Collège et éducation,,16/06/2000,propriétaire,,
LORMONT CLG GEORGES-LAPIERRE,S0222,LORMONT CLG GEORGES-LAPIERRE S0222,,87217,03 Collège et éducation,,16/06/2000,propriétaire,,
BEGLES CLG PABLO-NÉRUDA,S0228,BEGLES CLG PABLO-NÉRUDA S0228,1 Chemin de Mussonville 33130 Bègles,87221,03 Collège et éducation,,16/06/2000,propriétaire,44.794197,-0.562393
CADILLAC CLG ANATOLE-FRANCE,S0253,CADILLAC CLG ANATOLE-FRANCE S0253,Chemin des Baries 33410 Cadillac,87231,03 Collège et éducation,,16/06/2000,propriétaire,44.630632,-0.305943
SAUVETERRE-DE-GUYENNE CLG ROBERT-BARRIÈRE,S0272,SAUVETERRE-DE-GUYENNE CLG ROBERT-BARRIÈRE S0272,Au Closet 33540 Sauveterre-de-Guyenne,87237,03 Collège et éducation,,16/06/2000,propriétaire,44.697062,-0.080888
VILLENAVE-D'ORNON CLG CHAMBÉRY,S0318,VILLENAVE-D'ORNON CLG CHAMBÉRY S0318,,87249,03 Collège et éducation,,16/06/2000,propriétaire,,
STE-FOY-LA-GRANDE GIE,S0281,STE-FOY-LA-GRANDE GIE S0281,22 Avenue de Verdun 33220 Sainte-Foy-la-Grande,88012,06 Performance de collectivité,,16/06/2000,propriétaire,44.838479,0.216206
BORDEAUX ARCHIVES RUE-D'AVIAU,S0052,BORDEAUX ARCHIVES RUE-D'AVIAU S0052,25 Rue d'Aviau 33000 Bordeaux,88016,02 Cohésion vie sociale et épanouissement,,16/06/2000,propriétaire,44.850092,-0.576546
BORDEAUX GARAGE STE-CECILE,S0093,BORDEAUX GARAGE STE-CECILE S0093,31 Rue Sainte-Cécile 33000 Bordeaux,88038,06 Performance de collectivité,,16/06/2000,propriétaire,44.830927,-0.585467
BORDEAUX HOTEL-DU-DEPARTEMENT,S0061,BORDEAUX HOTEL-DU-DEPARTEMENT S0061,Rue Corps Franc Pommies 33000 Bordeaux,88043,06 Performance de collectivité,,16/06/2000,propriétaire,44.836591,-0.586849
BORDEAUX CRISTAL,S0532,BORDEAUX CRISTAL S0532,Esplanade Charles de Gaulle 33000 Bordeaux,88050,06 Performance de collectivité,,16/06/2000,locataire,44.837398,-0.585046
LE-TEICH ENS RELAIS-NATURE-DU-PONT-DE-LAMOTHE,S0127,LE-TEICH ENS RELAIS-NATURE-DU-PONT-DE-LAMOTHE S0127,Avenue de Lamothe 33470 Le Teich,88070,07 Protection valorisation environnement,,16/06/2000,propriétaire,44.62499,-0.999534
LE-VERDON-SUR-MER BACS VILLA-BRISE-LAMES,S0543,LE-VERDON-SUR-MER BACS VILLA-BRISE-LAMES S0543,9 Rue de la Batterie 33123 Le Verdon-sur-Mer,88071,05 Mobilité,,16/06/2000,propriétaire,45.550091,-1.060959
ST-MEDARD-EN-JALLES BDP,S0087,ST-MEDARD-EN-JALLES BDP S0087,Rue Guynemer 33160 Saint-Médard-en-Jalles,88091,02 Cohésion vie sociale et épanouissement,,16/06/2000,locataire,44.883627,-0.739135
LESPARRE-MEDOC CRD-CE,S0022,LESPARRE-MEDOC CRD-CE S0022,,88124,05 Mobilité,,16/06/2000,propriétaire,,
ST-SYMPHORIEN CRD-CE,S0144,ST-SYMPHORIEN CRD-CE S0144,10 Boulevard de la Gare 33113 Saint-Symphorien,88133,05 Mobilité,,16/06/2000,propriétaire,44.425993,-0.488373
SAUVETERRE-DE-GUYENNE CRD-CE,S0273,SAUVETERRE-DE-GUYENNE CRD-CE S0273,42 Boulevard du 11 Novembre 1918 33540 Sauveterre-de-Guyenne,88136,05 Mobilité,,16/06/2000,locataire,44.693601,-0.088835
BEGLES MECS RABA,S0231,BEGLES MECS RABA S0231,13 Avenue Lucien Lerousseau 33130 Bègles,88143,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.807804,-0.554571
BLANQUEFORT GIE,S0045,BLANQUEFORT GIE S0045,46 Avenue du Général de Gaulle 33290 Blanquefort,88146,06 Performance de collectivité,,16/06/2000,propriétaire,44.913961,-0.635289
CAPTIEUX GIE,S0293,CAPTIEUX GIE S0293,54 Route de Bazas 33840 Captieux,88153,06 Performance de collectivité,,16/06/2000,propriétaire,44.296481,-0.258865
CASTELNAU-DE-MEDOC GIE,S0016,CASTELNAU-DE-MEDOC GIE S0016,39 Avenue Georges Mandel 33480 Castelnau-de-Médoc,88156,06 Performance de collectivité,,16/06/2000,propriétaire,45.025051,-0.792117
