Site,Code,Libellé DP,adresse,Numéro interne,Politique publique,Catégorie de sites,Date création,Statut,latitude,longitude
BORDEAUX CRD-CE RIVE-DROITE,S1665,BORDEAUX CRD-CE RIVE-DROITE S1665,121 Quai de la Souys 33100 Bordeaux,977715,05 Mobilité,,12/09/2007,locataire,44.828442,-0.54021
PUJOLS CRD-AIRE,S1668,PUJOLS CRD-AIRE S1668,,977757,05 Mobilité,,18/09/2007,locataire,,
PINEUILH-CAVILLE CRD-AIRE,S1670,PINEUILH-CAVILLE CRD-AIRE S1670,,977778,05 Mobilité,,18/09/2007,locataire,,
AILLAS CRD-AIRE,S1676,AILLAS CRD-AIRE S1676,,977819,05 Mobilité,,20/09/2007,locataire,,
LE-TEICH MDSI,S1734,LE-TEICH MDSI S1734,,1008099,08 Solidarité autonomie et santé,,04/06/2009,propriétaire,,
BRUGES PERM,S1783,BRUGES PERM S1783,87 Avenue Charles de Gaulle 33520 Bruges,1342759,08 Solidarité autonomie et santé,,07/10/2013,locataire,44.881334,-0.61314
ETAULIERS PERM,S1791,ETAULIERS PERM S1791,15 Chemin de Furet 33820 Étauliers,1349839,08 Solidarité autonomie et santé,,10/12/2013,locataire,45.226738,-0.568025
GENERAC CONDUITE-EAU-BLAYAIS,S0806,GENERAC CONDUITE-EAU-BLAYAIS S0806,La Font des Loges 33920 Générac,97568,05 Mobilité,,22/05/2001,locataire,45.180055,-0.527709
LE-TEMPLE DFCI,S0760,LE-TEMPLE DFCI S0760,2 Route du Porge 33680 Le Temple,97520,06 Performance de collectivité,,10/04/2001,propriétaire,44.880236,-0.990278
ARSAC CLG PANCHON,S0006,ARSAC CLG PANCHON S0006,Allée de Panchon 33460 Arsac,87135,03 Collège et éducation,,16/06/2000,propriétaire,44.988941,-0.693781
LE-HAILLAN CLG EMILE-ZOLA,S0082,LE-HAILLAN CLG EMILE-ZOLA S0082,,87158,03 Collège et éducation,,16/06/2000,propriétaire,,
ST-SYMPHORIEN CLG FRANCOIS-MAURIAC,S0143,ST-SYMPHORIEN CLG FRANCOIS-MAURIAC S0143,6 Avenue du Huit Mai 33113 Saint-Symphorien,87187,03 Collège et éducation,,16/06/2000,propriétaire,44.430488,-0.493151
ST-LOUBES MDSI,S0208,ST-LOUBES MDSI S0208,30 Rue du Stade 33450 Saint-Loubès,87209,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.913537,-0.426788
BASSENS CLG MANON-CORMIER,S0221,BASSENS CLG MANON-CORMIER S0221,,87216,03 Collège et éducation,,16/06/2000,propriétaire,,
VILLENAVE-D'ORNON MDSI,S0317,VILLENAVE-D'ORNON MDSI S0317,601 BIS Route de Toulouse 33140 Villenave-d'Ornon,87248,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.782263,-0.566097
LE-BOUSCAT MDSI,S0472,LE-BOUSCAT MDSI S0472,17 Rue Georges Lafont 33110 Le Bouscat,87263,06 Performance de collectivité,,16/06/2000,locataire,44.866446,-0.597423
BORDEAUX CLG GRATIOLET,S0546,BORDEAUX CLG GRATIOLET S0546,Rue des Augustins 33000 Bordeaux,87310,03 Collège et éducation,,16/06/2000,propriétaire,44.832423,-0.571184
LE-HAILLAN AS,S0499,LE-HAILLAN AS S0499,3 Rue Edmond Rostand 33185 Le Haillan,87539,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.860746,-0.666809
ST-LAURENT-DU-MEDOC AS,S0515,ST-LAURENT-DU-MEDOC AS S0515,4 Rue Pierre Castéra 33112 Saint-Laurent-Médoc,87554,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,45.150339,-0.827941
MERIGNAC CRD-SIEGE,S0055,MERIGNAC CRD-SIEGE S0055,240 Avenue de la Marne 33700 Mérignac,87979,05 Mobilité,,16/06/2000,propriétaire,44.832284,-0.642507
LANGON GIE,S0310,LANGON GIE S0310,23 Rue Jules Ferry 33210 Langon,87988,06 Performance de collectivité,,16/06/2000,propriétaire,44.549984,-0.251765
PAUILLAC GIE,S0026,PAUILLAC GIE S0026,50 Rue du Maréchal Joffre 33250 Pauillac,87998,06 Performance de collectivité,,16/06/2000,propriétaire,45.202991,-0.752541
ST-LAURENT-DU-MEDOC GIE,S0034,ST-LAURENT-DU-MEDOC GIE S0034,2 Rue du Docteur Destouesse 33112 Saint-Laurent-Médoc,88003,06 Performance de collectivité,,16/06/2000,propriétaire,45.148502,-0.822723
ST-VIVIEN-DE-MEDOC GIE,S0038,ST-VIVIEN-DE-MEDOC GIE S0038,22 Cours Georges Mandel 33590 Saint-Vivien-de-Médoc,88010,06 Performance de collectivité,,16/06/2000,propriétaire,45.43463,-1.038944
PESSAC TECHNOPOLE-CONDORCET,S0347,PESSAC TECHNOPOLE-CONDORCET S0347,Avenue de Gradignan 33600 Pessac,88087,04 Economie solidaire,,16/06/2000,propriétaire,44.803067,-0.624978
LE-TAILLAN-MEDOC CRD-CE,S0085,LE-TAILLAN-MEDOC CRD-CE S0085,7 Avenue de la Boétie 33320 Le Taillan-Médoc,88122,05 Mobilité,,16/06/2000,propriétaire,44.909655,-0.671631
SALLES CRD-CE,S0132,SALLES CRD-CE S0132,2 Route de Perrin 33770 Salles,88134,05 Mobilité,,16/06/2000,locataire,44.551476,-0.858244
CARBON-BLANC GIE,S0213,CARBON-BLANC GIE S0213,19 Avenue André Vignau Anglade 33560 Carbon-Blanc,88154,06 Performance de collectivité,,16/06/2000,propriétaire,44.896038,-0.505703
BORDEAUX PARKING DU-8-MAI-1945,S0624,BORDEAUX PARKING DU-8-MAI-1945 S0624,Rue Jean Fleuret 33000 Bordeaux,88444,06 Performance de collectivité,,19/10/2000,locataire,44.836388,-0.584341
PODENSAC MECS,S1534,PODENSAC MECS S1534,4 Rue Toulouse Lautrec 33720 Podensac,691540,08 Solidarité autonomie et santé,,16/12/2002,propriétaire,44.645668,-0.350681
BORDEAUX ANTENNE-ST-FERDINAND,S1625,BORDEAUX ANTENNE-ST-FERDINAND S1625,8 Rue de la Croix de Seguey 33000 Bordeaux,786005,03 Collège et éducation,,27/06/2005,locataire,44.850326,-0.586794
LEOGNAN CRD-CE,S1805,LEOGNAN CRD-CE S1805,"Avenue de Mont de Marsan, LEMBARRA 33850 Léognan",1367349,05 Mobilité,,18/12/2014,propriétaire,44.703262,-0.606384
BORDEAUX CENTRE-SOCIAL GRAND-PARC,S1645,BORDEAUX CENTRE-SOCIAL GRAND-PARC S1645,25 Place de la Victoire 33000 Bordeaux,887526,08 Solidarité autonomie et santé,,24/08/2006,propriétaire,44.831133,-0.573484
LOUPES CRD-CE,S1774,LOUPES CRD-CE S1774,3 Route de l'Église 33370 Loupes,1262257,05 Mobilité,,13/07/2012,propriétaire,44.80817,-0.395369
BORDEAUX ECONOMAT MANON-CORMIER,S1539,BORDEAUX ECONOMAT MANON-CORMIER S1539,15 Rue Manon Cormier 33000 Bordeaux,697065,06 Performance de collectivité,,15/01/2003,locataire,44.832634,-0.588374
LA-TESTE-DE-BUCH AS LES-BOSQUETS,S1796,LA-TESTE-DE-BUCH AS LES-BOSQUETS S1796,55 Impasse du Bosquet 33260 La Teste-de-Buch,1363765,08 Solidarité autonomie et santé,,09/10/2014,locataire,44.616962,-1.13929
BORDEAUX CLG LEONARD-LENOIR,S0234,BORDEAUX CLG LEONARD-LENOIR S0234,,9149,03 Collège et éducation,,13/07/1999,propriétaire,,
LIBOURNE C.I.O.,S1560,LIBOURNE C.I.O. S1560,40 Rue Orbe 33500 Libourne,772163,03 Collège et éducation,,12/08/2003,proprietaire et bailleur,44.917237,-0.243824
MARCHEPRIME CLG GASTON-FLAMENT,S1579,MARCHEPRIME CLG GASTON-FLAMENT S1579,33 Avenue Léon Delagrange 33380 Marcheprime,773717,03 Collège et éducation,,18/02/2004,propriétaire,44.698906,-0.847257
CARBON-BLANC CLG,S1583,CARBON-BLANC CLG S1583,28 Rue des Futaies 33560 Carbon-Blanc,773721,03 Collège et éducation,,18/02/2004,propriétaire,44.909826,-0.498947
TALENCE CLG HENRI-BRISSON,S0150,TALENCE CLG HENRI-BRISSON S0150,16 Rue Henri Brisson 33400 Talence,87188,03 Collège et éducation,,16/06/2000,propriétaire,44.818769,-0.591934
LIBOURNE POLE TERRITORIAL,S0196,LIBOURNE POLE TERRITORIAL S0196,14 Rue Jules Vedrines 33500 Libourne,87207,08 Solidarité autonomie et santé,,16/06/2000,proprietaire et bailleur,44.907755,-0.236425
BRANNE CLG PAUL-EMILE-VICTOR,S0250,BRANNE CLG PAUL-EMILE-VICTOR S0250,Route de Branne 33420 Génissac,87229,03 Collège et éducation,,16/06/2000,propriétaire,44.857084,-0.253452
PODENSAC CLG GEORGES-BRASSENS,S0311,PODENSAC CLG GEORGES-BRASSENS S0311,3 BIS Cours du Mal Joffre 33720 Podensac,87247,03 Collège et éducation,,16/06/2000,propriétaire,44.647739,-0.351659
VILLANDRAUT GIE,S0316,VILLANDRAUT GIE S0316,1 Route Bazas 33730 Villandraut,88014,06 Performance de collectivité,,16/06/2000,propriétaire,44.459947,-0.365824
LORMONT DIVERS ANCIENNE-GIE,S0459,LORMONT DIVERS ANCIENNE-GIE S0459,5 Rue de la République 33310 Lormont,88073,06 Performance de collectivité,,16/06/2000,propriétaire,44.877287,-0.525017
BLAYE GIE,S0160,BLAYE GIE S0160,52 Rue Jaufre Rudel 33390 Blaye,88147,06 Performance de collectivité,,16/06/2000,propriétaire,45.123385,-0.658896
CAVIGNAC GIE,S0179,CAVIGNAC GIE S0179,,88158,06 Performance de collectivité,,16/06/2000,propriétaire,,
LIBOURNE CLG LES-DAGUEYS,S1515,LIBOURNE CLG LES-DAGUEYS S1515,27 Avenue François Mitterrand 33500 Libourne,396862,03 Collège et éducation,,23/04/2002,propriétaire,44.947905,-0.242577
BORDEAUX SGAR,S1535,BORDEAUX SGAR S1535,Esplanade Charles de Gaulle 33000 Bordeaux,697061,06 Performance de collectivité,,15/01/2003,proprietaire et bailleur,44.837398,-0.585046
LE-BARP FORET,S1803,LE-BARP FORET S1803,Chemin de Camp Beil 33114 Le Barp,1364045,07 Protection valorisation environnement,,27/11/2014,propriétaire,44.667122,-0.796777
BORDEAUX PARKING GAMBETTA,S1709,BORDEAUX PARKING GAMBETTA S1709,,998852,06 Performance de collectivité,,23/01/2009,locataire,,
BORDEAUX STOCKAGE MOTTE-PICQUET,S1735,BORDEAUX STOCKAGE MOTTE-PICQUET S1735,5 Rue la Motte Picquet 33300 Bordeaux,1008100,06 Performance de collectivité,,04/06/2009,locataire,44.873065,-0.561382
BLANQUEFORT CLG EMMANUEL-DUPATY,S0040,BLANQUEFORT CLG EMMANUEL-DUPATY S0040,Rue Maréchal de Lattre de Tassigny 33290 Parempuyre,87143,03 Collège et éducation,,16/06/2000,propriétaire,44.957987,-0.60361
MERIGNAC CLG LES-EYQUEMS,S0079,MERIGNAC CLG LES-EYQUEMS S0079,Chemin de la Tour de Veyrines 33700 Mérignac,87157,03 Collège et éducation,,16/06/2000,propriétaire,44.827169,-0.646068
PESSAC MDSI,S0102,PESSAC MDSI S0102,10 Avenue Pierre Wiehn 33600 Pessac,87166,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.801866,-0.633294
BIGANOS CLG JEAN-ZAY,S0113,BIGANOS CLG JEAN-ZAY S0113,Avenue de la Côte d'Argent 33380 Biganos,87175,03 Collège et éducation,,16/06/2000,propriétaire,44.639711,-0.963815
GRADIGNAN CLG FONT-DE-MONJOUS,S0141,GRADIGNAN CLG FONT-DE-MONJOUS S0141,,87186,03 Collège et éducation,,16/06/2000,propriétaire,,
ST-YZAN-DE-SOUDIAC CLG VAL-DE-LA-SAYE,S0176,ST-YZAN-DE-SOUDIAC CLG VAL-DE-LA-SAYE S0176,2 Rue du Collège 33920 Saint-Yzan-de-Soudiac,87197,03 Collège et éducation,,16/06/2000,propriétaire,45.139905,-0.410168
LA-BREDE CLG MONTESQUIEU,S0297,LA-BREDE CLG MONTESQUIEU S0297,,87242,03 Collège et éducation,,16/06/2000,propriétaire,,
TALENCE CDEF SAFE,S0152,TALENCE CDEF SAFE S0152,48 Avenue de la Vieille Tour 33400 Talence,88023,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.81364,-0.600593
BORDEAUX GIRONDE-et-MAL.-JUIN,S0452,BORDEAUX GIRONDE-et-MAL.-JUIN S0452,,88046,06 Performance de collectivité,,16/06/2000,propriétaire,,
MERIGNAC ATELIER-ARLAC,S0553,MERIGNAC ATELIER-ARLAC S0553,48 Avenue des Eyquems 33700 Mérignac,88078,06 Performance de collectivité,,16/06/2000,locataire,44.828131,-0.619079
LE-VERDON-SUR-MER BACS BUREAUX,S0037,LE-VERDON-SUR-MER BACS BUREAUX S0037,19 Avenue du Phare de Cordouan 33123 Le Verdon-sur-Mer,88108,05 Mobilité,,16/06/2000,proprietaire et bailleur,45.567987,-1.064529
LA-REOLE MDSI,S0256,LA-REOLE MDSI S0256,,87232,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,,
LA-REOLE DIVERS (ex-GIE),S0261,LA-REOLE DIVERS (ex-GIE) S0261,8 Place Albert Rigoulet 33190 La Réole,87985,06 Performance de collectivité,,16/06/2000,propriétaire,44.581636,-0.041977
CASTILLON-LA-BATAILLE CRD-CE,S0184,CASTILLON-LA-BATAILLE CRD-CE S0184,11 Rue Paul Bert 33350 Castillon-la-Bataille,88117,05 Mobilité,,16/06/2000,propriétaire,44.855682,-0.047307
LANGOIRAN MECS GARDERA,S1531,LANGOIRAN MECS GARDERA S1531,Le Gardera 33550 Langoiran,654765,08 Solidarité autonomie et santé,,15/11/2002,propriétaire,44.700893,-0.390083
ARCACHON PORT PRINCIPAL,S0781,ARCACHON PORT PRINCIPAL S0781,53 BIS Boulevard de la Plage 33120 Arcachon,97537,05 Mobilité,,20/04/2001,propriétaire,44.659139,-1.152002
BLAYE BACS BUREAUX,S0463,BLAYE BACS BUREAUX S0463,,88106,05 Mobilité,,16/06/2000,propriétaire,,
CREON GIE,S0245,CREON GIE S0245,,88161,06 Performance de collectivité,,16/06/2000,propriétaire,,
LA-REOLE PERM PMI-CONSULTATIONS,S1652,LA-REOLE PERM PMI-CONSULTATIONS S1652,,893436,08 Solidarité autonomie et santé,,28/09/2006,locataire,,
ST-LOUBES CLG MAX-LINDER,S0210,ST-LOUBES CLG MAX-LINDER S0210,,87211,03 Collège et éducation,,16/06/2000,propriétaire,,
ST-SYMPHORIEN GARE,S0147,ST-SYMPHORIEN GARE S0147,A la Rigade 33113 Saint-Symphorien,88111,06 Performance de collectivité,,16/06/2000,propriétaire,44.395092,-0.510776
ST-DENIS-DE-PILE PERM,S1718,ST-DENIS-DE-PILE PERM S1718,,1007399,08 Solidarité autonomie et santé,,18/05/2009,locataire,,
FLOIRAC CIF,S0364,FLOIRAC CIF S0364,,88058,04 Economie solidaire,,16/06/2000,propriétaire,,
ST-SAVIN-DE-BLAYE PERM,S1704,ST-SAVIN-DE-BLAYE PERM S1704,,994807,08 Solidarité autonomie et santé,,12/12/2008,locataire,,
MARTIGNAS-SUR-JALLE CLG ALIÉNOR-D'AQUITAINE,S0073,MARTIGNAS-SUR-JALLE CLG ALIÉNOR-D'AQUITAINE S0073,77 Avenue des Sapinettes 33127 Martignas-sur-Jalle,87153,03 Collège et éducation,,16/06/2000,propriétaire,44.84582,-0.78139
PELLEGRUE PERM,S0612,PELLEGRUE PERM S0612,,97345,08 Solidarité autonomie et santé,,17/11/2000,locataire,,
MIOS CLG,S1808,MIOS CLG S1808,Route de Lagnet 33380 Mios,1367953,03 Collège et éducation,,19/05/2015,propriétaire,44.608378,-0.889072
EYSINES GIE,S0046,EYSINES GIE S0046,,7946,06 Performance de collectivité,,25/06/1999,propriétaire,,
MERIGNAC PERM,S0597,MERIGNAC PERM S0597,5 Allée Concorde 33700 Mérignac,97343,08 Solidarité autonomie et santé,,17/11/2000,locataire,44.844052,-0.676632
EYSINES MDSI,S0039,EYSINES MDSI S0039,16 Rue des Treytins 33320 Eysines,87142,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.881203,-0.631907
TALENCE PERM,S0561,TALENCE PERM S0561,Rue Frédéric Sevene 33400 Talence,87565,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.806064,-0.580384
CESTAS AS,S1660,CESTAS AS S1660,Place de l'Hôtel de Ville 33610 Cestas,972313,08 Solidarité autonomie et santé,,26/06/2007,locataire,44.741229,-0.685325
ST-SULPICE-DE-FALEYRENS CRD-AIRE,S1673,ST-SULPICE-DE-FALEYRENS CRD-AIRE S1673,Saint-Sulpice-de-Faleyrens,977780,05 Mobilité,,18/09/2007,locataire,44.873873,-0.190413
LIBOURNE CLG MARGUERITE-DURAS,S0195,LIBOURNE CLG MARGUERITE-DURAS S0195,,87206,03 Collège et éducation,,16/06/2000,propriétaire,,
CASTELNAU-DE-MEDOC EX-MDSI,S0350,CASTELNAU-DE-MEDOC EX-MDSI S0350,1 Avenue Gambetta 33480 Castelnau-de-Médoc,87257,06 Performance de collectivité,,16/06/2000,propriétaire,45.028431,-0.798684
AUROS CRD-CE,S0283,AUROS CRD-CE S0283,,87974,05 Mobilité,,16/06/2000,propriétaire,,
RAUZAN GIE,S0271,RAUZAN GIE S0271,16 Rue Peyruc 33420 Rauzan,88002,06 Performance de collectivité,,16/06/2000,propriétaire,44.780184,-0.124084
ST-ANDRE-DE-CUBZAC CRD-CE,S0169,ST-ANDRE-DE-CUBZAC CRD-CE S0169,Chemin de Labry 33240 Saint-André-de-Cubzac,88131,05 Mobilité,,16/06/2000,locataire,44.984556,-0.452983
BLAYE SOUS-PREFECTURE,S0605,BLAYE SOUS-PREFECTURE S0605,18 Rue André Lafon 33390 Blaye,88471,06 Performance de collectivité,,27/10/2000,propriétaire,45.126183,-0.659506
BORDEAUX LOGT 88-RUE-CHEVALIER,S1777,BORDEAUX LOGT 88-RUE-CHEVALIER S1777,88 Rue Chevalier 33000 Bordeaux,1262524,06 Performance de collectivité,,07/12/2011,locataire,44.843783,-0.595496
ST-MAGNE-DE-CASTILLON CRD-AIRE,S1634,ST-MAGNE-DE-CASTILLON CRD-AIRE S1634,Chemin de la Besse 33350 Saint-Magne-de-Castillon,802763,05 Mobilité,,30/09/2005,propriétaire,44.847093,-0.069507
GUJAN-MESTRAS FOYER,S1572,GUJAN-MESTRAS FOYER S1572,Allée des Corsaires 33470 Gujan-Mestras,773395,08 Solidarité autonomie et santé,,31/12/2003,propriétaire,44.627339,-1.05816
MERIGNAC PERM CAPEYRON,S0613,MERIGNAC PERM CAPEYRON S0613,Rue Jean Giono 33700 Mérignac,97344,08 Solidarité autonomie et santé,,17/11/2000,locataire,44.852113,-0.64906
SOULAC-SUR-MER FORET-LA-LIMITE,S0834,SOULAC-SUR-MER FORET-LA-LIMITE S0834,Soulac-sur-Mer,97633,07 Protection valorisation environnement,,18/07/2001,propriétaire,45.510244,-1.125761
CARTELEGUE CONDUITE-EAU-BLAYAIS,S0801,CARTELEGUE CONDUITE-EAU-BLAYAIS S0801,Route de la Pointe 33390 Cartelègue,97563,05 Mobilité,,22/05/2001,locataire,45.209442,-0.556029
PESSAC CLG ALOUETTE,S0103,PESSAC CLG ALOUETTE S0103,1 Avenue Pierre de Coubertin 33600 Pessac,87167,03 Collège et éducation,,16/06/2000,propriétaire,44.799841,-0.668643
PODENSAC AS,S0506,PODENSAC AS S0506,14 Rue Salans 33720 Podensac,87546,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.65314,-0.35591
LACANAU UCPA,S0014,LACANAU UCPA S0014,DOMAINE DE L'ARDILOUSE 33680 Lacanau,88067,02 Cohésion vie sociale et épanouissement,,16/06/2000,propriétaire,45.000256,-1.170788
MARTRES ENS CARRIÈRE-DE-JEANDILLON,S0584,MARTRES ENS CARRIÈRE-DE-JEANDILLON S0584,Barral 33760 Martres,88321,07 Protection valorisation environnement,,19/09/2000,propriétaire,44.711309,-0.166545
TALENCE PERM THOUARS,S1523,TALENCE PERM THOUARS S1523,2 Avenue de Thouars 33400 Talence,640079,08 Solidarité autonomie et santé,,02/10/2002,locataire,44.79979,-0.593301
LANTON CRD-SIEGE,S1715,LANTON CRD-SIEGE S1715,,1004015,05 Mobilité,,07/04/2009,locataire,,
LANTON ENS DORTOIR-D'AIGRETTES,S0685,LANTON ENS DORTOIR-D'AIGRETTES S0685,BLAGON 33138 Lanton,97479,07 Protection valorisation environnement,,12/02/2001,propriétaire,44.784522,-0.934588
CASTELNAU-DE-MEDOC CLG CANTERANE,S0007,CASTELNAU-DE-MEDOC CLG CANTERANE S0007,Rue Saint-Gènes 33480 Castelnau-de-Médoc,87136,03 Collège et éducation,,16/06/2000,propriétaire,45.029767,-0.793004
LUSSAC CLG,S0205,LUSSAC CLG S0205,Avenue de Verdun 33570 Lussac,87208,03 Collège et éducation,,16/06/2000,propriétaire,44.949643,-0.098968
CAPTIEUX CRD-CE,S0291,CAPTIEUX CRD-CE S0291,Route de Lucmau 33840 Captieux,88114,05 Mobilité,,16/06/2000,propriétaire,44.295017,-0.267551
LEGE-CAP-FERRET CDL DUNES-DU-CAP-FERRET,S0579,LEGE-CAP-FERRET CDL DUNES-DU-CAP-FERRET S0579,Lège-Cap-Ferret,88311,07 Protection valorisation environnement,,19/09/2000,proprietaire et bailleur,44.792671,-1.146498
LACANAU MAISON-DE-RETRAITE,S1601,LACANAU MAISON-DE-RETRAITE S1601,Rue du Général de Gaulle 33680 Lacanau,781441,06 Performance de collectivité,,02/06/2004,proprietaire et bailleur,44.976494,-1.07639
GUITRES GIE,S0190,GUITRES GIE S0190,60 Avenue de l'Isle 33230 Guîtres,87983,06 Performance de collectivité,,16/06/2000,propriétaire,45.044183,-0.18402
SALAUNES DFCI,S0758,SALAUNES DFCI S0758,Route de Salaunes 33160 Saint-Aubin-de-Médoc,97518,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.932326,-0.766692
LA-TESTE-DE-BUCH ENS DUNE-DU-PILAT,S0589,LA-TESTE-DE-BUCH ENS DUNE-DU-PILAT S0589,La Teste-de-Buch,88319,07 Protection valorisation environnement,,19/09/2000,propriétaire,44.632214,-1.146050
CENON AS,S1575,CENON AS S1575,142 Avenue René Cassagne 33150 Cenon,773713,08 Solidarité autonomie et santé,,18/02/2004,proprietaire et bailleur,44.853195,-0.516795
LORMONT AS GRAVIERES,S0492,LORMONT AS GRAVIERES S0492,171 Rue des Gravières 33310 Lormont,87532,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.871968,-0.518438
LESPARRE-MEDOC SOUS-PREFECTURE,S1564,LESPARRE-MEDOC SOUS-PREFECTURE S1564,2 Allée du 8 Mai 1945 33340 Lesparre-Médoc,772282,06 Performance de collectivité,,25/09/2003,propriétaire,45.307738,-0.938148
PREIGNAC ENS VALLEE-DU-CIRON,S0659,PREIGNAC ENS VALLEE-DU-CIRON S0659,Sahuc 33210 Preignac,97472,07 Protection valorisation environnement,,12/02/2001,propriétaire,44.575233,-0.313749
PESSAC GIE,S0105,PESSAC GIE S0105,31 Rue Roger Vilanova 33600 Pessac,88000,06 Performance de collectivité,,16/06/2000,propriétaire,44.796653,-0.67165
BEGLES PERM,S1760,BEGLES PERM S1760,,1228723,08 Solidarité autonomie et santé,,17/03/2011,locataire,,
COUTRAS CRD-AIRE,S1666,COUTRAS CRD-AIRE S1666,"Chemin du Poteau, CHAMPS DE TROQUEREAU 33230 Coutras",977735,05 Mobilité,,13/09/2007,locataire,45.027549,-0.056147
ST-MEDARD-EN-JALLES MDSI,S0799,ST-MEDARD-EN-JALLES MDSI S0799,2 Rue Firmin Montignac 33160 Saint-Médard-en-Jalles,97560,08 Solidarité autonomie et santé,,14/05/2001,propriétaire,44.89326,-0.718426
LANGON MDSI,S0304,LANGON MDSI S0304,34 BIS Cours du Général Leclerc 33210 Langon,87244,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.555231,-0.251162
ST-ANDRE-DE-CUBZAC POLE-TERRITORIAL,S0172,ST-ANDRE-DE-CUBZAC POLE-TERRITORIAL S0172,49 Rue Henri Groues dit Abbé Pierre 33240 Saint-André-de-Cubzac,88004,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.988606,-0.450383
BOURG-SUR-GIRONDE GIE,S0163,BOURG-SUR-GIRONDE GIE S0163,888 Au Mas Nord 33710 Bourg,88150,06 Performance de collectivité,,16/06/2000,propriétaire,45.042827,-0.559473
AUDENGE CRD-AIRE LIOUGEY,S1629,AUDENGE CRD-AIRE LIOUGEY S1629,,802734,05 Mobilité,,29/09/2005,propriétaire,,
BAZAS CRD-CE,S1639,BAZAS CRD-CE S1639,Chemin de Guilleme 33430 Bazas,866487,05 Mobilité,,12/01/2006,propriétaire,44.439692,-0.235983
CARCANS CDL SAINTE-HELENE,S0711,CARCANS CDL SAINTE-HELENE S0711,Troussas 33121 Carcans,97406,07 Protection valorisation environnement,,09/02/2001,proprietaire et bailleur,45.067031,-0.999025
SALLES CLG ALIENOR-D'AQUITAINE,S1580,SALLES CLG ALIENOR-D'AQUITAINE S1580,22 Route du Martinet 33770 Salles,773718,03 Collège et éducation,,18/02/2004,propriétaire,44.547314,-0.881478
BLAYE CRD-SIEGE,S0157,BLAYE CRD-SIEGE S0157,,87978,05 Mobilité,,16/06/2000,propriétaire,,
BAZAS GIE,S0290,BAZAS GIE S0290,8 Route de Sauviac 33430 Bazas,88142,06 Performance de collectivité,,16/06/2000,propriétaire,44.424037,-0.206763
LANTON GARE TAUSSAT,S1745,LANTON GARE TAUSSAT S1745,"Allée du Jasmin, LOTISSEMENT LA FERME DE TAUSSAT 33138 Lanton",1169904,06 Performance de collectivité,,03/06/2010,propriétaire,44.724482,-1.06682
BLAYE EMBARCADERE,S1793,BLAYE EMBARCADERE S1793,Allée Marines 33390 Blaye,1354306,05 Mobilité,,20/02/2014,locataire,45.12365,-0.665183
PESSAC CLG F.MITTERRAND,S0106,PESSAC CLG F.MITTERRAND S0106,11 Rue André Chénier 33600 Pessac,87169,03 Collège et éducation,,16/06/2000,propriétaire,44.791584,-0.64508
RAUZAN CLG PIERRE-MARTIN,S0269,RAUZAN CLG PIERRE-MARTIN S0269,LE FAURE 33420 Rauzan,87236,03 Collège et éducation,,16/06/2000,propriétaire,44.77779,-0.117021
MERIGNAC GYMNASE BOURRAN,S0080,MERIGNAC GYMNASE BOURRAN S0080,153 Avenue de la Marne 33700 Mérignac,88082,03 Collège et éducation,,16/06/2000,propriétaire,44.835685,-0.633627
VILLENAVE-D'ORNON CLG PONT-DE-LA-MAYE,S0319,VILLENAVE-D'ORNON CLG PONT-DE-LA-MAYE S0319,,87250,03 Collège et éducation,,16/06/2000,propriétaire,,
VERAC CLG LEO-DROUYN,S0164,VERAC CLG LEO-DROUYN S0164,1 Tour de Vérac 33240 Vérac,87192,03 Collège et éducation,,16/06/2000,propriétaire,44.992086,-0.339968
STE-FOY-LA-GRANDE MDSI,S0277,STE-FOY-LA-GRANDE MDSI S0277,85 BIS Rue Waldeck Rousseau 33220 Sainte-Foy-la-Grande,87238,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.840894,0.219917
LA-REOLE IMPOTS CENTRE,S0260,LA-REOLE IMPOTS CENTRE S0260,10 Place Albert Rigoulet 33190 La Réole,88063,06 Performance de collectivité,,16/06/2000,propriétaire,44.580797,-0.04435
LUSSAC GIE,S0207,LUSSAC GIE S0207,9001 Cours des Girondins 33570 Lussac,87994,06 Performance de collectivité,,16/06/2000,propriétaire,44.950845,-0.097656
BORDEAUX C.I.O,S1559,BORDEAUX C.I.O S1559,39 Cours de Verdun 33000 Bordeaux,772162,03 Collège et éducation,,12/08/2003,proprietaire et bailleur,44.850458,-0.574831
