objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
95,25284, ,1970/01/01 00:00:00+00, ,771067.979029665,4863.93725439772
96,25284, ,1970/01/01 00:00:00+00, ,1870030.91490508,6611.91347329018
97,90007, ,1970/01/01 00:00:00+00, ,233048.743256485,4087.02211378321
98,90094,Sevenans,1970/01/01 00:00:00+00, ,707857.247977855,12214.2096126637
99,90001,Andelnans,1970/01/01 00:00:00+00, ,224860.975279385,2374.69201329503
100,90008,Bavilliers,1970/01/01 00:00:00+00, ,152763.773596355,2255.52522874421
102,90065, ,1970/01/01 00:00:00+00, ,749145.095811025,4043.00630251304
103,90065, ,1970/01/01 00:00:00+00, ,145286.365515455,2555.16295414058
104,90082, ,1970/01/01 00:00:00+00, ,384518.45442355,9437.20420779249
105,90019, ,1970/01/01 00:00:00+00, ,300212.971282125,3297.16143663056
106,90096, ,1970/01/01 00:00:00+00, ,190631.208064265,1942.3995372356
107,90025, ,1970/01/01 00:00:00+00, ,285957.766892395,3029.11489103993
108,90063, ,1970/01/01 00:00:00+00, ,292774.077633265,5138.1922354883
109,90024, ,1970/01/01 00:00:00+00, ,181688.55583602,2753.71792853369
110,90095, ,1970/01/01 00:00:00+00, ,807146.13173341,4439.21200388378
111,90105, ,1970/01/01 00:00:00+00, ,143736.355582745,1967.67325944079
112,90064, ,1970/01/01 00:00:00+00, ,403741.88676765,4032.8571297824
113,90028, ,1970/01/01 00:00:00+00, ,274819.40019282,2556.02824883398
114,90027, ,1970/01/01 00:00:00+00, ,236339.936144575,2325.67998479202
115,90046, ,1970/01/01 00:00:00+00, ,398591.420583155,4071.28311067606
116,90009, ,1970/01/01 00:00:00+00, ,1999592.40918303,9003.98157852608
117,90043, ,1970/01/01 00:00:00+00, ,417416.90801158,4156.08246248744
118,90045, ,1970/01/01 00:00:00+00, ,319727.873173765,2909.15511070955
119,90090, ,1970/01/01 00:00:00+00, ,317491.809777345,3401.12038373082
120,90090, ,1970/01/01 00:00:00+00, ,49607.525671365,963.336009342661
121,90101, ,1970/01/01 00:00:00+00, ,415362.471525455,3466.11669046982
122,90030, ,1970/01/01 00:00:00+00, ,174491.39249494,2577.36929221035
123,90101, ,1970/01/01 00:00:00+00, ,247683.80425154,2836.33315295412
124,90055, ,1970/01/01 00:00:00+00, ,334729.69603773,3363.43673375127
125,90083, ,1970/01/01 00:00:00+00, ,100133.31604276,2046.29964521979
126,90018, ,1970/01/01 00:00:00+00, ,403196.95049613,2956.90910224443
127,25004, ,1970/01/01 00:00:00+00, ,763161.074007955,4200.69487996191
128,25586, ,1970/01/01 00:00:00+00, ,750819.764610515,3777.23598036049
129,90009, ,1970/01/01 00:00:00+00, ,1176101.63224639,5960.88212015895
130,25040, ,1970/01/01 00:00:00+00, ,679806.220600815,4536.71380134409
