Type;Adresse;Longitude;Latitude
Défibrillateur;Piscine Municipale;1.947965;43.3162872
Défibrillateur;Gymnase Coubertin;1.9484693;43.3163106
Défibrillateur;Hôtel de Ville;1.95319;43.3174269
Défibrillateur;Théâtre des Trois Ponts;1.954059;43.3172474
Défibrillateur;Halles aux Grains;1.9529647;43.3187773
Défibrillateur;Résidence Pierre Estève;1.9533375;43.3131433
Défibrillateur;Gymnase Le Millénaire;1.9628298;43.3212751
Défibrillateur;Les Crozes - Foyer rural;1.9950244;43.3422134
