FID,NAME,SHAPE_Length,SHAPE_Area
1,LAEQN1_50,4038.11065125448,1074734.06961143
2,LAEQN1_35,25411.7152092828,26908042.4389296
3,LAEQN1_40,40621.9421482862,32556973.1042849
4,LAEQN1_45,77756.8449808874,112971128.302761
