"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"11","91","91617","2020","0916172020001","9","2","CONFRASILVAS",,"83248571800015","1","RUE","Paul Bert",,,"77420","Champs-sur-Marne",,"100",,"RUE","Camille Decauville",,,"91250","Tigery",,"1600B",,,2,3165,,,,,"1",0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,"2020-07-09",
"11","91","91639","2019","0916391910006","9","2","RESCA","RESCA","87906529000014","7ter",,"Rue de Nainville",,,"91750","CHAMPCUEIL",,"100","17",,"rue du Sourdet",,,"91820","VAYRES-SUR-ESSONNE",,"464AD","14AD",,2,200,,,,"2","2",0,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11",2020-07-31,"2020-06-25",
"11","91","91666","2020","0916662040003","9","2","SAREAS IMMOBILIER",,"43218164200047","12",,"rue du Saule Trapu",,,"91300","Massy",,"100","9",,"rue du zephyr",,,"91140","Villejust",,,,,1,7387,,,,,,0,0,0,0,0,0,0,0,0,0,3675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
"11","91","91666","2020","0916662040004","9","2","SC LILIES",,"84334900200017","2",,"avenue du Hoggar",,,"91940","Les Ulis",,"100","17",,"avenue des 2 lacs",,,"91140","Villejust",,"42AH",,,1,815,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
"11","91","91692","2020","0916922040001","1","2","COLT Technology Services",,"40262883800136","23-27",,"rue Pierre Valette",,,"92240","Malakoff",,"100","15",,"avenue du Cap Horn",,,"91940","Les Ulis",,"0035BO","0054BO",,2,30572,,,,,"1",0,0,0,0,0,0,0,0,0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13693,14357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,"2020-04-17",
"11","91","91692","2020","0916922040006","9","2","Societe Fonciere Oceanie les U",,"34181804500021","10",,"rue de la Reunion",,,"91940","Les Ulis",,"100","10",,"rue de la Reunion",,,"91940","Les Ulis",,"0047BR",,,1,3470,,,,,,0,0,0,0,0,0,0,0,0,410,31,0,410,0,0,281,0,0,0,1210,650,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92012","2020","0920122000001","8","2","SCI","SCI ABLF","83958665800016","17","rue","Mesnil",,,"75016","PARIS",,"100","49","rue","du Dome",,,"92100","BOULOGNE-BILLANCOURT",,"0058BM",,,2,305,,,,"3","2",1,1,0,0,0,0,0,0,0,55,0,0,0,0,231,0,0,31,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,"2020-07-02",
"11","92","92012","2020","0920122000045","9","2","SCCV","SCCV BOULOGNE PIERRE GRENIER","84418667600012","167","quai","de la Bataille de Stalingr",,,"92867","ISSY-LES-MOULINEAUX",,"100","75-79","avenu","Pierre Grenier",,,"92100","BOULOGNE-BILLANCOURT",,"0004BN","0005BN",,1,4388,,,,"8",,0,0,0,0,0,0,0,0,0,156,0,0,156,0,217,126,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92012","2020","0920122000048","9","2","SNC","LE TABAC DE LA REINE","82999178500017","8","route","de la Reine",,,"92100","BOULOGNE-BILLANCOURT",,"100","8","route","de la Reine",,,"92100","BOULOGNE-BILLANCOURT",,"0034X",,,1,102,,,,"1",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
"11","92","92012","2020","0920122000049","9","2","SCI","BLACKSWAN PP21","82016552000017","5","rue","Tronchet",,,"75008","PARIS",,"100","167","boule","Jean Jaures",,,"92100","BOULOGNE-BILLANCOURT",,"0082AQ",,,1,325,,,,"3",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,257,6,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92012","2020","0920122000052","9","2","SAS","SAS LE GALLO BOULOGNE","84440759300012","1-3","rue","des Italiens",,,"75009","PARIS",,"100","48","Quai","Alphonse le Gallo",,,"92100","BOULOGNE-BILLANCOURT",,"0031AG",,,1,24259,,,,,,0,1,0,0,0,0,0,0,0,6036,3907,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2020-07-31,,
"11","92","92012","2020","09201220B0044","9","2","PREFECTURE DES HAUTS-DE-SEINE",,,"167","AV","Joliot-Curie",,,"92000","Nanterre",,"100","2","RUE","Damiens",,,"92100","Boulogne-Billancourt",,"23BH",,,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2787,5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92019","2020","09201920A0005","1","2",,"EIFFAGE IMMOBILIER ILE DE FRANCE","48924448300025","11",,"PLACE DE L'EUROPE",,,"78140","VELIZY-VILLACOUBLAY",,"100",,,"AVENUE SULLY PRUDHOMME",,,"92290","CHATENAY-MALABRY",,"145AM","135AN","69AL",2,0,,,,"3","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,1,0,"14",2020-07-31,"2020-07-23",
"11","92","92019","2020","09201920A0015","9","2","CREPS ILE DE FRANCE","Centre de ressources  d'expertise et de performanc","19921619300011","1",,"rue du docteur le savoureu",,,"92290","CHATENAY-MALABRY",,"100","1",,"RUE DU DOCTEUR LE SAVOUREU",,,"92290","CHATENAY-MALABRY",,"165U",,,1,155773,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0,0,0,"8",2020-07-31,,
"11","92","92035","2019","09203519E0042","1","2","Credit Agricole Immobilier",,"39794200400169","12","PL","des Etats-Unis",,,"92120","Montrouge",,"100","88-92","RUE","Sartoris",,,"92250","La Garenne-Colombes",,"73G","72G","71G",2,0,,,,"6","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,1,0,0,"14",2020-07-31,"2020-03-27",
"11","92","92036","2020","09203620E0004","9","2",,"CEMEX BETONS ILE-DE-FRANCE",,"2","rue","Paul Doumer",,,"91120","PALAISEAU",,"100",,"route","de la Darse N_6 - Port de",,,"92230","Gennevilliers",,"0011F","0015F","0016F",2,62563,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,"2020-07-07",
"11","92","92036","2020","09203620E0006","8","2",,"SEA SAS",,"40","rue","Bonaparte",,,"75006","PARIS",,"100","12","Rue","Heloise Michaud",,,"92230","Gennevilliers",,"0055AR",,,2,519,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,"2020-07-24",
"11","92","92044","2019","09204419D1071","1","2",,"SCCV DE LA MAIN JAUNE","85065577000012","75","rue","des Saints-Peres",,,"75006","PARIS",,"100","18","rue","de Villiers",,,"92300","LEVALLOIS-PERRET",,"0226V",,,2,2198,,,,"8","2",1,0,0,0,0,0,0,0,0,6612,6934,46,4155,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,"2020-06-25",
"11","92","92044","2020","09204420D1085","9","2","SCI","XYN INVEST","84029158700011","24","rue","de la Cerisaie",,,"92150","SURESNES",,"100","46-48","rue","Raspail",,,"92300","LEVALLOIS-PERRET",,"0024G","0026G",,1,1220,,,,,,0,0,0,0,0,0,0,0,0,2408,0,91,0,26,170,0,119,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2020-07-31,,
"11","92","92048","2019","09204819C0065","9","2","SAS","MEUDON TASSIGNY","83417582000010","126",,"avenue du General Leclerc",,,"92100","BOULOGNE-BILLANCOURT",,"100",,,"AVENUE DU MAL DE LATTRE DE",,,"92360","MEUDON-LA-FORET",,"232AR","230AR","268AR",2,14841,,,,"6","1",0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7267,0,0,7267,0,0,0,0,0,0,0,"14",2020-07-31,"2020-07-16",
"11","92","92048","2020","09204820C0040","9","2",,"SCI LATECOERE 2","79158113500013","30",,"avenue Kleber",,,"75116","PARIS",,"100","4/8",,"AVENUE DU MARECHAL JUIN",,,"92360","MEUDON-LA-FORET",,"101AS",,,1,17230,,,,,,0,0,0,0,0,0,0,0,0,80985,28026,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2020-07-31,,
"11","92","92050","2019","09205019T0107","9","2","SAS ELITIS",,"84271719100014","1","ALL","de la Robertsau",,,"67000","Strasbourg",,"100","66","AV","Francois Arago",,,"92000","Nanterre",,"551AH","507AH",,2,2781,,,,,"2",0,0,0,0,0,0,0,0,0,5357,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2020-07-31,"2020-03-24",
