FID,OBJECTID,ID_COMMUNE,NOM_COMMUN,COMMUNE_20,COLLEGES_D,CODE_COLLE,NOM_COLLEG,LYCEES_DE_,Zones_GEO,Shape_Leng,SHAPE_Length,SHAPE_Area
218,220,37197,Rigny-Ussé,RIGNY USSE,HENRI BECQUEREL - AVOINE,0370994E,COLLÈGE HENRI BECQUEREL,RABELAIS - CHINON,037CHIN,18.9523634688,27912.6589465189,13.9721881288
219,221,37123,Langeais,LANGEAIS,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,RABELAIS - CHINON,037CHIN,44.0487480871,65000.2891421869,64.7085992461
220,222,37049,Chambourg-sur-Indre,CHAMBOURG SUR INDRE,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,25.783839322,37918.5257128583,28.4753390848
221,223,37012,Avon-les-Roches,AVON LES ROCHES,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,29.0272064294,42720.4346879426,33.2708362997
222,224,37200,Rivarennes,RIVARENNES,HONORÉ DE BALZAC - AZAY-LE-RIDEAU,0371210P,COLLÈGE HONORÉ DE BALZAC,RABELAIS - CHINON,037CHIN,30.9207335682,45547.2668041807,18.8671076793
223,225,37028,Bossay-sur-Claise,BOSSAY SUR CLAISE,GASTON DEFERRE - PREUILLY-SUR-CLAISE,0370026C,COLLÈGE GASTON DEFERRE,VIGNY - LOCHES,037LOCH,48.4675403501,70837.4573528188,65.5332443085
224,226,37247,Sepmes,SEPMES,CÉLESTIN FREINET - SAINTE-MAURE-DE-TOURAINE,0371101W,COLLÈGE CÉLESTIN FREINET,RABELAIS - CHINON,037CHIN,26.3053767466,38636.7498091655,28.7969302358
225,227,37034,Braslou,BRASLOU,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,24.8084247447,36366.3300562193,15.9298178913
226,228,37138,Lussault-sur-Loire,LUSSAULT SUR LOIRE,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,12.5768216865,18566.6605247676,9.17332204677
227,229,37041,Bueil-en-Touraine,BUEIL EN TOURAINE,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,24.127681668,35796.7448175529,17.9229982862
