FID,OBJECTID,ID_COMMUNE,NOM_COMMUN,COMMUNE_20,COLLEGES_D,CODE_COLLE,NOM_COLLEG,LYCEES_DE_,Zones_GEO,Shape_Leng,SHAPE_Length,SHAPE_Area
16,16,37059,Charentilly,CHARENTILLY,SIMONE VEIL - NEUILLÉ-PONT-PIERRE,0370022Y,COLLÈGE SIMONE VEIL,DESCARTES - TOURS,037DESC,17.4107756216,25751.7071193406,14.1256228758
17,17,37160,Morand,MORAND,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,19.594809294,29033.018896527,14.7489710989
18,18,37251,Souvigné,SOUVIGNE,JOACHIM DU BELLAY - CHÂTEAU-LA-VALLIÈRE,0370006F,COLLÈGE JOACHIM DU BELLAY,CHOISEUL - TOURS,037CHOI,28.1644076077,41693.9422757737,24.8628347981
19,19,37166,Neuillé-le-Lierre,NEUILLE LE LIERRE,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,27.3218025107,40426.4151478669,16.809068981
20,20,37037,Brèches,BRECHES,JOACHIM DU BELLAY - CHÂTEAU-LA-VALLIÈRE,0370006F,COLLÈGE JOACHIM DU BELLAY,CHOISEUL - TOURS,037CHOI,14.7897195387,21909.075790835,11.5570330253
21,21,37182,Pernay,PERNAY,LUCIE ET RAYMOND AUBRAC - LUYNES,0371378X,COLLÈGE LUCIE ET RAYMOND AUBRAC,P.L. COURIER - TOURS,037PLC,20.0540411044,29647.1372788539,17.7866501261
22,22,37158,Montreuil-en-Touraine,MONTREUIL EN TOURAINE,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,24.1945531941,35790.8551646479,25.1643547492
23,23,37280,Vou,VOU,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,21.598220081,31721.8147204864,22.143367032
24,24,37014,Azay-le-Rideau,AZAY LE RIDEAU,HONORÉ DE BALZAC - AZAY-LE-RIDEAU,0371210P,COLLÈGE HONORÉ DE BALZAC,RABELAIS - CHINON,037CHIN,29.1300697851,42897.2076203926,27.3107323461
25,25,37077,Cinq-Mars-la-Pile,CINQ MARS LA PILE,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,RABELAIS - CHINON,037CHIN,20.020580044,29541.2889808499,20.4673779606
26,26,37114,La Guerche,LA GUERCHE,LOUIS LÉGER - LE GRAND-PRESSIGNY,0370011L,COLLÈGE LOUIS LÉGER,VIGNY - LOCHES,037LOCH,12.1328745456,17759.6547588331,5.38536688488
27,27,37044,La Celle-Guenand,LA CELLE GUENAND,LOUIS LÉGER - LE GRAND-PRESSIGNY,0370011L,COLLÈGE LOUIS LÉGER,VIGNY - LOCHES,037LOCH,30.7672966401,45055.1024356109,37.1595155924
28,28,37082,Continvoir,CONTINVOIR,PIERRE DE RONSARD - BOURGUEIL,0370995F,COLLÈGE PIERRE DE RONSARD,RABELAIS - CHINON,037CHIN,40.3463116244,59575.2295906136,41.4495661156
29,29,37210,Saint-Benoît-la-Forêt,SAINT BENOIT LA FORET,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,29.2685526244,43079.9237075515,35.6957822614
30,30,37089,Cravant-les-Côteaux,CRAVANT LES COTEAUX,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,29.9415839023,44031.4937080474,38.313550178
31,31,37162,Mouzay,MOUZAY,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,24.8257522207,36468.7579992443,23.6155346297
32,32,37277,Villeloin-Coulangé,VILLELOIN COULANGE,MONTRÉSOR JEAN LÉVÈQUE - MONTRÉSOR,0370051E,COLLÈGE JEAN LÉVÈQUE,VIGNY - LOCHES,037LOCH,32.9149579756,48375.4735770315,35.03611246
33,33,37161,Mosnes,MOSNES,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,15.4915089324,22899.3212691729,14.4018780333
34,34,37004,Anché,ANCHE,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,12.7743632687,18774.130165642,8.01414201731
35,36,37155,Monthodon,MONTHODON,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VAUCANSON - TOURS,037VAUC,32.1721045886,47741.7944716918,33.9625406103
36,37,37081,Cléré-les-Pins,CLERE LES PINS,BERNARD DE FONTENELLE - SAVIGNÉ-SUR-LATHAN,0370034L,COLLÈGE BERNARD DE FONTENELLE,CHOISEUL - TOURS,037CHOI,29.7034269625,43921.780927497,35.9211286119
37,38,37031,Bourgueil,BOURGUEIL,PIERRE DE RONSARD - BOURGUEIL,0370995F,COLLÈGE PIERRE DE RONSARD,RABELAIS - CHINON,037CHIN,34.5671564185,50996.9088163121,33.0110327076
38,39,37112,Gizeux,GIZEUX,PIERRE DE RONSARD - BOURGUEIL,0370995F,COLLÈGE PIERRE DE RONSARD,RABELAIS - CHINON,037CHIN,29.5178661497,43595.5543826694,21.0948388572
39,40,37024,Benais,BENAIS,PIERRE DE RONSARD - BOURGUEIL,0370995F,COLLÈGE PIERRE DE RONSARD,RABELAIS - CHINON,037CHIN,24.3651262544,35945.9623425898,20.1525183249
40,41,37252,Souvigny-de-Touraine,SOUVIGNY DE TOURAINE,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,27.8517828368,41143.7374808321,25.8536696639
41,42,37116,Les Hermites,LES HERMITES,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VAUCANSON - TOURS,037VAUC,29.8693264721,44326.5121243739,32.747877771
42,43,37069,Chemillé-sur-Indrois,CHEMILLE SUR INDROIS,MONTRÉSOR JEAN LÉVÈQUE - MONTRÉSOR,0370051E,COLLÈGE JEAN LÉVÈQUE,VIGNY - LOCHES,037LOCH,24.4165125844,35895.7648343969,25.000277764
43,44,37111,Genillé,GENILLE,MONTRÉSOR JEAN LÉVÈQUE - MONTRÉSOR,0370051E,COLLÈGE JEAN LÉVÈQUE,VIGNY - LOCHES,037LOCH,43.4847239793,63968.5549194626,63.5019938198
44,45,37258,Thizay,THIZAY,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,14.6623036836,21563.7133012577,6.83641044237
45,46,37086,Courcelles-de-Touraine,COURCELLES DE TOURAINE,BERNARD DE FONTENELLE - SAVIGNÉ-SUR-LATHAN,0370034L,COLLÈGE BERNARD DE FONTENELLE,CHOISEUL - TOURS,037CHOI,28.0490166875,41486.5727061157,26.0363860627
46,47,37230,Saint-Ouen-les-Vignes,SAINT OUEN LES VIGNES,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,21.5134098033,31820.5390886983,18.9310292183
47,48,37040,Brizay,BRIZAY,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,16.4991888141,24231.3149041272,14.4045273891
48,49,37005,Antogny-le-Tillac,ANTOGNY LE TILLAC,BELLEVUE (86),0860015Z,COLLÈGE BELLEVUE (86), , ,20.1771941543,29549.3136537108,17.3215097241
49,50,37048,Chambon,CHAMBON,GASTON DEFERRE - PREUILLY-SUR-CLAISE,0370026C,COLLÈGE GASTON DEFERRE,VIGNY - LOCHES,037LOCH,20.1209366249,29413.6147825854,18.4284217101
50,51,37226,Sainte-Maure-de-Touraine,SAINTE MAURE DE TOURAINE,CÉLESTIN FREINET - SAINTE-MAURE-DE-TOURAINE,0371101W,COLLÈGE CÉLESTIN FREINET,RABELAIS - CHINON,037CHIN,34.2369863564,50295.0452633444,40.7300845449
51,52,37148,Marigny-Marmande,MARIGNY MARMANDE,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,27.5993845922,40447.0506339534,30.7990308715
52,53,37223,Saint-Laurent-de-Lin,SAINT LAURENT DE LIN,JOACHIM DU BELLAY - CHÂTEAU-LA-VALLIÈRE,0370006F,COLLÈGE JOACHIM DU BELLAY,CHOISEUL - TOURS,037CHOI,23.7475273545,35140.0157894124,13.8741041023
53,54,37201,Rivière,RIVIERE,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,11.7644402986,17291.4637828278,3.66548430494
54,55,37098,Draché,DRACHE,CÉLESTIN FREINET - SAINTE-MAURE-DE-TOURAINE,0371101W,COLLÈGE CÉLESTIN FREINET,RABELAIS - CHINON,037CHIN,21.9017118389,32158.2915081174,18.5715570582
55,56,37152,Mettray,METTRAY,LÉONARD DE VINCI - TOURS,0370765F,COLLÈGE LÉONARD DE VINCI,VAUCANSON - TOURS,037VAUC,21.8946978988,32383.9755264546,10.5632098978
56,57,37126,Lerné,LERNE,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,22.4277947128,32969.5822357947,16.4365149816
57,58,37065,Chaveignes,CHAVEIGNES,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,26.9035293881,39461.8385859864,21.3164793313
58,59,37267,Véretz,VERETZ,PHILIPPE DE COMMYNES - TOURS,0371209N,COLLÈGE PHILIPPE DE COMMYNES,P.L. COURIER - TOURS,037PLC,16.6956635915,24639.8760356592,13.3253035687
59,60,37107,Ferrière-Larçon,FERRIERE LARCON,LOUIS LÉGER - LE GRAND-PRESSIGNY,0370011L,COLLÈGE LOUIS LÉGER,VIGNY - LOCHES,037LOCH,23.2304393574,34053.8699992064,21.0827126506
60,61,37259,Tournon-Saint-Pierre,TOURNON SAINT PIERRE,JEAN ROSTAND (36),0360038W,COLLÈGE JEAN ROSTAND (36), , ,19.768069661,28861.7100035421,14.9866403645
61,62,37282,Yzeures-sur-Creuse,YZEURES SUR CREUSE,GASTON DEFERRE - PREUILLY-SUR-CLAISE,0370026C,COLLÈGE GASTON DEFERRE,VIGNY - LOCHES,037LOCH,35.9248554928,52462.1074972555,55.5293696828
62,63,37094,Cussay,CUSSAY,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,24.3849538083,35755.9418924937,26.1271430768
63,64,37101,Épeigné-sur-Dême,EPEIGNE SUR DEME,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,32.020944373,47542.3433115071,21.1086165289
64,65,37175,Nouzilly,NOUZILLY,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VAUCANSON - TOURS,037VAUC,35.2338943568,52181.0482334216,40.3995799098
65,66,37170,Neuvy-le-Roi,NEUVY LE ROI,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,38.8334315016,57584.6931692553,47.8733569747
66,67,37030,Le Boulay,LE BOULAY,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,27.0003756177,40015.598839538,19.9798756656
67,68,37105,Faye-la-Vineuse,FAYE LA VINEUSE,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,21.2863599537,31181.2957026898,17.5517273697
68,69,37154,Montbazon,MONTBAZON,ALBERT CAMUS - MONTBAZON,0370793L,COLLÈGE ALBERT CAMUS,MONNET - JOUÉ-LÈS-TOURS,037JLT,14.9884350704,22092.0961081813,6.52602793185
69,70,37245,Semblançay,SEMBLANCAY,SIMONE VEIL - NEUILLÉ-PONT-PIERRE,0370022Y,COLLÈGE SIMONE VEIL,DESCARTES - TOURS,037DESC,31.8342878957,47117.5350932063,35.7526684091
70,71,37068,Chemillé-sur-Dême,CHEMILLE SUR DEME,HONORÉ RACAN - NEUVY-LE-ROI,0370023Z,COLLÈGE HONORÉ RACAN,DESCARTES - TOURS,037DESC,37.6930829173,55946.4368191662,33.6873643793
71,72,37144,Marçay,MARCAY,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,24.7100843068,36284.8492342445,21.3975312388
72,73,37244,Sazilly,SAZILLY,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,14.6091432151,21459.788484464,10.6433450238
73,74,37242,Savigny-en-Véron,SAVIGNY EN VERON,HENRI BECQUEREL - AVOINE,0370994E,COLLÈGE HENRI BECQUEREL,RABELAIS - CHINON,037CHIN,23.399033412,34432.798246743,21.2138270353
74,75,37042,Candes-Saint-Martin,CANDES SAINT MARTIN,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,12.0214535413,17689.6159705066,5.74810851448
75,76,37096,Dierre,DIERRE,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,15.6428371929,23089.2152896217,10.3322502673
76,77,37115,Descartes,DESCARTES,ROGER JAHAN - DESCARTES,0371192V,COLLÈGE ROGER JAHAN,VIGNY - LOCHES,037LOCH,34.1196339301,50005.7376019626,38.1926834486
77,78,37145,Marcé-sur-Esves,MARCE SUR ESVES,ROGER JAHAN - DESCARTES,0371192V,COLLÈGE ROGER JAHAN,VIGNY - LOCHES,037LOCH,14.5078010882,21284.0899780288,10.9766639664
78,79,37147,Marcilly-sur-Vienne,MARCILLY SUR VIENNE,PATRICK BAUDRY - NOUÂTRE,0370024A,COLLÈGE PATRICK BAUDRY,RABELAIS - CHINON,037CHIN,19.1817041801,28159.1412116492,11.0751751203
79,80,37100,Épeigné-les-Bois,EPEIGNE LES BOIS,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,18.1537913654,26756.2417590587,14.6538971924
80,81,37193,Restigné,RESTIGNE,PIERRE DE RONSARD - BOURGUEIL,0370995F,COLLÈGE PIERRE DE RONSARD,RABELAIS - CHINON,037CHIN,29.1885772467,43034.1426879036,20.2967672776
81,82,37001,Abilly,ABILLY,ROGER JAHAN - DESCARTES,0371192V,COLLÈGE ROGER JAHAN,VIGNY - LOCHES,037LOCH,30.266702772,44321.8907791688,30.616883007
82,83,37131,Limeray,LIMERAY,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,18.7619086299,27749.6420392018,13.8514012136
83,84,37011,Avoine,AVOINE,HENRI BECQUEREL - AVOINE,0370994E,COLLÈGE HENRI BECQUEREL,RABELAIS - CHINON,037CHIN,18.9033594807,27821.8061352304,12.4927197198
84,85,37248,Seuilly,SEUILLY,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,20.3534258521,29917.5334838312,15.7331815115
85,86,37074,Chouzé-sur-Loire,CHOUZE SUR LOIRE,PIERRE DE RONSARD - BOURGUEIL,0370995F,COLLÈGE PIERRE DE RONSARD,RABELAIS - CHINON,037CHIN,25.5844917529,37673.0602544483,28.3891203701
86,87,37058,La Chapelle-sur-Loire,LA CHAPELLE SUR LOIRE,PIERRE DE RONSARD - BOURGUEIL,0370995F,COLLÈGE PIERRE DE RONSARD,RABELAIS - CHINON,037CHIN,24.7889058143,36491.45522635,19.3382728767
87,88,37202,La Roche-Clermault,LA ROCHE CLERMAULT,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,23.0490478836,33881.9190089114,18.0717712902
88,89,37188,Pouzay,POUZAY,PATRICK BAUDRY - NOUÂTRE,0370024A,COLLÈGE PATRICK BAUDRY,RABELAIS - CHINON,037CHIN,22.362646058,32841.6980296331,14.0922875263
89,90,37119,L'Île-Bouchard,L'ILE BOUCHARD,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,12.6822200027,18637.0438757382,3.59652732935
90,91,37064,Chaumussay,CHAUMUSSAY,GASTON DEFERRE - PREUILLY-SUR-CLAISE,0370026C,COLLÈGE GASTON DEFERRE,VIGNY - LOCHES,037LOCH,22.4738408532,32877.0382124793,19.0173578878
91,92,37033,Boussay,BOUSSAY,GASTON DEFERRE - PREUILLY-SUR-CLAISE,0370026C,COLLÈGE GASTON DEFERRE,VIGNY - LOCHES,037LOCH,29.4107686683,42996.6945448014,28.0614379075
92,93,37196,Richelieu,RICHELIEU,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,13.3763673101,19623.6743472442,4.99789118274
93,94,37232,Coteaux-sur-Loire,COTEAUX SUR LOIRE,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,RABELAIS - CHINON,037CHIN,33.5244947364,49441.9123612337,44.3206673387
94,95,37224,Saint-Laurent-en-Gâtines,SAINT LAURENT EN GATINES,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VAUCANSON - TOURS,037VAUC,36.3457902516,53878.2501302964,31.779874064
95,96,37006,Artannes-sur-Indre,ARTANNES SUR INDRE,VAL DE L'INDRE - MONTS,0370993D,COLLÈGE DU VAL DE L'INDRE,MONNET - JOUÉ-LÈS-TOURS,037JLT,30.5560237379,45026.0830284854,21.1833602436
96,97,37088,Couziers,COUZIERS,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,19.4329777831,28590.1144390626,12.0406967196
97,98,37220,Saint-Germain-sur-Vienne,SAINT GERMAIN SUR VIENNE,JEAN ZAY - CHINON,0371159J,COLLÈGE JEAN ZAY,RABELAIS - CHINON,037CHIN,20.8948614883,30734.5241547414,13.4078021534
98,99,37132,Loches,LOCHES,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,30.9786336551,45525.7105469028,27.3324028938
99,100,37189,Preuilly-sur-Claise,PREUILLY SUR CLAISE,GASTON DEFERRE - PREUILLY-SUR-CLAISE,0370026C,COLLÈGE GASTON DEFERRE,VIGNY - LOCHES,037LOCH,22.3422645819,32672.4258395554,12.2045599485
100,101,37130,Ligueil,LIGUEIL,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,30.7150462744,45051.4005952067,29.8153021964
101,102,37035,Braye-sous-Faye,BRAYE SOUS FAYE,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,25.3855926308,37199.3648032425,15.6256801873
102,103,37071,Chezelles,CHEZELLES,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,19.5696748615,28731.0467819561,15.3472492359
103,104,37083,Cormery,CORMERY,ALCUIN - CORMERY,0370010K,COLLÈGE ALCUIN,VIGNY - LOCHES,037LOCH,14.0253834806,20662.9852451241,6.04915569755
104,105,37002,Ambillou,AMBILLOU,BERNARD DE FONTENELLE - SAVIGNÉ-SUR-LATHAN,0370034L,COLLÈGE BERNARD DE FONTENELLE,CHOISEUL - TOURS,037CHOI,35.309903496,52205.4549408359,49.6597884899
105,106,37022,Beaumont-en-Véron,BEAUMONT EN VERON,HENRI BECQUEREL - AVOINE,0370994E,COLLÈGE HENRI BECQUEREL,RABELAIS - CHINON,037CHIN,24.3527004159,35832.1893037108,19.0378146374
106,107,37007,Assay,ASSAY,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,20.5131789429,30105.109736014,14.6891129775
107,108,37118,Huismes,HUISMES,HENRI BECQUEREL - AVOINE,0370994E,COLLÈGE HENRI BECQUEREL,RABELAIS - CHINON,037CHIN,26.0862026955,38403.7265248365,23.760623923
108,109,37099,Druye,DRUYE,RENÉ CASSIN - BALLAN-MIRÉ,0371403Z,COLLÈGE RENÉ CASSIN,MONNET - JOUÉ-LÈS-TOURS,037JLT,20.9038986952,30813.2992714323,22.9686968263
109,110,37015,Azay-sur-Cher,AZAY SUR CHER,PHILIPPE DE COMMYNES - TOURS,0371209N,COLLÈGE PHILIPPE DE COMMYNES,GRANDMONT - TOURS,037GRAN,22.2064371389,32761.1079902453,23.0733568415
110,111,37253,Sublaines,SUBLAINES,LE REFLESSOIR - BLÉRÉ,0371124W,COLLÈGE LE RÉFLESSOIR,VINCI - AMBOISE,037AMBO,18.587351171,27394.2448884469,14.4861221803
111,112,37184,Le Petit-Pressigny,LE PETIT PRESSIGNY,LOUIS LÉGER - LE GRAND-PRESSIGNY,0370011L,COLLÈGE LOUIS LÉGER,VIGNY - LOCHES,037LOCH,28.9634937037,42393.4056093897,32.6161334631
112,113,37142,Maillé,MAILLE,PATRICK BAUDRY - NOUÂTRE,0370024A,COLLÈGE PATRICK BAUDRY,RABELAIS - CHINON,037CHIN,19.760550548,29002.1052930969,15.6103427565
113,114,37262,Trogues,TROGUES,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,13.716462208,20156.7920335073,9.45581975793
114,115,37045,La Celle-Saint-Avant,LA CELLE SAINT AVANT,ROGER JAHAN - DESCARTES,0371192V,COLLÈGE ROGER JAHAN,VIGNY - LOCHES,037LOCH,23.1457690798,33942.4089947693,17.8568489687
115,116,37090,Crissay-sur-Manse,CRISSAY SUR MANSE,ANDRÉ DUCHESNE - L'ÎLE-BOUCHARD,0370013N,COLLÈGE ANDRÉ DUCHESNE,RABELAIS - CHINON,037CHIN,19.7609709456,29068.39859137,7.54207842118
116,117,37057,La Chapelle-Blanche-Saint-Martin,LA CHAPELLE BLANCHE SAINT MARTIN,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,25.1846360361,36983.6290195556,28.5840985899
117,118,37025,Berthenay,BERTHENAY,LAMARTINE - TOURS,0370769K,COLLÈGE LAMARTINE,BALZAC - TOURS,037BALZ,16.2389977671,23951.0442897988,7.36231703903
118,119,37205,Saché,SACHE,HONORÉ DE BALZAC - AZAY-LE-RIDEAU,0371210P,COLLÈGE HONORÉ DE BALZAC,RABELAIS - CHINON,037CHIN,27.6379502786,40711.0433349608,28.0163547179
119,120,37008,Athée-sur-Cher,ATHEE SUR CHER,GEORGES BRASSENS - ESVRES,0371204H,COLLÈGE GEORGES BRASSENS,VINCI - AMBOISE,037AMBO,28.1724768108,41538.7280371408,34.5158240204
120,121,37121,Jaulnay,JAULNAY,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,21.7909578595,31923.7685263724,14.8323610195
121,122,37009,Autrèche,AUTRECHE,ANDRÉ BAUCHANT - CHÂTEAU-RENAULT,0370007G,COLLÈGE ANDRÉ BAUCHANT,VINCI - AMBOISE,037AMBO,20.8841358916,30919.3622456082,20.7371143385
122,123,37061,Charnizay,CHARNIZAY,GASTON DEFERRE - PREUILLY-SUR-CLAISE,0370026C,COLLÈGE GASTON DEFERRE,VIGNY - LOCHES,037LOCH,34.4061892373,50378.4927620935,53.3224567246
123,124,37219,Saint-Genouph,SAINT GENOUPH,LAMARTINE - TOURS,0370769K,COLLÈGE LAMARTINE,BALZAC - TOURS,037BALZ,10.5974635679,15639.3650023069,4.78102345605
124,125,37176,Noyant-de-Touraine,NOYANT DE TOURAINE,CÉLESTIN FREINET - SAINTE-MAURE-DE-TOURAINE,0371101W,COLLÈGE CÉLESTIN FREINET,RABELAIS - CHINON,037CHIN,16.4304026097,24140.3977923019,13.9037913744
125,126,37278,Villeperdue,VILLEPERDUE,ALBERT CAMUS - MONTBAZON,0370793L,COLLÈGE ALBERT CAMUS,MONNET - JOUÉ-LÈS-TOURS,037JLT,19.1580916965,28197.4349596536,12.0331508336
126,127,37257,Thilouze,THILOUZE,HONORÉ DE BALZAC - AZAY-LE-RIDEAU,0371210P,COLLÈGE HONORÉ DE BALZAC,RABELAIS - CHINON,037CHIN,32.2900710686,47550.9775432941,33.9887892851
127,128,37198,Rillé,RILLE,BERNARD DE FONTENELLE - SAVIGNÉ-SUR-LATHAN,0370034L,COLLÈGE BERNARD DE FONTENELLE,CHOISEUL - TOURS,037CHOI,22.3645730334,33062.4913273404,23.8299085477
128,129,37238,Saint-Senoch,SAINT SENOCH,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,26.0747813318,38263.239935527,24.1343537817
129,130,37078,Ciran,CIRAN,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,19.1871332971,28159.1705877118,14.065944184
130,131,37026,Betz-le-Château,BETZ LE CHATEAU,MAURICE GENEVOIX - LIGUEIL,0370015R,COLLÈGE MAURICE GENEVOIX,VIGNY - LOCHES,037LOCH,33.1823207687,48633.5218318454,46.8529774896
131,132,37265,Varennes,VARENNES,GEORGES BESSE - LOCHES,0370768J,COLLÈGE GEORGES BESSE,VIGNY - LOCHES,037LOCH,19.4985403067,28631.6249922232,11.0756660204
132,133,37191,Razines,RAZINES,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,21.7911464235,31934.7617289964,14.7220665456
133,134,37250,Sorigny,SORIGNY,ALBERT CAMUS - MONTBAZON,0370793L,COLLÈGE ALBERT CAMUS,MONNET - JOUÉ-LÈS-TOURS,037JLT,33.7335410469,49686.760043159,43.45257251
134,135,37217,Saint-Étienne-de-Chigny,SAINT ETIENNE DE CHIGNY,LUCIE ET RAYMOND AUBRAC - LUYNES,0371378X,COLLÈGE LUCIE ET RAYMOND AUBRAC,P.L. COURIER - TOURS,037PLC,23.3389109456,34473.7470822719,21.3395363087
135,136,37080,Civray-sur-Esves,CIVRAY SUR ESVES,ROGER JAHAN - DESCARTES,0371192V,COLLÈGE ROGER JAHAN,VIGNY - LOCHES,037LOCH,16.7598302412,24583.1199956876,13.3052612385
136,137,37268,Verneuil-le-Château,VERNEUIL LE CHATEAU,LE PUITS DE LA ROCHE - RICHELIEU,0371191U,COLLÈGE LE PUITS DE LA ROCHE,RABELAIS - CHINON,037CHIN,13.6412544884,20016.7098756777,8.39569661575
137,138,37117,Hommes,HOMMES,BERNARD DE FONTENELLE - SAVIGNÉ-SUR-LATHAN,0370034L,COLLÈGE BERNARD DE FONTENELLE,CHOISEUL - TOURS,037CHOI,26.8197356902,39632.3672448249,30.2968843001
