Section;Sens;Sous Rubrique (Code);Chapitre (Code);Montant du BP (Statistiques)
F;;;;0
;D;;;0
;; ;011;0,00
;; ;040;37 651,91
;; ;66;0,00
;R;;;0
;; ;042;0,00
;; ;043;0,00
;; ;77;37 651,91
I;;;;0
;D;;;0
;; ;001;37 651,91
;; ;040;0,00
;; ;16;0,00
;R;;;0
;; ;042;37 651,91
;; ;16;0,00
