"Bureau_Numero","Bureau_Nom","Bureau_Adresse","Bureau_Latitude","Bureau_Longitude"
"1","Boé Village","Rue de la Mairie","44.16051845019124","0.6269931793212891"
"2","Maison de quartier","Rue de la Gare","44.187192881474566","0.6568609178066254"
"3","Mairie annexe","Avenue de la Résistance","44.18104677771258","0.6645762920379639"
"4","Salle intergénérationnelle","Impasse des Marronniers","44.16349202166675","0.6690026074647903"
"5","Espace culturel François Mitterrand","Avenue François Mitterrand","44.172693481863696","0.6563687324523926"
