X,Y,FID,identifian,zone,date_relev,source,export
338695.2128,7690710.1456,87,186,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338673.6828,7690789.8738,88,187,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338743.9917,7691138.3903,89,188,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338680.7474,7691087.9294,90,189,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338848.6139,7691144.782,91,190,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338766.5309,7691046.5515,92,191,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338877.2084,7690564.8182,93,196,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338908.4941,7690459.5232,94,197,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338952.8997,7690362.6383,95,198,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338982.5034,7690260.0345,96,199,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338784.6968,7690938.9016,97,192,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338812.9549,7690866.2379,98,193,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338830.448,7690760.27,99,194,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338855.0056,7690661.0303,100,195,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339036.6648,7690146.6657,101,200,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339154.7433,7690196.1174,102,201,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339129.1764,7690293.3387,103,202,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339090.8261,7690375.7581,104,203,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339047.7662,7690512.0025,105,204,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339024.5542,7690588.3666,106,205,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338997.6417,7690684.9151,107,206,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
338972.7477,7690781.4636,108,207,ORANGE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339102.9748,7691026.0023,109,208,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339187.3011,7690959.3257,110,209,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339317.0886,7690799.5872,111,210,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339352.9228,7690767.8534,112,211,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
339394.1054,7690719.1831,113,212,VERTE,09/01/2019,"Direction du Plan et du SIG, Mairie de Saint-Denis",08/06/2020
