,kwh,Abonnement,conso,Taxes
Eclairage public,"29943,66","2 525,23€","2 217,36€","1 866,69€"
Batiments,"38424,84","1 696,99€","4 133,50€","2 129,56€"
divers,222,"211,42€","21,62€","40,73€"
