idENT_NCA;NOM;SOUS_TYPE;CODE_INSEE;TYPE;geometry
06088AP044055A;ELEMENTAIRE II JEAN MACE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28149991, 43.71884905]}
06088AS09652C;ELEMENTAIRE II BOIS DE BOULOGNE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2033366, 43.67261498]}
06088AG053928BISA;ELEMENTAIRE ALAIN PEGLION;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29846214, 43.69111227]}
06088AO0198135B;ELEMENTAIRE II MAGNOLIAS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.22029995, 43.67997549]}
06088AL009932B;MATERNELLE LANTERNE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.22550189, 43.67940011]}
06088AH016584A0;GROUPE SCOLAIRE LAS PLANAS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24824052, 43.73245015]}
06088AT045177A0;GROUPE SCOLAIRE RENE ARZIARI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28380342, 43.71486792]}
06088AB0463205A0;GROUPE SCOLAIRE VENTABRUN;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.22699537, 43.70323777]}
06088AV003316BISA0;GROUPE SCOLAIRE SAINTE HELENE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23335487, 43.6855425]}
06088AM09010A0;GROUPE SCOLAIRE SAINT CHARLES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29516579, 43.71778068]}
06088AS0836290A0;GROUPE SCOLAIRE JULES VERNE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20133092, 43.69107638]}
06088AM121085A0;GROUPE SCOLAIRE COL DE VILLEFRANCHE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.30014534, 43.70604287]}
06088AF0033371TERA0;GROUPE SCOLAIRE RAYMOND MORETTI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20750085, 43.70580803]}
06088AM022013B;MATERNELLE CHATEAU;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27831621, 43.69584513]}
06088AC173873A;MATERNELLE CORNICHE FLEURIE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2087285, 43.68565061]}
06088AB020933B;MATERNELLE PIERRE MERLE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2867083, 43.70153917]}
06088AJ041813B;MATERNELLE SAINT ANTOINE DE GINESTIERE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21506414, 43.70938772]}
06088AG046289C;MATERNELLE ANNEXE IUFM;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26800652, 43.71431857]}
06088AS0407137A;MATERNELLE VON DERWIES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2623267, 43.7166425]}
06088AS022010A;MATERNELLE SAINT EXUPERY;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27519519, 43.7345185]}
06088BA0244376A;MATERNELLE PESSICART;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23906054, 43.72294125]}
06088AP03855A;MATERNELLE SAINT SYLVESTRE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24584406, 43.72541768]}
06088AG0044190B;MATERNELLE GAIRAUTINE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26304281, 43.7369313]}
06088AC173834A;MATERNELLE APRAXINE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21495666, 43.68183544]}
06088AC097317B;ELEMENTAIRE BLANCHE DE CASTILLE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29700726, 43.71100099]}
06088AC115524A;MATERNELLE SAINT BARTHELEMY;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25508738, 43.718711]}
06088SS09901B;ELEMENTAIRE SASSERNO;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27069314, 43.70281145]}
06088AE04011A0;GROUPE SCOLAIRE AIME CESAIRE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29273348, 43.72093473]}
06088AG041214A;ELEMENTAIRE JACQUES PREVERT;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.30630299, 43.73924821]}
06088AM09010A;ELEMENTAIRE SAINT CHARLES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29555452, 43.71800292]}
06088AG005022A;ELEMENTAIRE II ROSALINDE RANCHER;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26246946, 43.7260741]}
06088AA106735A;ELEMENTAIRE AUBER;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2615147, 43.70322149]}
06088BA0244189B;ELEMENTAIRE RIGHI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25026043, 43.7156437]}
06088AO00603A;ELEMENTAIRE MARCEL PAGNOL;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29937768, 43.73903136]}
06088AL0099229A;ELEMENTAIRE FABRON;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21216571, 43.68688069]}
06088AL05286A;ELEMENTAIRE I BISCHOFFSHEIM;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29283833, 43.70603367]}
