commune_nom;coll_siret;numero;voie_nom;complement_adresse;latitude;longitude;date de mise à jour
Antibes;21060004500012;14;avenue Guy de Maupassant;;43.34076;7.06370;2020-11-05
Antibes;21060004500012;2;avenue de l'esterel ;Juan Gare;43.34146;7.06425;2020-11-05
Antibes;21060004500012;;Place Pierre Semard ;Antibes Gare;43.35088;7.07110;2020-11-05
Antibes;21060004500012;3;chemin des Sables  ;Palais des Congrès;43.34050;7.06576;2020-11-05
Antibes;21060004500012;3;boulevard Albert 1er ;Place de Gaulle;43.34477;7.07172;2020-11-05
Antibes;21060004500012;991;chemin de la garoupe;La Garoupe;43.5545056;7.13547;2020-11-05
