"Identifiant","Nom","Adresse","Adresse 2","Code postal","Ville","Pays","Longitude","Latitude","Modification"
"192642","CHAPELLE DU BEAUSSET VIEUX","LE BEAUSSET VIEUX","","83330","le-Beausset","FR","5,80500100","43,18513200","04/02/2020 16:27:57"
"192641","COMPLEXE SPORTIF","CHEMIN FOURMIGUE","","83330","le-Beausset","FR","5,81124000","43,19415100","19/02/2020 14:50:27"
"192640","sTADE DE RUGBY","ALLEE YVES DU MANOIR","","83330","le-Beausset","FR","5,80804000","43,19278500","03/02/2020 15:37:57"
"192639","STADE MUNICIPAL","AVENUE DU 8 MAI 1945","","83330","le-Beausset","FR","5,80056400","43,19551800","03/02/2020 15:33:57"
"192432","Pole animation Et culture Saint exupery","CHEMIN DU ROUVE","","83330","le-Beausset","FR","5,79874500","43,19575600","03/02/2020 15:48:53"
"192429","Police Municipale","Esplanade Charles de Gaulles","","83330","le-Beausset","FR","5,80217900","43,19766200","03/02/2020 17:26:08"
