Maison des Associations;Date;Heure de début;Heure de fin;Activité;Type de réservation;;Association
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/10/2015;09H00;12H00;SOCIAL;PERMANENCE;;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
NICE-EST SAINT ROCH;28/10/2015;09H00;12H00;SOCIAL;PERMANENCE;;ATIAM - ASSOCIATION TUTELAIRE DES PERSONNES PROTEGEES DES ALPES MERIDIONALES
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;28/10/2015;09H00;13H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;28/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;28/10/2015;10H00;12H00;ACTIVITE BIEN ETRE;ATELIER;;SYNERGIE OPTIMALE
NICE-EST SAINT ROCH;28/10/2015;11H00;13H00;SPECTACLE VIVANT;COURS;;LA RAPPORTEUSE
NICE-EST SAINT ROCH;28/10/2015;14H00;18H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;28/10/2015;14H00;16H00;THEATRE;COURS;;PLAYS AND SONGS
NICE-EST SAINT ROCH;28/10/2015;14H00;16H00;ACTIVITE BIEN ETRE;COURS;;ASSOCIATION POUR L'ART DU MIEUX ETRE
NICE-EST SAINT ROCH;28/10/2015;15H00;17H00;SANTE;ATELIER;;LE MIROIR DE MISCHA
NICE-EST SAINT ROCH;28/10/2015;16H00;20H00;DANSE ;COURS;;APOLLO DANSE
NICE-EST SAINT ROCH;28/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;28/10/2015;16H00;18H00;SOCIAL;COURS;;LECTURE POUR TOUS
NICE-EST SAINT ROCH;28/10/2015;17H00;18H00;SANTE;ATELIER;;LE MIROIR DE MISCHA
NICE-EST SAINT ROCH;28/10/2015;18H00;21H00;THEATRE;COURS;;COUR ET JARDIN
NICE-EST SAINT ROCH;28/10/2015;18H00;21H00;THEATRE;COURS;;COUR ET JARDIN
NICE-EST SAINT ROCH;28/10/2015;18H00;21H00;THEATRE;COURS;;COUR ET JARDIN
NICE-EST SAINT ROCH;28/10/2015;18H00;21H00;CULTURE;REUNION;;ASPACA - ASSOCIATION SENEGALAISE PROVENCE ALPES COTE D'AZUR
NICE-EST SAINT ROCH;28/10/2015;18H00;21H00;THEATRE;COURS;;COUR ET JARDIN
NICE-EST SAINT ROCH;28/10/2015;18H00;20H00;MUSIQUE;COURS;;DELICES DE MUSIQUE ANCIENNE
NICE-EST SAINT ROCH;28/10/2015;19H00;21H00;DANSE ;COURS;;AMERICAN NEW COUNTRY ATTITUDE - ANCA
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/10/2015;09H00;12H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;29/10/2015;09H00;12H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;29/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;29/10/2015;10H00;11H00;ACTIVITE BIEN ETRE;COURS;;ASSOCIATION POUR L'ART DU MIEUX ETRE
NICE-EST SAINT ROCH;29/10/2015;13H00;16H00;THEATRE;COURS;;COMPAGNIE DE L'ECHO ERRANT
NICE-EST SAINT ROCH;29/10/2015;14H00;17H00;ACTIVITE MANUELLE;REUNION;;LES COUSETTES
NICE-EST SAINT ROCH;29/10/2015;14H00;16H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;29/10/2015;14H00;17H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;29/10/2015;14H00;16H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;29/10/2015;14H00;17H00;SENIORS;REUNION;;IRSEA - ASSOCIATION DES RETRAITES IRSEA DE NICE
NICE-EST SAINT ROCH;29/10/2015;14H00;17H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;29/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;29/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;29/10/2015;17H00;19H00;CULTURE;COURS;;FRANCE RUSSIE
NICE-EST SAINT ROCH;29/10/2015;18H00;21H00;CULTURE;REUNION;;ASPACA - ASSOCIATION SENEGALAISE PROVENCE ALPES COTE D'AZUR
NICE-EST SAINT ROCH;29/10/2015;18H00;21H00;SPECTACLE VIVANT;REUNION;;LA COMPAGNIE DE L'INVENT'ERE
NICE-EST SAINT ROCH;29/10/2015;18H00;19H00;DANSE ;COURS;;MOUVANCES
NICE-EST SAINT ROCH;29/10/2015;18H00;21H00;ORGANISME PUBLIC;REUNION;;MAIRIE DE NICE
NICE-EST SAINT ROCH;29/10/2015;18H00;19H00;CULTURE;COURS;;NUX VOMICA
NICE-EST SAINT ROCH;29/10/2015;19H00;21H00;MUSIQUE;ATELIER;;NHA MITA PEREIRA
NICE-EST SAINT ROCH;29/10/2015;19H00;21H00;CULTURE;ATELIER;;NUX VOMICA
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/10/2015;09H00;12H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;30/10/2015;09H00;11H00;ACTIVITE BIEN ETRE;COURS;;AZUR SOLEIL ACCOMPAGNEMENT
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;30/10/2015;11H00;12H00;ACTIVITE BIEN ETRE;COURS;;AZUR SOLEIL ACCOMPAGNEMENT
NICE-EST SAINT ROCH;30/10/2015;14H00;17H00;SENIORS;REUNION;;IRSEA - ASSOCIATION DES RETRAITES IRSEA DE NICE
NICE-EST SAINT ROCH;30/10/2015;16H00;19H00;CHANT;COURS;;COL CANTO
NICE-EST SAINT ROCH;30/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;30/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;30/10/2015;17H00;18H00;THEATRE;COURS;;COMPAGNIE LA RESERVE
NICE-EST SAINT ROCH;30/10/2015;17H00;21H00;ARTS PLASTIQUES;COURS;;LES GRENOUILLES QUI VOULAIENT VOLER
NICE-EST SAINT ROCH;30/10/2015;18H00;21H00;CULTURE;COURS;;ASSOCIATION M'PARANO MAYOTTE NICE ALPES MARITIMES -976 -
NICE-EST SAINT ROCH;30/10/2015;18H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;30/10/2015;19H00;21H00;THEATRE;COURS;;PLAYS AND SONGS
NICE-EST SAINT ROCH;30/10/2015;19H00;21H00;DANSE ;COURS;;MELI MELO DANCE
NICE-EST SAINT ROCH;30/10/2015;19H00;21H00;DANSE ;COURS;;AMICALEMENT DANSE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;LOISIRS;COURS;;ASM - ARTS SACRES DU MONDE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;MUSIQUE;CONFERENCE;;CMM - CENTRE MUSICAL MEDITERRANEEN
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;SOCIAL;PERMANENCE;;ANIS - ASSOCIATION NICE POUR L'INTEGRATION ET LA SOLIDARITE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;ENVIRONNEMENT;COURS;;LPO - LIGUE POUR LA PROTECTION DES OISEAUX
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;31/10/2015;10H00;11H00;ACTIVITE BIEN ETRE;COURS;;PLANETE ASIE 
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;CULTURE;REUNION;;ASSOCIATION FRANCO TAMOULS DE LA COTE D'AZUR
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;EMPLOI;OCCUPATION PERMANENTE;;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;LOISIRS;COURS;;ASM - ARTS SACRES DU MONDE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;EMPLOI;COURS;;ATHEMIS - ASSISTANCE DU TOURISME, L'HOTELLERIE ET LA MAIN D'OEUVRE INTERNATIONALE SPECIALISEE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;10H00;12H00;SOCIAL;REUNION;;MENSA COTE D'AZUR
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;31/10/2015;10H00;13H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;ACTIVITE BIEN ETRE;COURS;;ENVIE D'ENERGIE
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;ENVIRONNEMENT;COURS;;LPO - LIGUE POUR LA PROTECTION DES OISEAUX
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;SOCIAL;CONFERENCE;;CAUSETTE
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;EMPLOI;OCCUPATION PERMANENTE;;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;CULTURE;REUNION;;ASSOCIATION FRANCO TAMOULS DE LA COTE D'AZUR
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;31/10/2015;14H00;18H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;31/10/2015;15H00;18H00;CHANT;COURS;;IL FAUT Y CROIRE
NICE-EST SAINT ROCH;31/10/2015;15H00;18H00;SOCIAL;REUNION;;FADAM - FEDERATION DES ASSOCIATIONS DE LA DIVERSITE DANS LES ALPES-MARITIMES
NICE-EST SAINT ROCH;31/10/2015;17H00;18H00;MUSIQUE;;;NHA MITA PEREIRA
TRACHEL;26/10/2015;14H00;19H00;PROXIMITE;PERMANENCE;;ASSOCIATION DU QUARTIER SAINT-ETIENNE
TRACHEL;28/10/2015;14H00;19H00;PROXIMITE;PERMANENCE;;ASSOCIATION DU QUARTIER SAINT-ETIENNE
TRACHEL;31/10/2015;10H00;13H00;THEATRE;COURS;;LE QUADRANT MAGIQUE
TRACHEL;31/10/2015;14H00;17H00;CULTURE;REPETITION;;ADRASIE - ASSOCIATION POUR LE DEVELOPPEMENT ET LE RAYONNEMENT DE LA CULTURE DE L'ASIE DU SUD EST
TRACHEL;31/10/2015;18H00;20H00;CULTURE;PERMANENCE;;AMCTCN - ASSOCIATION MASSIWA POUR LA CULTURE ET LA TRADITION COMORIENNE A NICE
