col0, Inscrits	, Emargés	, Procurations	, Votants	, Blancs	, Nuls	, Exprimés	, D'ORNANO, DE LESCURE, CARIGNON, NOBLECOURT, CHALAS, BRUN, PIOLLE
 050 - ABBAYE 2ème Bureau,801,270,5,270,1,2,267,4,11,60,32,43,4,113
 051 - LUCIE AUBRAC 1er bureau,1074,472,14,472,4,5,463,13,18,79,62,63,3,225
 052 - LUCIE AUBRAC 2ème bureau,1335,593,41,593,1,4,588,11,17,113,67,91,5,284
 053 - HOCHE 1er bureau,1243,531,15,531,4,9,518,3,10,141,62,85,6,211
 054 - HOCHE 2ème bureau,1224,461,9,461,3,2,456,4,12,108,55,74,5,198
 055 - HOCHE 3ème bureau,1062,523,13,524,1,5,518,6,8,149,50,96,4,205
 056 - CLEMENCEAU 1er bureau,691,222,2,222,1,1,220,7,15,53,26,19,4,96
 057 - CLEMENCEAU 2ème bureau,1119,442,9,442,6,2,434,9,16,78,56,73,4,198
 058 - CLEMENCEAU 3ème bureau,953,442,16,442,2,5,435,4,12,78,47,63,4,227
 059 - CLEMENCEAU 4ème bureau,988,462,11,462,5,4,453,11,11,81,70,48,9,223
 060 - MENON 1er bureau HOTEL de VILLE,828,450,15,450,9,5,436,10,7,95,52,74,3,195
 061 - MENON 2ème bureau,1234,598,14,601,8,6,587,17,9,162,69,108,7,215
 062 - ALPHONSE DAUDET 1er bureau,1181,376,13,376,10,2,364,20,12,84,61,54,8,125
 063 - ALPHONSE DAUDET 2ème bureau,735,265,19,266,4,3,259,9,6,38,36,31,7,132
 064 - BERTHE DE BOISSIEUX 1er bureau,1499,652,14,652,3,7,642,11,4,133,78,93,7,316
 065 - BERTHE DE BOISSIEUX 2ème bureau,1216,589,12,589,3,3,583,3,24,118,64,107,4,263
 066 - BERTHE DE BOISSIEUX 3ème bureau,1362,673,36,673,4,5,664,7,19,140,67,95,4,332
 067 - BERTHE DE BOISSIEUX 4ème bureau,1127,561,21,561,3,8,550,2,27,73,59,96,3,290
 068 - BERTHE DE BOISSIEUX 5ème bureau,1319,661,40,662,6,2,654,8,20,112,75,103,6,330
 069 - ELISEE CHATIN 1er bureau,756,278,4,278,7,7,264,1,9,65,48,39,5,97
 070 - ELISEE CHATIN 2ème bureau,861,327,8,327,1,3,323,10,8,61,52,49,3,140
 071 - ELISEE CHATIN 3ème bureau,837,380,6,380,2,12,366,8,12,80,42,46,5,173
 072 - CAPUCHE 1er bureau,1077,455,12,455,6,5,444,13,14,85,64,46,7,215
 073 - SIDI BRAHIM 1er bureau,865,349,7,348,3,5,340,7,8,93,42,46,3,141
 074 - SIDI BRAHIM 2ème bureau,810,390,7,390,1,5,384,12,5,65,44,52,3,203
 075 - SIDI BRAHIM 3ème bureau,1042,447,13,447,4,3,440,8,16,95,63,65,6,187
 076 - SIDI BRAHIM 4ème bureau,767,331,16,331,2,2,327,15,11,70,28,36,4,163
 077 - VIGNY MUSSET 1er bureau,1387,455,6,455,7,7,441,14,11,91,102,66,10,147
 078 - VIGNY MUSSET 2ème Bureau,750,263,4,263,3,6,254,11,5,43,47,22,3,123
 079 - BEAUVERT 1er bureau,841,275,1,275,2,3,270,14,6,51,39,41,4,115
 080 - BEAUVERT 2ème bureau,849,339,7,339,3,3,333,21,4,92,45,53,5,113
 081 - ARLEQUIN 1er bureau,868,198,4,198,1,2,195,6,15,51,51,4,5,63
 082 - ARLEQUIN 2ème bureau,823,273,6,273,2,5,266,5,15,36,49,21,10,130
 083 - ARLEQUIN 3ème bureau,625,192,4,191,5,8,178,4,6,30,54,12,3,69
 084 - VILLAGE OLYMPIQUE 1er bureau,743,164,1,165,2,2,161,4,3,51,51,8,6,38
 085 - VILLAGE OLYMPIQUE 2ème bureau,847,163,4,163,6,0,157,2,6,51,45,12,3,38
 086 - ANDRE ABRY 1er bureau,927,321,10,321,6,3,312,13,8,88,37,57,3,106
   GLOBAL	,86517	,36551	,1157	,36556	,313	,326	,35917	,725	,1162	,7114	,4782	,4939	,429	,16766	
	,	,42.24%	,	,42.25%	,0.85%	,0.89%	,98.25%	,2.01%	,3.23%	,19.80%	,13.31%	,13.75%	,1.19%	,46.67%	
