identifiant,nom_aire-covoiturage,Adresse,Commune,code_insee,code_postal,longitude,latitude,nombre_place_stationnement
130048,Aire du Château d'Eau,D215,Andernos-les-Bains,33005,33810,-1.094711,44.744505,10
130041,Aire de covoiturage des Tennis,D208,Arsac,33012,33460,-0.694239,44.994399,6
130001,Nelson Paillou,N89,Artigues-près-Bordeaux,33013,33370,-0.495597,44.867363,38
130002,Aire du stade,D2089,Arveyres,33015,33500,-0.285535,44.886007,10
130049,La tonne à Jeannot,D3,Audenge,33019,33980,-1.007819,44.678571,20
130003,Aire de Baron Bariac,D936,Baron,33028,33750,-0.31351,44.825416,20
130067,Parking de la Mairie,D671,Bellebat,33043,33760, -0.217603,44.738343,6
130004,Bel Air,D137,Berson,33047,33390,-0.594308,45.12511,23
130005,Rue des papetiers,D3,Biganos,33051,33380,-0.966781,44.636593,20
130050,Espace Culturel Lucien Mounaix,D3,Biganos,33051,33380,-0.973451,44.6396,28
130006,Aire de l'église,D104E4,Brach,33070,33480,-0.937234,45.04114,10
130007,Parking de la Piscine,D10,Cadillac,33081,33410,-0.32197,44.635721,27
130042,Centre Commercial La House,D1010,Canéjan,33090,33610,-0.641595,44.751134,10
130008,Parking de la route de Créon,D13,Capian,33093,33550,-0.33136,44.712422,5
130009,Aire de la Presqu'île,D212,Castelnau-de-Médoc,33104,33480,-0.795468,45.02543,10
130010,Aire de covoiturage du Pont de Cotet,D22,Cavignac,33114,33620,-0.380107,45.111965,24
130011,Aire de Choisy,D1010,Cestas,33122,33610,-0.659193,44.736083,8
130012,Centre Commercial Gazinet Nord Cestas,D214E1,Cestas,33122,33610,-0.689765,44.779893,6
130013,Aire de Cantelande,D214,Cestas,33122,33610,-0.68727,44.758128,8
130068,Aire de Jarry,D211,Cestas,33122,33610, -0.737276,44.717383,20
130014,Carrefour Market Créon,D671,Créon,33140,33670,-0.336403,44.772167,22
130057,Parking rue des Jasmins,Avenue de l'Hippodrome,Eysines,33162,33320,-0.636258,44.86918,5
130058,Parking allée du Limancet,Avenue de Saint-Médard,Eysines,33162,33320,-0.657745,44.863626,2
130059,Centre commercial Super U,Avenue du Taillan-Médoc,Eysines,33162,33320,-0.667092,44.89163,5
130015,Place Docteur Dejean,D936,Fargues-Saint-Hilaire,33165,33370,-0.448803,44.823904,20
130016,Aire allée Perrault,A660/D650E3,Gujan-Mestras,33199,33470,-1.072173,44.616305,45
130043,Aire du Maquis de Vignes-Oudides,D4,Hourtin,33203,33990,-1.060135,45.18385,8
130017,Aire de la Plaine des sports,N250,La Teste-de-Buch,33529,33260,-1.124253,44.618751,20
130019,Gare de péage Langon,A62,Langon,33227,33210,-0.262524,44.544671,80
130020,Aire de Blagon,D106,Lanton,33229,33138,-0.934031,44.783615,15
130051,Avenue de la Gare,D3,Lège-Cap-Ferret,33236,33950,-1.145753,44.795933,15
130021,Centre commercial E. Leclerc,D651,Léognan,33238,33850,-0.590252,44.748208,10
130022,Place du Marché,D651,Léognan,33238,33850, -0.599495,44.728587,10
130023,Villeneuve,D107,Le Porge,33333,33680,-1.082982,44.875404,10
130066,Aire carrefour market,D1,Le Taillan-Médoc,33519,33320,-0.668601,44.912684,5
130024,Place Eugène Marcou,D3,Lesparre-Médoc,33240,33340,-0.939028,45.305716,12
130025,Parking Petite Enfance,D10,Le Tourne,33534,33550,-0.402935,44.71055,5
130044,Centre commercial Carrefour ,N230,Lormont,33249,33310,-0.517648,44.865369,5
130026,Parking de la gare,D210,Ludon-Médoc,33256,33290,-0.611342,44.974379,5
130052,Giratoire de la caravelle,D1250,Marcheprime,33555,33380,-0.845121,44.697823,23
130053,Giratoire du cimetière,D5,Marcheprime,33555,33380,-0.85931,44.697156,16
130060,Décathlon Oxylane,D1563,Mérignac,33281,33700,-0.679277,44.830379,5
130061,Parking rue Ariane,Avenue John Fitzgerald Kennedy,Mérignac,33281,33700,-0.686967,44.833978,5
130062,Parking avenue du Maréchal de Lattre de Tassigny ,Avenue du Maréchal de Lattre de Tassigny ,Mérignac,33281,33700,-0.654843,44.845726,5
130063,Place Mondesir ,Avenue d'Arès,Mérignac,33281,33700,-0.615883,44.838269,5
130064,Place du Général Gouraud ,Avenue de l'Yser,Mérignac,33281,33700,-0.667352,44.842324,5
130054,Aire de covoiturage de Mios/A63,D5,Mios,33284,33380,-0.82689,44.664607,65
130028,Parking de la bibliothèque,D10,Paillet,33311,33550,-0.36481,44.685643,5
130029,Parking intermodal,D2,Parempuyre,33312,33290,-0.618775,44.944481,174
130045,Christians FETIS,D2,Pauillac,33314,33250,-0.752338,45.204708,25
130071,Aire Géant Casino Pessac,Avenue de la Tuileranne,Pessac,33318,33600, -0.637406,44.785453,5
130030,Parking allée des Pins,D241,Pompignac,33330,33370,-0.44956,44.850849,11
130031,Aire de la Mairie,D669,Prignac-et-Marcamps,33339,33710,-0.492049,45.032122,10
130032,Cave coopérative,D137,Pugnac,33341,33710,-0.496732,45.075653,10
130069,Aire du Fassier,D132,Pugnac,33341,33710, -0.518776,45.088421,22
130046,Parking de la Gare,D10,Rions,33355,33410,-0.348953,44.66545,5
130033,La Barotte,D670,Saint-André-de-Cubzac,33366,33240,-0.42829,44.991556,30
130034,La Garosse,D137,Saint-André-de-Cubzac,33366,33240,-0.436959,45.005707,83
130035,Stade,D104,Sainte-Hélène,33417,33480,-0.88581,44.965635,10
130036,Collège de l'Estey,D106,Saint-Jean-d'Illac,33422,33420,-0.807431,44.806252,20
130037,Place du 8 mai 1945,D1E8,Saint-Laurent-Médoc,33424,33112,-0.82203,45.149476,15
130065,Parking rue Jean Duperrier,rue Jean Duperrier,Saint-Médard-en-Jalles,33449,33160,-0.717192,44.89268,4
130047,Aire Intermarché Picot,D1215,Saint-Médard-en-Jalles,33449,33160,-0.746558,44.90367,5
130070,Gare routière,Avenue du Général de Gaulle,Saint-Médard-en-Jalles,33449,33160, -0.721809,44.896842,5
130038,Leynier,D133E9,Salignac,33495,33240,-0.380155,45.016394,20
130055,Aire de covoiturage de Salles/Belin-Beliet,D3,Salles,33498,33770, -0.838442,44.534956,48
130040,Parking cimetière,D11,Targon,33523,33760,-0.265592,44.73805,5
130056,Aire de Senau,D2089,Vayres,33539,33870, -0.310860,44.882746,32
130072,Aire du Thion,D1113,Ayguemorte-les-Graves,33023,33640, -0.492548,44.695050,37
130073,Parking Grand Louis , Avenue de l'Hippodrome,Eysines,33162,33320, -0.641970,44.861874,2
130074,Parking rue des Treytins, Rue des Treytins,Eysines,33162,33320, -0.634569,44.879604,4
130075,Parking rue des papillons ,Avenue du Taillan-Médoc,Eysines,33162,33320, -0.633551,44.873126,2
130076,Aire Supermarché Spar," D10
 Avenue de la Garonne  ",Saint-Louis-de-Montferrand,33434,33440, -0.533679,44.954017,5
130077,Parking Feydit ,Route de Feydit,Saint-Médard-en-Jalles,33449,33160,  -0.702976,44.869826,5
130078,Place Georges Blanc ,Avenue de Martignas,Saint-Médard-en-Jalles,33449,33160,  -0.728082,44.865820,5
130079,Aire de covoiturage de Mios/A660,A660/D3,Mios,33284,33380, -0.960078,44.627853,80
130080,Gare de péage Saint Aubin de Blaye,A10/D254,Saint Aubin de Blaye,33374,33820, -0.548916,45.255509,60
130081,Aire des Chapelles,D2089,Saint-Denis-de-Pile,33393,33910, -0.149319,44.980261,18
