Maison des Associations;Date;Heure de début;Heure de fin;Activité;Type de réservation;Associations
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE DES TRANSMISSIONS DE LA COTE D'AZUR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;ANMONM - ASS. NALE DES MEMBRES DE L'ORDRE NATIONAL DU MERITE - Section Départementale des AM 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE DES SOUS MARINIERS DE NICE - COTE D'AZUR AGASM SECTION PEGASE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;ANSORAA - ASSOCIATION NATIONALE DES SOUS-OFFICIERS DE RESERVE DE L'ARMEE DE L'AIR -SECTION AM
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;FNAME-OPEX 06 - FEDERATION NATIONALE DES ANCIENS DES MISSIONS EXTERIEURES DPT 06
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE DES PORTE-DRAPEAUX DES ALPES MARITIMES NICE MONACO
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;AMICALE DES SOUS OFFICIERS DE LA BA 943
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;UADIF06 - UNION DES ANCIENS DEPORTES, INTERNES ET FAMILLES 06
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;LE SOUVENIR FRANCAIS DELEGATION DEPARTEMENTALE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;14H00;17H00;AFFAIRES MILITAIRES;COURS;AMTS - ASSOCIATION MEMOIRE DU TIRAILLEUR SENEGALAIS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;ATM 06 - AMICALE DES TROUPES DE MARINE ET OUTRE MER 06
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;AMTS - ASSOCIATION MEMOIRE DU TIRAILLEUR SENEGALAIS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNPRG NICE - UNION NATIONALE DU PERSONNEL EN RETRAITE DE LA GENDARMERIE - SECTEUR NICE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;ASAF 06 - ASSOCIATION DE SOUTIEN A L'ARMEE FRANCAISE DES ALPES MARITIMES
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;ANORAA - ASSOCIATION NATIONALE DES OFFICIERS DE RESERVE DE L'ARMEE DE L'AIR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;LE SOUVENIR FRANCAIS -COMITE DE NICE - SF
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;11H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;AMMAC - AMICALE DES MARINS ET MARINS ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;14H00;15H00;AFFAIRES MILITAIRES;PERMANENCE;ARAC06 ASSOCIATION REPUBLICAINE DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE COMITE DEPARTEMENTAL06
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;15H00;16H00;AFFAIRES MILITAIRES;PERMANENCE;ARAC NICE ASSOCIATION REPUBLICAINE ANCIENS COMBATTANTS ET VICTIMES DE GUERRE NICE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;15H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;UNPRG UD06 - UNION NATIONALE DU PERSONNEL EN RETRAITE DE LA GENDARMERIE - UNION DEPARTEMENTALE 06 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;AFFAA - ANCIENS DES FORCES FRANCAISES EN ALLEMAGNE ET EN AUTRICHE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UMCA - UNION MEDITERRANEENNE DES COMBATTANTS DE L'AIR ET ANCIENS DE L'ARMEE DE L'AIR
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;14/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNOR CA - UNION DES OFFICIERS DE RESERVE DE LA COTE D'AZUR 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;10H00;12H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;SMLH - SOCIETE DES MEMBRES DE LA LEGION D'HONNEUR - SECTION DES A.M.
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;10H00;12H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;14H00;18H00;ORGANISME PUBLIC;PERMANENCE;MAIRIE DE NICE ANCIENS COMBATTANTS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;SNEMM06 - SOCIETE NATIONALE  D'ENTRAIDE DE LA MEDAILLE MILITAIRE - Union Dép. des AM et Monaco
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;INSTITUT PERICLES - DELEGATION DPTALE DE LA COMMISSION DE LA RESERVE MILITAIRE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNSOR - UNION NATIONALE DES SOUS-OFFICIERS EN RETRAITE - SECTION NICE ET BANLIEUE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;CESEGUMO - CENTRE D'ETUDES SUR LA SECONDE GUERRE MONDIALE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/03/2019;16H00;19H00;AFFAIRES MILITAIRES;PERMANENCE;UNP - UNION NATIONALE DES PARACHUTISTES DE NICE 
GARIBALDI;11/03/2019;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;11/03/2019;09H00;14H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;11/03/2019;09H00;13H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;11/03/2019;11H00;12H00;DANSE ;COURS;TIGRE TANGO
GARIBALDI;11/03/2019;12H00;14H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA
GARIBALDI;11/03/2019;12H00;14H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;11/03/2019;14H00;18H00;DANSE ;COURS;AZUR BALLET
GARIBALDI;11/03/2019;14H00;17H00;ENSEIGNEMENT;CONFERENCE;UNIA-UNIVERSITE DE NICE INTER AGES
GARIBALDI;11/03/2019;14H00;16H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;11/03/2019;14H00;16H00;SOCIAL;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;11/03/2019;16H00;18H00;COURS DE LANGUE;COURS;ASSOCIATION LINGUISTIQUE CULTURELLE ETRANGERE
GARIBALDI;11/03/2019;16H00;18H00;CULTURE;COURS;FRANCE ETATS UNIS NICE
GARIBALDI;11/03/2019;18H00;20H00;ECONOMIE;REUNION;LES AMIS DE NICE COOP
GARIBALDI;11/03/2019;18H00;21H00;ECONOMIE;REUNION;LES AMIS DE NICE COOP
GARIBALDI;11/03/2019;18H00;19H00;ACTIVITE BIEN ETRE;COURS;YOGADOR
GARIBALDI;11/03/2019;18H00;19H00;SANTE;COURS;ASSOCIATION ANTHROPOSOPHIQUE DE NICE 
GARIBALDI;11/03/2019;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;11/03/2019;19H00;21H00;COURS DE LANGUE;COURS;LET'S SPEAK IN ENGLISH
GARIBALDI;11/03/2019;19H00;21H00;SPORT;COURS;FIT'4 U
GARIBALDI;12/03/2019;09H00;12H00;ORGANISME PUBLIC;ATELIER;DIRECTION DE LA SANTE PUBLIQUE
GARIBALDI;12/03/2019;09H00;12H00;SANTE;REUNION;ASFC - ASSOCIATION FRANCAISE DU SYNDROME DE FATIGUE CHRONIQUE 
GARIBALDI;12/03/2019;10H00;12H00;SANTE;ATELIER;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M   
GARIBALDI;12/03/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;12/03/2019;14H00;17H00;THEATRE;COURS;SCENE OUVERTE COMPAGNIE
GARIBALDI;12/03/2019;14H00;18H00;ENSEIGNEMENT;CONFERENCE;AZUR SCIENCES
GARIBALDI;12/03/2019;14H00;17H00;SANTE;REUNION;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;12/03/2019;14H00;17H00;THEATRE;COURS;SCENE OUVERTE COMPAGNIE
GARIBALDI;12/03/2019;14H00;17H00;SANTE;REUNION;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;12/03/2019;18H00;19H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
GARIBALDI;12/03/2019;19H00;21H00;CITOYENNETE;REUNION;ESPRIT MOTARD 06
GARIBALDI;12/03/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;12/03/2019;19H00;20H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;13/03/2019;09H00;13H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;13/03/2019;09H00;10H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA
GARIBALDI;13/03/2019;09H00;12H00;ORGANISME PUBLIC;ATELIER;MAIRIE DE NICE
GARIBALDI;13/03/2019;09H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;13/03/2019;10H00;12H00;SANTE;ATELIER;ASSOCIATION HOSPITALIERE SAINTE MARIE
GARIBALDI;13/03/2019;10H00;11H00;CULTURE;ATELIER;BUBULLE
GARIBALDI;13/03/2019;10H00;12H00;COURS DE LANGUE;COURS;PLANETE ASIE 
GARIBALDI;13/03/2019;13H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;13/03/2019;13H00;17H00;ORGANISME PUBLIC;ATELIER;MAIRIE DE NICE
GARIBALDI;13/03/2019;13H00;18H00;SOCIAL;ATELIER;CHRYSALIDES
GARIBALDI;13/03/2019;14H00;16H00;COURS DE LANGUE;COURS;INSTITUT CONFUCIUS COTE D'AZUR
GARIBALDI;13/03/2019;17H00;19H00;DANSE ;COURS;MOUVANCES
GARIBALDI;13/03/2019;18H00;21H00;CITOYENNETE;REUNION;CNR - COMITE POUR UNE NOUVELLE RESISTANCE 
GARIBALDI;13/03/2019;18H00;20H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;13/03/2019;18H00;20H00;CULTURE;CONFERENCE;VU PAS VU
GARIBALDI;13/03/2019;18H00;20H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;13/03/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;14/03/2019;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;14/03/2019;09H00;13H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;14/03/2019;10H00;12H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;14/03/2019;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;14/03/2019;11H00;12H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;14/03/2019;11H00;12H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;14/03/2019;12H00;13H00;ACTIVITE BIEN ETRE;COURS;LA VOIE ZEN GESTION DU STRESS
GARIBALDI;14/03/2019;12H00;13H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
GARIBALDI;14/03/2019;13H00;15H00;SOCIAL;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;14/03/2019;13H00;18H00;LOISIRS;ATELIER;NICE TAROT CLUB
GARIBALDI;14/03/2019;13H00;14H00;ACTIVITE BIEN ETRE;COURS;LA VOIE ZEN GESTION DU STRESS
GARIBALDI;14/03/2019;14H00;16H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;14/03/2019;14H00;17H00;SOCIAL;PERMANENCE;UN ENFANT PAR LA MAIN
GARIBALDI;14/03/2019;17H00;18H00;HUMANITAIRE;REUNION;ATDQM - AGIR TOUS POUR LA DIGNITE DU QUART MONDE
GARIBALDI;14/03/2019;18H00;21H00;CITOYENNETE;REUNION;CNR - COMITE POUR UNE NOUVELLE RESISTANCE 
GARIBALDI;14/03/2019;18H00;20H00;SPECTACLE VIVANT;REUNION;LA FABRIQUE DES MIRAGES
GARIBALDI;14/03/2019;18H00;21H00;CITOYENNETE;CONFERENCE;LES AMIS DE LA LIBERTE
GARIBALDI;14/03/2019;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;14/03/2019;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;14/03/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;15/03/2019;09H00;12H00;ENSEIGNEMENT;;UNIA-UNIVERSITE DE NICE INTER AGES
GARIBALDI;15/03/2019;10H00;12H00;DANSE ;COURS;CENTRE DE DANSE LUNE ET ETOILES
GARIBALDI;15/03/2019;10H00;14H00;HANDICAP;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;15/03/2019;10H00;11H00;CULTURE;COURS;COLOMBIE COTE D'AZUR CCA
GARIBALDI;15/03/2019;12H00;13H00;ACTIVITE BIEN ETRE;COURS;ARFEUILLE
GARIBALDI;15/03/2019;12H00;13H00;ACTIVITE BIEN ETRE;COURS;ASSOCIATION POUR L'ART DU MIEUX ETRE
GARIBALDI;15/03/2019;12H00;14H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA
GARIBALDI;15/03/2019;14H00;16H00;CULTURE;REUNION;ARJNCA - ASSOCIATION DES RESSORTISSANTS JAPONAIS DE NICE COTE D'AZUR
GARIBALDI;15/03/2019;15H00;17H00;THEATRE;;SCENE OUVERTE COMPAGNIE
GARIBALDI;15/03/2019;16H00;18H00;CULTURE;COURS;FRANCE ETATS UNIS NICE
GARIBALDI;15/03/2019;17H00;18H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;15/03/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;15/03/2019;18H00;21H00;CULTURE;CONFERENCE;CEPPI - CENTRE D'ETUDES PARAPSYCHOLOGIQUES ET DES PHENOMENES INEXPLIQUES
GARIBALDI;15/03/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;15/03/2019;18H00;20H00;CITOYENNETE;ASSEMBLEE GENERALE;COMITE DE DEFENSE DES QUARTIERS REPUBLIQUE - RIQUIER - BARLA - RISSO - PAULIANI
GARIBALDI;15/03/2019;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
GARIBALDI;15/03/2019;19H00;21H00;CULTURE;COURS;ASSOCIATION FRANCE-JAPON - CHAIRE KAWABATA
GARIBALDI;16/03/2019;10H00;13H00;SANTE;ASSEMBLEE GENERALE;AFD 06 - ASSOCIATION DES DIABETIQUES DES ALPES-MARITIMES
GARIBALDI;16/03/2019;10H00;12H00;CULTURE;COURS;LE MONDE RUSSE
GARIBALDI;16/03/2019;10H00;13H00;THEATRE;COURS;LE QUADRANT MAGIQUE
GARIBALDI;16/03/2019;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;16/03/2019;11H00;13H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
GARIBALDI;16/03/2019;14H00;18H00;CINEMA;ATELIER;CSF - CINEMA SANS FRONTIERES
GARIBALDI;16/03/2019;14H00;18H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
GARIBALDI;16/03/2019;14H00;18H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
GARIBALDI;16/03/2019;15H00;18H00;COURS DE LANGUE;ASSEMBLEE GENERALE;AMICALE DES POLONAIS NICE - COTE D'AZUR
GARIBALDI;16/03/2019;16H00;18H00;CULTURE;REPETITION;COLOMBIE COTE D'AZUR CCA
LA LUNA;11/03/2019;09H00;12H00;EMPLOI;REUNION;EGEE 06 - ENTENTE DES GENERATIONS POUR L'EMPLOI ET L'ENTREPRISE
LA LUNA;11/03/2019;09H00;11H00;SPORT;COURS;UN COEUR EN VIE
LA LUNA;11/03/2019;10H00;12H00;ENVIRONNEMENT;PERMANENCE;SENS SOLIDAIRES
LA LUNA;11/03/2019;10H00;12H00;PROXIMITE;COURS;ASSOCIATION MEDIATION CITE
LA LUNA;11/03/2019;14H00;17H00;MUSIQUE;PERMANENCE;ORCHESTRE SYMPHONIQUE EUROPEEN MUSICA E PACE
