Support d'identification,Catégorie,Déchetterie,Date,Heure,Produit,Quantité
25085,PROFESSIONNEL,SAUVETERRE DE GUYENNE,16/02/2013,10:06:00,TOUT VENANT ENCOMBRANTS,"0,00"
06593,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,10:21:00,BOIS TRAITE,"0,00"
06766,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,10:45:00,FERRAILLE,"0,00"
27535,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,10:48:00,FERRAILLE,"0,00"
07692,PARTICULIER,RIMONS,16/02/2013,09:48:00,CARTON,"1,00"
25560,PARTICULIER,RIMONS,16/02/2013,10:02:00,CARTON,"1,00"
07937,PARTICULIER,RIMONS,16/02/2013,10:14:00,CARTON,"1,00"
05506,PARTICULIER,RIMONS,16/02/2013,10:20:00,CARTON,"1,00"
06580,PARTICULIER,RIMONS,16/02/2013,10:52:00,CARTON,"1,00"
07899,PARTICULIER,RIMONS,16/02/2013,11:13:00,CARTON,"1,00"
00076,PARTICULIER,RIMONS,16/02/2013,11:25:00,CARTON,"1,00"
07256,PARTICULIER,GENSAC,16/02/2013,10:14:00,NYLON,"1,00"
07256,PARTICULIER,GENSAC,16/02/2013,10:14:00,GRAVATS,"1,00"
07256,PARTICULIER,GENSAC,16/02/2013,10:14:00,BOUTEILLES VERRES,"1,00"
07256,PARTICULIER,GENSAC,16/02/2013,10:14:00,PAPIER,"1,00"
07374,PARTICULIER,RIMONS,16/02/2013,14:28:00,CARTON,"1,00"
07796,PARTICULIER,RIMONS,16/02/2013,14:46:00,CARTON,"1,00"
07893,PARTICULIER,RIMONS,16/02/2013,15:04:00,CARTON,"1,00"
05565,PARTICULIER,RIMONS,16/02/2013,15:31:00,CARTON,"1,00"
06177,PARTICULIER,RIMONS,16/02/2013,15:42:00,CARTON,"1,00"
24598,PARTICULIER,RIMONS,16/02/2013,15:45:00,CARTON,"1,00"
08050,PARTICULIER,RIMONS,16/02/2013,15:51:00,CARTON,"1,00"
07954,PARTICULIER,RIMONS,16/02/2013,16:00:00,CARTON,"1,00"
26213,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,11:16:00,FERRAILLE,"0,00"
25360,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,11:23:00,DECHETS VERTS,"0,00"
07471,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,11:38:00,DECHETS VERTS,"0,00"
29332,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,14:06:00,FERRAILLE,"0,00"
06469,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,14:31:00,CARTON,"0,00"
08168,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,14:33:00,FERRAILLE,"0,00"
04810,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,14:36:00,TOUT VENANT ENCOMBRANTS,"0,00"
25527,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,15:00:00,CARTON,"0,00"
06469,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,15:06:00,FERRAILLE,"0,00"
26213,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,15:10:00,BOIS TRAITE,"0,00"
06183,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,15:12:00,DECHETS VERTS,"0,00"
07406,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,15:22:00,FERRAILLE,"0,00"
06769,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,15:24:00,TOUT VENANT ENCOMBRANTS,"0,00"
25149,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,15:39:00,DECHETS VERTS,"0,00"
06044,PROFESSIONNEL,SAUVETERRE DE GUYENNE,16/02/2013,15:43:00,TOUT VENANT ENCOMBRANTS,"0,00"
25360,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,15:58:00,DECHETS VERTS,"0,00"
06183,PARTICULIER,SAUVETERRE DE GUYENNE,16/02/2013,16:34:00,DECHETS VERTS,"0,00"
