Support d'identification,Catégorie,Déchetterie,Date,Heure,Produit,Quantité
06190,PARTICULIER,RIMONS,21/03/2013,15:01:00,,"0,00"
03041,PROFESSIONNEL,RIMONS,21/03/2013,15:30:00,,"0,00"
05137,PARTICULIER,RIMONS,21/03/2013,15:55:00,,"0,00"
01864,PARTICULIER,RIMONS,21/03/2013,15:59:00,,"0,00"
07214,PARTICULIER,RIMONS,21/03/2013,16:06:00,,"0,00"
05481,PARTICULIER,RIMONS,21/03/2013,17:21:00,,"0,00"
07248,PROFESSIONNEL,LA REOLE,21/03/2013,09:11:00,,"0,00"
07932,PROFESSIONNEL,LA REOLE,21/03/2013,09:18:00,,"0,00"
25498,PARTICULIER,LA REOLE,21/03/2013,09:46:00,,"0,00"
09600,PARTICULIER,LA REOLE,21/03/2013,10:50:00,,"0,00"
06451,PARTICULIER,LA REOLE,21/03/2013,11:09:00,,"0,00"
07385,PARTICULIER,LA REOLE,21/03/2013,11:18:00,,"0,00"
07402,PARTICULIER,LA REOLE,21/03/2013,11:19:00,,"0,00"
04228,PARTICULIER,GENSAC,21/03/2013,08:58:00,,"0,00"
05444,PARTICULIER,GENSAC,21/03/2013,09:35:00,,"0,00"
01675,PARTICULIER,GENSAC,21/03/2013,09:40:00,,"0,00"
07462,PARTICULIER,GENSAC,21/03/2013,09:52:00,,"0,00"
07836,PARTICULIER,GENSAC,21/03/2013,10:04:00,,"0,00"
01255,PARTICULIER,GENSAC,21/03/2013,10:27:00,,"0,00"
06923,PARTICULIER,GENSAC,21/03/2013,10:43:00,,"0,00"
07429,PARTICULIER,GENSAC,21/03/2013,10:55:00,,"0,00"
07428,PARTICULIER,GENSAC,21/03/2013,10:55:00,,"0,00"
01241,PARTICULIER,GENSAC,21/03/2013,11:08:00,,"0,00"
07372,PARTICULIER,GENSAC,21/03/2013,11:24:00,,"0,00"
05904,PARTICULIER,GENSAC,21/03/2013,14:00:00,,"0,00"
08285,PARTICULIER,GENSAC,22/03/2013,09:28:00,,"0,00"
05387,PARTICULIER,GENSAC,22/03/2013,09:35:00,,"0,00"
03083,PROFESSIONNEL,GENSAC,22/03/2013,09:38:00,,"0,00"
04227,PARTICULIER,GENSAC,22/03/2013,09:50:00,,"0,00"
07354,PARTICULIER,GENSAC,22/03/2013,09:59:00,,"0,00"
25376,PARTICULIER,GENSAC,22/03/2013,10:06:00,,"0,00"
01248,PARTICULIER,GENSAC,22/03/2013,10:31:00,,"0,00"
29390,PARTICULIER,GENSAC,22/03/2013,11:32:00,,"0,00"
03118,PROFESSIONNEL,GENSAC,22/03/2013,11:52:00,,"0,00"
27466,PARTICULIER,GENSAC,22/03/2013,14:03:00,,"0,00"
04246,PARTICULIER,GENSAC,22/03/2013,14:32:00,,"0,00"
08123,PARTICULIER,GENSAC,22/03/2013,14:35:00,,"0,00"
04259,PARTICULIER,GENSAC,22/03/2013,14:42:00,,"0,00"
03089,PROFESSIONNEL,GENSAC,22/03/2013,14:44:00,,"0,00"
07259,PARTICULIER,GENSAC,22/03/2013,14:48:00,,"0,00"
07161,PARTICULIER,GENSAC,22/03/2013,15:58:00,,"0,00"
04258,PARTICULIER,GENSAC,22/03/2013,16:00:00,,"0,00"
07835,PARTICULIER,GENSAC,22/03/2013,16:18:00,,"0,00"
27404,PARTICULIER,GENSAC,22/03/2013,16:19:00,,"0,00"
08154,PARTICULIER,GENSAC,22/03/2013,16:40:00,,"0,00"
06268,PROFESSIONNEL,GENSAC,22/03/2013,16:50:00,,"0,00"
06268,PROFESSIONNEL,GENSAC,22/03/2013,17:32:00,,"0,00"
02478,PARTICULIER,RIMONS,22/03/2013,08:59:00,,"0,00"
07598,PARTICULIER,RIMONS,22/03/2013,09:15:00,,"0,00"
24232,PARTICULIER,RIMONS,22/03/2013,09:29:00,,"0,00"
08202,PARTICULIER,RIMONS,22/03/2013,10:38:00,,"0,00"
05421,PARTICULIER,RIMONS,22/03/2013,11:04:00,,"0,00"
08398,PARTICULIER,RIMONS,22/03/2013,11:05:00,,"0,00"
07598,PARTICULIER,RIMONS,22/03/2013,11:07:00,,"0,00"
03115,PROFESSIONNEL,RIMONS,22/03/2013,14:44:00,,"0,00"
05121,PARTICULIER,RIMONS,22/03/2013,16:03:00,,"0,00"
24268,PROFESSIONNEL,RIMONS,22/03/2013,16:05:00,,"0,00"
02442,PARTICULIER,RIMONS,22/03/2013,16:05:00,,"0,00"
05121,PARTICULIER,RIMONS,22/03/2013,16:06:00,,"0,00"
25112,PARTICULIER,RIMONS,22/03/2013,16:16:00,,"0,00"
09498,PARTICULIER,RIMONS,22/03/2013,16:17:00,,"0,00"
24877,PARTICULIER,RIMONS,22/03/2013,16:33:00,,"0,00"
01597,PARTICULIER,RIMONS,22/03/2013,16:44:00,,"0,00"
08027,PARTICULIER,RIMONS,22/03/2013,17:10:00,,"0,00"
07589,PARTICULIER,LA REOLE,22/03/2013,10:10:00,,"0,00"
04826,PARTICULIER,LA REOLE,22/03/2013,10:33:00,,"0,00"
00912,PARTICULIER,LA REOLE,22/03/2013,10:34:00,,"0,00"
29333,PARTICULIER,LA REOLE,22/03/2013,11:16:00,,"0,00"
25517,PARTICULIER,LA REOLE,22/03/2013,11:24:00,,"0,00"
01694,PARTICULIER,LA REOLE,22/03/2013,14:06:00,,"0,00"
05271,PARTICULIER,LA REOLE,22/03/2013,14:17:00,,"0,00"
09407,PARTICULIER,LA REOLE,22/03/2013,14:35:00,,"0,00"
08129,PARTICULIER,LA REOLE,22/03/2013,14:38:00,,"0,00"
24781,PARTICULIER,LA REOLE,22/03/2013,14:44:00,,"0,00"
00826,PARTICULIER,LA REOLE,22/03/2013,14:45:00,,"0,00"
25361,PARTICULIER,LA REOLE,22/03/2013,15:19:00,,"0,00"
07333,PROFESSIONNEL,LA REOLE,22/03/2013,15:54:00,,"0,00"
28357,PARTICULIER,LA REOLE,22/03/2013,15:56:00,,"0,00"
25196,PARTICULIER,LA REOLE,22/03/2013,16:33:00,,"0,00"
07400,PARTICULIER,LA REOLE,22/03/2013,16:33:00,,"0,00"
09439,PARTICULIER,LA REOLE,22/03/2013,16:49:00,,"0,00"
05539,PARTICULIER,LA REOLE,22/03/2013,17:24:00,,"0,00"
25085,PROFESSIONNEL,LA REOLE,22/03/2013,17:30:00,,"0,00"
27466,PARTICULIER,GENSAC,23/03/2013,09:00:00,,"0,00"
07150,PARTICULIER,GENSAC,23/03/2013,09:00:00,,"0,00"
25490,PARTICULIER,GENSAC,23/03/2013,09:51:00,,"0,00"
01259,PARTICULIER,GENSAC,23/03/2013,10:38:00,,"0,00"
01980,PARTICULIER,GENSAC,23/03/2013,10:46:00,,"0,00"
00037,PARTICULIER,GENSAC,23/03/2013,10:51:00,,"0,00"
00010,PARTICULIER,GENSAC,23/03/2013,11:00:00,,"0,00"
07256,PARTICULIER,GENSAC,23/03/2013,11:02:00,,"0,00"
01255,PARTICULIER,GENSAC,23/03/2013,11:11:00,,"0,00"
24252,PARTICULIER,GENSAC,23/03/2013,11:39:00,,"0,00"
04349,PARTICULIER,GENSAC,23/03/2013,14:26:00,,"0,00"
08316,PROFESSIONNEL,GENSAC,23/03/2013,14:27:00,,"0,00"
07167,PARTICULIER,GENSAC,23/03/2013,14:31:00,,"0,00"
24252,PARTICULIER,GENSAC,23/03/2013,14:39:00,,"0,00"
06929,PARTICULIER,GENSAC,23/03/2013,15:41:00,,"0,00"
01994,PARTICULIER,GENSAC,23/03/2013,16:04:00,,"0,00"
04858,PARTICULIER,GENSAC,23/03/2013,16:09:00,,"0,00"
07963,PARTICULIER,GENSAC,23/03/2013,16:23:00,,"0,00"
07168,PARTICULIER,GENSAC,23/03/2013,16:30:00,,"0,00"
24014,PARTICULIER,GENSAC,23/03/2013,16:31:00,,"0,00"
06313,PARTICULIER,GENSAC,23/03/2013,16:57:00,,"0,00"
06932,PARTICULIER,GENSAC,23/03/2013,17:08:00,,"0,00"
06468,PARTICULIER,GENSAC,23/03/2013,17:10:00,,"0,00"
05007,PROFESSIONNEL,GENSAC,23/03/2013,17:22:00,,"0,00"
00176,PARTICULIER,RIMONS,23/03/2013,08:56:00,,"0,00"
06088,PARTICULIER,RIMONS,23/03/2013,08:56:00,,"0,00"
07489,PARTICULIER,RIMONS,23/03/2013,10:02:00,,"0,00"
26336,PARTICULIER,RIMONS,23/03/2013,10:35:00,,"0,00"
09508,PARTICULIER,RIMONS,23/03/2013,11:00:00,,"0,00"
06112,PARTICULIER,RIMONS,23/03/2013,11:27:00,,"0,00"
05532,PARTICULIER,RIMONS,23/03/2013,11:29:00,,"0,00"
00030,PARTICULIER,RIMONS,23/03/2013,11:30:00,,"0,00"
24931,PARTICULIER,RIMONS,23/03/2013,11:36:00,,"0,00"
08041,PARTICULIER,RIMONS,23/03/2013,11:43:00,,"0,00"
09486,PARTICULIER,RIMONS,23/03/2013,13:55:00,,"0,00"
09522,PARTICULIER,RIMONS,23/03/2013,14:00:00,,"0,00"
09486,PARTICULIER,RIMONS,23/03/2013,14:18:00,,"0,00"
24187,PARTICULIER,RIMONS,23/03/2013,14:40:00,,"0,00"
03041,PROFESSIONNEL,RIMONS,23/03/2013,14:41:00,,"0,00"
06189,PARTICULIER,RIMONS,23/03/2013,15:11:00,,"0,00"
07371,PARTICULIER,RIMONS,23/03/2013,15:15:00,,"0,00"
24745,PARTICULIER,RIMONS,23/03/2013,15:37:00,,"0,00"
05481,PARTICULIER,RIMONS,23/03/2013,15:39:00,,"0,00"
25113,PARTICULIER,RIMONS,23/03/2013,15:52:00,,"0,00"
06110,PARTICULIER,RIMONS,23/03/2013,15:53:00,,"0,00"
05428,PARTICULIER,RIMONS,23/03/2013,16:05:00,,"0,00"
04647,PARTICULIER,RIMONS,23/03/2013,16:12:00,,"0,00"
01579,PARTICULIER,RIMONS,23/03/2013,16:19:00,,"0,00"
01579,PARTICULIER,RIMONS,23/03/2013,16:19:00,,"0,00"
09508,PARTICULIER,RIMONS,23/03/2013,16:34:00,,"0,00"
07731,PROFESSIONNEL,RIMONS,23/03/2013,16:35:00,,"0,00"
09506,PARTICULIER,RIMONS,23/03/2013,17:02:00,,"0,00"
06159,PARTICULIER,RIMONS,23/03/2013,17:05:00,,"0,00"
06544,PARTICULIER,RIMONS,23/03/2013,17:24:00,,"0,00"
07383,PARTICULIER,LA REOLE,23/03/2013,09:14:00,,"0,00"
06766,PARTICULIER,LA REOLE,23/03/2013,09:17:00,,"0,00"
08011,PARTICULIER,LA REOLE,23/03/2013,09:19:00,,"0,00"
25505,PARTICULIER,LA REOLE,23/03/2013,09:28:00,,"0,00"
05271,PARTICULIER,LA REOLE,23/03/2013,09:40:00,,"0,00"
05128,PARTICULIER,LA REOLE,23/03/2013,10:14:00,,"0,00"
26260,PARTICULIER,LA REOLE,23/03/2013,10:28:00,,"0,00"
25498,PARTICULIER,LA REOLE,23/03/2013,11:24:00,,"0,00"
01721,PARTICULIER,LA REOLE,23/03/2013,11:33:00,,"0,00"
24589,PARTICULIER,LA REOLE,23/03/2013,11:43:00,,"0,00"
09600,PARTICULIER,LA REOLE,23/03/2013,14:02:00,,"0,00"
09542,PARTICULIER,LA REOLE,23/03/2013,14:05:00,,"0,00"
24403,PARTICULIER,LA REOLE,23/03/2013,14:13:00,,"0,00"
07388,PARTICULIER,LA REOLE,23/03/2013,14:32:00,,"0,00"
08047,PARTICULIER,LA REOLE,23/03/2013,15:27:00,,"0,00"
07078,PARTICULIER,LA REOLE,23/03/2013,15:45:00,,"0,00"
06469,PARTICULIER,LA REOLE,23/03/2013,16:36:00,,"0,00"
08042,PARTICULIER,LA REOLE,23/03/2013,16:37:00,,"0,00"
05970,PARTICULIER,LA REOLE,23/03/2013,16:38:00,,"0,00"
05327,PARTICULIER,LA REOLE,23/03/2013,16:52:00,,"0,00"
06509,PARTICULIER,LA REOLE,23/03/2013,16:58:00,,"0,00"
25575,PARTICULIER,GENSAC,25/03/2013,09:22:00,,"0,00"
25490,PARTICULIER,GENSAC,25/03/2013,09:26:00,,"0,00"
04262,PARTICULIER,GENSAC,25/03/2013,09:30:00,,"0,00"
06932,PARTICULIER,GENSAC,25/03/2013,09:47:00,,"0,00"
08111,PARTICULIER,GENSAC,25/03/2013,10:17:00,,"0,00"
05642,PARTICULIER,GENSAC,25/03/2013,10:20:00,,"0,00"
25175,PARTICULIER,GENSAC,25/03/2013,10:28:00,,"0,00"
06915,PARTICULIER,GENSAC,25/03/2013,10:30:00,,"0,00"
07035,PROFESSIONNEL,GENSAC,25/03/2013,11:36:00,,"0,00"
24633,PARTICULIER,GENSAC,25/03/2013,11:43:00,,"0,00"
27439,PARTICULIER,GENSAC,25/03/2013,11:54:00,,"0,00"
24673,PARTICULIER,GENSAC,25/03/2013,14:00:00,,"0,00"
03089,PROFESSIONNEL,GENSAC,25/03/2013,14:34:00,,"0,00"
07372,PARTICULIER,GENSAC,25/03/2013,14:43:00,,"0,00"
28295,PARTICULIER,GENSAC,25/03/2013,14:55:00,,"0,00"
08285,PARTICULIER,GENSAC,25/03/2013,14:58:00,,"0,00"
08178,PROFESSIONNEL,GENSAC,25/03/2013,15:22:00,,"0,00"
06963,PARTICULIER,GENSAC,25/03/2013,16:21:00,,"0,00"
03067,PROFESSIONNEL,LA REOLE,26/03/2013,11:54:00,,"0,00"
28357,PARTICULIER,LA REOLE,26/03/2013,14:07:00,,"0,00"
03067,PROFESSIONNEL,LA REOLE,26/03/2013,14:24:00,,"0,00"
05126,PARTICULIER,LA REOLE,26/03/2013,15:09:00,,"0,00"
25085,PROFESSIONNEL,LA REOLE,26/03/2013,15:22:00,,"0,00"
08118,PARTICULIER,LA REOLE,26/03/2013,15:22:00,,"0,00"
25502,PARTICULIER,LA REOLE,26/03/2013,15:28:00,,"0,00"
05343,PARTICULIER,LA REOLE,26/03/2013,15:39:00,,"0,00"
06457,PARTICULIER,LA REOLE,26/03/2013,15:45:00,,"0,00"
06956,PARTICULIER,LA REOLE,26/03/2013,15:51:00,,"0,00"
01715,,LA REOLE,26/03/2013,15:52:00,,"0,00"
26557,PARTICULIER,LA REOLE,26/03/2013,15:55:00,,"0,00"
05582,PARTICULIER,LA REOLE,26/03/2013,16:35:00,,"0,00"
07871,PROFESSIONNEL,LA REOLE,26/03/2013,16:41:00,,"0,00"
04662,PARTICULIER,LA REOLE,26/03/2013,16:49:00,,"0,00"
24712,PARTICULIER,RIMONS,26/03/2013,09:06:00,,"0,00"
05137,PARTICULIER,RIMONS,26/03/2013,09:08:00,,"0,00"
00819,PARTICULIER,RIMONS,26/03/2013,09:20:00,,"0,00"
05060,PARTICULIER,RIMONS,26/03/2013,09:27:00,,"0,00"
06143,PARTICULIER,RIMONS,26/03/2013,09:42:00,,"0,00"
07598,PARTICULIER,RIMONS,26/03/2013,09:57:00,,"0,00"
26472,PROFESSIONNEL,RIMONS,26/03/2013,09:58:00,,"0,00"
04804,PARTICULIER,RIMONS,26/03/2013,10:06:00,,"0,00"
06487,PARTICULIER,RIMONS,26/03/2013,10:11:00,,"0,00"
26443,PROFESSIONNEL,RIMONS,26/03/2013,10:23:00,,"0,00"
24032,PARTICULIER,RIMONS,26/03/2013,10:30:00,,"0,00"
24232,PARTICULIER,RIMONS,26/03/2013,10:31:00,,"0,00"
07075,PARTICULIER,RIMONS,26/03/2013,11:29:00,,"0,00"
08019,PARTICULIER,RIMONS,26/03/2013,11:39:00,,"0,00"
05089,PARTICULIER,RIMONS,26/03/2013,11:42:00,,"0,00"
04656,PARTICULIER,RIMONS,26/03/2013,14:04:00,,"0,00"
03013,PROFESSIONNEL,RIMONS,26/03/2013,14:11:00,,"0,00"
08398,PARTICULIER,RIMONS,26/03/2013,14:11:00,,"0,00"
24709,PARTICULIER,RIMONS,26/03/2013,14:14:00,,"0,00"
05473,PARTICULIER,RIMONS,26/03/2013,14:15:00,,"0,00"
04656,PARTICULIER,RIMONS,26/03/2013,14:36:00,,"0,00"
25430,PARTICULIER,RIMONS,26/03/2013,14:53:00,,"0,00"
25578,PARTICULIER,RIMONS,26/03/2013,15:57:00,,"0,00"
09498,PARTICULIER,RIMONS,26/03/2013,16:02:00,,"0,00"
06480,PARTICULIER,RIMONS,26/03/2013,16:10:00,,"0,00"
06140,PARTICULIER,RIMONS,26/03/2013,16:14:00,,"0,00"
07214,PARTICULIER,RIMONS,26/03/2013,16:16:00,,"0,00"
05321,PARTICULIER,RIMONS,26/03/2013,16:51:00,,"0,00"
24999,PARTICULIER,RIMONS,26/03/2013,17:04:00,,"0,00"
07947,PARTICULIER,LA REOLE,26/03/2013,09:30:00,,"0,00"
05780,PARTICULIER,LA REOLE,26/03/2013,09:39:00,,"0,00"
07173,PARTICULIER,LA REOLE,26/03/2013,09:46:00,,"0,00"
25498,PARTICULIER,LA REOLE,26/03/2013,09:56:00,,"0,00"
04660,PARTICULIER,LA REOLE,26/03/2013,10:54:00,,"0,00"
01757,PARTICULIER,LA REOLE,26/03/2013,11:05:00,,"0,00"
07431,PARTICULIER,LA REOLE,26/03/2013,11:07:00,,"0,00"
25517,PARTICULIER,LA REOLE,26/03/2013,11:08:00,,"0,00"
03053,PROFESSIONNEL,LA REOLE,26/03/2013,11:25:00,,"0,00"
01903,PARTICULIER,LA REOLE,26/03/2013,11:34:00,,"0,00"
24022,PROFESSIONNEL,LA REOLE,27/03/2013,08:57:00,,"0,00"
24589,PARTICULIER,LA REOLE,27/03/2013,09:22:00,,"0,00"
05120,PARTICULIER,LA REOLE,27/03/2013,09:26:00,,"0,00"
29255,PARTICULIER,RIMONS,27/03/2013,17:04:00,,"0,00"
26466,PARTICULIER,RIMONS,27/03/2013,16:31:00,,"0,00"
27568,PARTICULIER,RIMONS,27/03/2013,15:32:00,,"0,00"
27566,PARTICULIER,RIMONS,27/03/2013,15:31:00,,"0,00"
02489,PARTICULIER,RIMONS,27/03/2013,15:27:00,,"0,00"
06311,PARTICULIER,RIMONS,27/03/2013,15:22:00,,"0,00"
08175,PARTICULIER,RIMONS,27/03/2013,14:59:00,,"0,00"
05044,PARTICULIER,RIMONS,27/03/2013,14:49:00,,"0,00"
08050,PARTICULIER,RIMONS,27/03/2013,14:17:00,,"0,00"
01255,PARTICULIER,GENSAC,27/03/2013,11:35:00,,"0,00"
27412,PARTICULIER,GENSAC,27/03/2013,11:38:00,,"0,00"
26254,PARTICULIER,GENSAC,27/03/2013,13:34:00,,"0,00"
08086,PARTICULIER,GENSAC,27/03/2013,13:34:00,,"0,00"
06297,PARTICULIER,GENSAC,27/03/2013,13:35:00,,"0,00"
07069,PARTICULIER,GENSAC,27/03/2013,13:35:00,,"0,00"
07247,PARTICULIER,GENSAC,27/03/2013,13:35:00,,"0,00"
08123,PARTICULIER,GENSAC,27/03/2013,13:35:00,,"0,00"
24660,PARTICULIER,GENSAC,27/03/2013,13:35:00,,"0,00"
05940,PARTICULIER,GENSAC,27/03/2013,13:36:00,,"0,00"
06332,PARTICULIER,GENSAC,27/03/2013,13:36:00,,"0,00"
05747,PARTICULIER,GENSAC,27/03/2013,13:36:00,,"0,00"
08316,PROFESSIONNEL,GENSAC,27/03/2013,13:36:00,,"0,00"
04826,PARTICULIER,LA REOLE,27/03/2013,09:45:00,,"0,00"
08350,PARTICULIER,GENSAC,27/03/2013,13:36:00,,"0,00"
29369,PROFESSIONNEL,LA REOLE,27/03/2013,10:48:00,,"0,00"
27418,PARTICULIER,GENSAC,27/03/2013,13:37:00,,"0,00"
06956,PARTICULIER,LA REOLE,27/03/2013,10:56:00,,"0,00"
06963,PARTICULIER,GENSAC,27/03/2013,13:37:00,,"0,00"
06154,PARTICULIER,LA REOLE,27/03/2013,11:03:00,,"0,00"
06932,PARTICULIER,GENSAC,27/03/2013,13:37:00,,"0,00"
25196,PARTICULIER,LA REOLE,27/03/2013,11:03:00,,"0,00"
07437,PARTICULIER,GENSAC,27/03/2013,13:37:00,,"0,00"
05745,PARTICULIER,LA REOLE,27/03/2013,11:09:00,,"0,00"
27437,PARTICULIER,GENSAC,27/03/2013,13:37:00,,"0,00"
07390,PARTICULIER,LA REOLE,27/03/2013,11:31:00,,"0,00"
08112,PARTICULIER,GENSAC,27/03/2013,13:38:00,,"0,00"
03108,PROFESSIONNEL,LA REOLE,27/03/2013,11:50:00,,"0,00"
04260,PARTICULIER,GENSAC,27/03/2013,13:38:00,,"0,00"
05120,PARTICULIER,LA REOLE,27/03/2013,14:38:00,,"0,00"
25580,PARTICULIER,GENSAC,27/03/2013,13:38:00,,"0,00"
06998,PROFESSIONNEL,LA REOLE,27/03/2013,14:39:00,,"0,00"
04243,PARTICULIER,GENSAC,27/03/2013,14:11:00,,"0,00"
07386,PARTICULIER,LA REOLE,27/03/2013,14:46:00,,"0,00"
06917,PARTICULIER,GENSAC,27/03/2013,14:11:00,,"0,00"
25502,PARTICULIER,LA REOLE,27/03/2013,14:47:00,,"0,00"
07244,PARTICULIER,GENSAC,27/03/2013,14:22:00,,"0,00"
08076,PARTICULIER,LA REOLE,27/03/2013,14:48:00,,"0,00"
25165,PARTICULIER,GENSAC,27/03/2013,14:57:00,,"0,00"
07834,PARTICULIER,LA REOLE,27/03/2013,14:53:00,,"0,00"
07841,PARTICULIER,GENSAC,27/03/2013,15:03:00,,"0,00"
28368,PARTICULIER,LA REOLE,27/03/2013,15:32:00,,"0,00"
05915,PARTICULIER,GENSAC,27/03/2013,15:35:00,,"0,00"
06495,PARTICULIER,LA REOLE,27/03/2013,16:07:00,,"0,00"
04239,PARTICULIER,GENSAC,27/03/2013,15:36:00,,"0,00"
01757,PARTICULIER,LA REOLE,27/03/2013,16:55:00,,"0,00"
05720,PARTICULIER,GENSAC,27/03/2013,15:41:00,,"0,00"
25085,PROFESSIONNEL,LA REOLE,27/03/2013,16:56:00,,"0,00"
07841,PARTICULIER,GENSAC,27/03/2013,15:51:00,,"0,00"
03122,PROFESSIONNEL,LA REOLE,27/03/2013,16:59:00,,"0,00"
00919,PARTICULIER,GENSAC,27/03/2013,16:10:00,,"0,00"
24781,PARTICULIER,LA REOLE,27/03/2013,17:07:00,,"0,00"
08316,PROFESSIONNEL,GENSAC,27/03/2013,16:10:00,,"0,00"
25196,PARTICULIER,LA REOLE,27/03/2013,17:14:00,,"0,00"
27500,PARTICULIER,GENSAC,27/03/2013,16:19:00,,"0,00"
06042,PROFESSIONNEL,LA REOLE,27/03/2013,17:25:00,,"0,00"
08350,PARTICULIER,GENSAC,27/03/2013,16:22:00,,"0,00"
28373,PARTICULIER,LA REOLE,27/03/2013,17:33:00,,"0,00"
27472,PARTICULIER,GENSAC,27/03/2013,16:27:00,,"0,00"
06042,PROFESSIONNEL,LA REOLE,27/03/2013,17:33:00,,"0,00"
27437,PARTICULIER,GENSAC,27/03/2013,16:35:00,,"0,00"
09595,PARTICULIER,LA REOLE,27/03/2013,17:35:00,,"0,00"
27466,PARTICULIER,GENSAC,27/03/2013,17:07:00,,"0,00"
07552,PARTICULIER,GENSAC,27/03/2013,17:11:00,,"0,00"
00003,PARTICULIER,GENSAC,27/03/2013,17:33:00,,"0,00"
06177,PARTICULIER,RIMONS,27/03/2013,09:05:00,,"0,00"
01812,PARTICULIER,RIMONS,27/03/2013,09:18:00,,"0,00"
24979,PARTICULIER,RIMONS,27/03/2013,09:24:00,,"0,00"
00415,PARTICULIER,RIMONS,27/03/2013,09:35:00,,"0,00"
26443,PROFESSIONNEL,RIMONS,27/03/2013,09:36:00,,"0,00"
00166,PARTICULIER,RIMONS,27/03/2013,09:45:00,,"0,00"
05789,PARTICULIER,RIMONS,27/03/2013,10:20:00,,"0,00"
01803,PARTICULIER,RIMONS,27/03/2013,10:20:00,,"0,00"
04801,PARTICULIER,RIMONS,27/03/2013,10:32:00,,"0,00"
24878,PARTICULIER,RIMONS,27/03/2013,10:37:00,,"0,00"
00415,PARTICULIER,RIMONS,27/03/2013,10:43:00,,"0,00"
01803,PARTICULIER,RIMONS,27/03/2013,10:49:00,,"0,00"
25109,PARTICULIER,RIMONS,27/03/2013,11:01:00,,"0,00"
29377,PARTICULIER,RIMONS,27/03/2013,11:06:00,,"0,00"
24032,PARTICULIER,RIMONS,27/03/2013,11:34:00,,"0,00"
08145,PARTICULIER,RIMONS,27/03/2013,11:34:00,,"0,00"
25109,PARTICULIER,RIMONS,27/03/2013,11:42:00,,"0,00"
06045,PROFESSIONNEL,LA REOLE,28/03/2013,09:02:00,,"0,00"
02187,PARTICULIER,LA REOLE,28/03/2013,09:11:00,,"0,00"
01715,,LA REOLE,28/03/2013,09:13:00,,"0,00"
06543,PARTICULIER,RIMONS,28/03/2013,11:39:00,,"0,00"
07871,PROFESSIONNEL,LA REOLE,28/03/2013,09:26:00,,"0,00"
08398,PARTICULIER,RIMONS,28/03/2013,11:28:00,,"0,00"
05780,PARTICULIER,LA REOLE,28/03/2013,09:52:00,,"0,00"
25095,PARTICULIER,RIMONS,28/03/2013,11:09:00,,"0,00"
25505,PARTICULIER,LA REOLE,28/03/2013,09:52:00,,"0,00"
25615,PARTICULIER,RIMONS,28/03/2013,10:43:00,,"0,00"
01863,PARTICULIER,LA REOLE,28/03/2013,10:06:00,,"0,00"
26431,PARTICULIER,RIMONS,28/03/2013,10:30:00,,"0,00"
01561,PARTICULIER,LA REOLE,28/03/2013,11:04:00,,"0,00"
07374,PARTICULIER,RIMONS,28/03/2013,10:26:00,,"0,00"
04663,PARTICULIER,LA REOLE,28/03/2013,14:15:00,,"0,00"
04324,PARTICULIER,RIMONS,28/03/2013,10:16:00,,"0,00"
01903,PARTICULIER,LA REOLE,28/03/2013,14:45:00,,"0,00"
29231,PROFESSIONNEL,RIMONS,28/03/2013,09:58:00,,"0,00"
07378,PARTICULIER,LA REOLE,28/03/2013,14:49:00,,"0,00"
07692,PARTICULIER,RIMONS,28/03/2013,09:18:00,,"0,00"
25505,PARTICULIER,LA REOLE,28/03/2013,15:04:00,,"0,00"
06912,PARTICULIER,RIMONS,28/03/2013,09:13:00,,"0,00"
00857,PARTICULIER,LA REOLE,28/03/2013,15:09:00,,"0,00"
03083,PROFESSIONNEL,GENSAC,28/03/2013,10:20:00,,"0,00"
25601,PROFESSIONNEL,LA REOLE,28/03/2013,15:36:00,,"0,00"
07841,PARTICULIER,GENSAC,28/03/2013,10:30:00,,"0,00"
24919,PARTICULIER,LA REOLE,28/03/2013,15:52:00,,"0,00"
06488,PARTICULIER,GENSAC,28/03/2013,10:42:00,,"0,00"
28360,PARTICULIER,LA REOLE,28/03/2013,16:18:00,,"0,00"
28380,PARTICULIER,GENSAC,28/03/2013,10:53:00,,"0,00"
06183,PARTICULIER,LA REOLE,28/03/2013,17:32:00,,"0,00"
07570,PARTICULIER,GENSAC,28/03/2013,10:53:00,,"0,00"
25060,PARTICULIER,LA REOLE,28/03/2013,17:35:00,,"0,00"
01690,PARTICULIER,GENSAC,28/03/2013,10:59:00,,"0,00"
03083,PROFESSIONNEL,GENSAC,28/03/2013,11:06:00,,"0,00"
04252,PARTICULIER,GENSAC,28/03/2013,11:07:00,,"0,00"
06332,PARTICULIER,GENSAC,28/03/2013,11:12:00,,"0,00"
07841,PARTICULIER,GENSAC,28/03/2013,14:12:00,,"0,00"
08396,PARTICULIER,GENSAC,28/03/2013,14:30:00,,"0,00"
24896,PARTICULIER,GENSAC,28/03/2013,14:52:00,,"0,00"
03089,PROFESSIONNEL,GENSAC,28/03/2013,14:55:00,,"0,00"
27412,PARTICULIER,GENSAC,28/03/2013,15:27:00,,"0,00"
06560,PARTICULIER,GENSAC,28/03/2013,15:44:00,,"0,00"
03103,PROFESSIONNEL,GENSAC,28/03/2013,16:14:00,,"0,00"
06299,PARTICULIER,GENSAC,28/03/2013,16:22:00,,"0,00"
06332,PARTICULIER,GENSAC,28/03/2013,16:39:00,,"0,00"
