Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Etat et collectivites territoriales",44656,116487,2.61,429.23
"Emploi et Travail",38529,71162,1.85,418.33
Economie,25065,48970,1.95,484.95
"Jeunesse et Education",20147,36998,1.84,478.49
"Sante et Affaires sociales",19026,42525,2.24,499.74
"Societe et Politique de la ville",13139,29501,2.25,582.22
"Agriculture et Developpement durable",9362,24292,2.59,503.88
"Securite et Justice",7104,22464,3.16,481.11
"Europe et Monde",1101,8545,7.76,649.17
