Code du compteur,Année,Volume d'eau total,Mode d'obtention du volume,Ressource retenu pour la redevance
C33119005S0,2011,8821,M,Nappe phréatique
C33119002S10,2011,7350,M,Nappe captive
C33119005S0,2009,7119,M,Nappe phréatique
C33119002S10,2009,19639,M,Nappe captive
C33119003S10,2009,28094,M,Nappe captive
C33119001S10,2009,1258,M,Nappe captive
C33119005S0,2010,4687,M,Nappe phréatique
C33119002S10,2010,8142,M,Nappe captive
C33119003S10,2010,2321,M,Nappe captive
C33119001S10,2010,60578,M,Nappe captive
C33119005S0,2008,3228,M,Nappe phréatique
C33119002S10,2008,5535,M,Nappe captive
C33119003S10,2008,13126,M,Nappe captive
C33119001S10,2008,3,M,Nappe captive
C33119001S10,2011,176857,M,Nappe captive
C33119003S10,2011,19458,M,Nappe captive
C33119001,2003,643729,M,Nappe captive
C33119002,2003,21409,M,Nappe captive
C33119003,2003,38072,M,Nappe captive
C33119001,2004,349836,M,Nappe captive
C33119002,2004,7014,M,Nappe captive
C33119003,2004,3094,M,Nappe captive
C33119001,2005,477396,M,Nappe captive
C33119002,2005,6561,M,Nappe captive
C33119003,2005,40672,M,Nappe captive
C33119005,2005,4427,M,Nappe phréatique
C33119001,2006,333244,M,Nappe captive
C33119002,2006,8972,M,Nappe captive
C33119003,2006,4030,M,Nappe captive
C33119005,2006,14727,M,Nappe phréatique
C33119001,2007,174577,M,Nappe captive
C33119002,2007,12141,M,Nappe captive
C33119003,2007,1297,M,Nappe captive
C33119005,2007,2799,M,Nappe phréatique
