"Année"	"Date"	"Événement"
2012	"vendredi 6 janvier"	"Assemblée Générale des Amis de l'Estrigon"
2012	"Vendredi 13 janvier / 19h"	"Vœux du Président de  Brocas Pétanque  et remise des licences à la Petite Salle"
2012	"Samedi 14 janvier "	"Vœux du Maire à la Salle de l'Etang  à 18h30"
2012	"Samedi 14 janvier"	"Soirée Spectacle au Cercle"
2012	"Vendredi 20 janvier"	"Repas sauce de cochon au Cercle"
2012	"Samedi 28 janvier"	"Inauguration de la Salle de sports, de la Step, de la Mairie, de la Salle de Réceptions"
2012	"Samedi 28 janvier"	"Portes ouvertes de 9h à 11h /Réception à partir de 11h à la Salle de Sports"
2012	"Samedi 11 février"	"Soirée Spectacle au Cercle"
2012	"Samedi 18 février"	"Carnaval à la Salle de l'Etang"
2012	"Mercredi  22 février"	"Repas Morue au Cercle"
2012	"Jeudi 8 mars"	"Soirée lecture au Cercle"
2012	"Vendredi 16 mars"	"Repas Poule au Pot au Cercle"
2012	"Samedi 17 / Dimanche 18 mars"	"Journées Championnat Aquitaine Triplette Séniors au Boulodrome"
2012	"vendredi 23 /Dimanche 25 mars"	"Exposition de Métiers d'art à la Salle de l'Etang + Petite Salle"
2012	"Samedi 24 mars"	"Soirée Spectacle au Cercle"
2012	"Samedi 31 mars"	"Banquet des chasseurs à la Salle de l'Etang"
2012	"Vendredi 13 avril "	"Repas Panturon au Cercle"
2012	"Samedi 21 avril"	"Soirée Spectacle au Cercle"
2012	"Mardi 1er mai"	"Journée championnat Club Jeunes au Boulodrome"
2012	"Mardi 8  mai"	"Commémoration de l'Armistice  de la Seconde Guerre Mondiale"
2012	"Mardi 1er mai"	"Repas Omelette aux asperges au Cercle"
2012	"Mercerdi 16 mai /Dimanche 20"	"4èmes rencontres des trikers et bikers à la Salle de l'Etang"
2012	"Mercredi 16 mai / 20h45"	"Concours en Triplettes Promotion au Boulodrome"
2012	"Samedi 26 mai"	"Soirée Spectacle au Cercle"
2012	"Samedi 9 juin"	"Soirée Spectacle au Cercle"
2012	"Samedi 9 juin"	"Fête de la Danse avec Brocas Danse à la salle de l'Etang"
2012	"Jeudi 21 juin"	"Fête de la musique  au Cercle"
2012	"Samedi 23 juin"	"Journée Pétanque Féminine"
2012	"Samedi 23 juin"	"4ème édition de Brocas Fête l'Eté aux Arènes"
2012	"Vendrei 6 juillet/ Lundi 9 juillet"	"Fêtes Patronales dans tout le village"
2012	"Samedi 14 juillet"	"Vide Grenier /Concours de pêche /Ball Trap / Repas dansant /Feu d'artifice/ Bal Républicain"
2012	"Vendredi 27 juillet"	"3ème Marché des Producteurs de  Pays sur l'Esplanade de Forges"
2012	"Vendredi 3 août / 20h30"	"Concours en Doublette Promotion au boulodrome"
2012	"Samedi 1er septembre / 10h"	" Assemblée Générale  de la Chasse à la Maison de la Chasse  (à confirmer)"
2012	"Samedi 15 septembre"	"Soirée Spectacle au Cercle"
2012	"Dimanche 30 septembre"	"Kermesse Des Amis de l'Estrigon"
2012	"Vendredi 5 octobre"	"Repas sauce de veau au Cercle"
2012	"Samedi 20 octobre"	"Soirée Spectacle au Cercle"
2012	"Vendredi 26 octobre"	"Assemblée Générale de Brocas Pétanque à la Salle Michel Fourcade"
2012	"Jeudi 8 novembre"	"Soirée lecture au Cercle"
2012	"Dimanche 11 novembre"	"Commémoration de l'Armistice  de la Guerre de 1914/ 1918"
2012	"Samedi 17 novembre"	"Soirée Spectacle au Cercle"
2012	"Vendredi 23 novembre"	"Repas Axoa au Cercle"
2012	"Samedi 14 décembre"	"Soirée Spectacle au Cercle"
2012	"Samedi 22 décembre"	" Goûter des Anciens à la Salle de l'Etang"
2012	"Lundi 31 décembre"	"Réveillon de la Saint Sylvestre à la Salle de l'Etang organisé par l'ACCA"
