"Identité","Nombre de voix","Pourcentage"
"FOURCADE Michel",418,"81,01 %"
"BLANC-SIMON Jean-Luc",410,"79,46 %"
"SOURIGUES Angélique",402,"77,91 %"
"FORMIER DE LACHAUX Jean",399,"77,33 %"
"DUPOUY Serge",396,"76,74 %"
"MOREL Yves",395,"76,55 %"
"GALBERT Ingrid",393,"76,16 %"
"LASSALLE Jean-Pierre",391,"75,78 %"
"SCHAERER Fabienne",383,"74,22 %"
"MARCHAL Alain",379,"73,45 %"
"LAPORTE Gilles",371,"71,90 %"
"GARDEILS Valérie",367,"71,12 %"
"ELIMEAU Jean-Christophe",348,"67,44 %"
"MARTINEZ Laurent",348,"67,44 %"
"GILLET Nelly",345,"66,86 %"
