ANNEE_SCOLAIRE,MAT_ELEM,NOM,TPS,PS,MS,GS,CP,CE1,CE2,CM1,CM2,CLIN,CLISMAT,CLISELEM
2013-2014,MAT,MALHERBE (G. PHILIPE) PRIMAIRE MATERNELLE,0,23,19,21,0,0,0,0,0,0,0,0
2013-2014,ELEM,MALHERBE PRIMAIRE ELEMENTAIRE,0,0,0,0,64,41,51,40,41,9,0,0
2013-2014,MAT,MALHERBE PRIMAIRE MATERNELLE,0,33,25,31,0,0,0,0,0,0,0,0
2013-2014,MAT,MARCEAU MATERNELLE,0,79,72,61,0,0,0,0,0,0,0,0
2013-2014,MAT,MARIE REYNOARD MATERNELLE,0,77,75,72,0,0,0,0,0,0,0,0
2013-2014,ELEM,MENON (C. GEMOND) ELEMENTAIRE,0,0,0,0,0,0,57,44,48,0,0,0
2013-2014,ELEM,MENON (HEBERT) ELEMENTAIRE,0,0,0,0,47,52,0,0,0,0,0,0
2013-2014,MAT,MILLET  MATERNELLE,0,18,17,15,0,0,0,0,0,0,0,0
2013-2014,ELEM,NICOLAS CHORIER ELEMENTAIRE,0,0,0,0,44,35,40,27,41,0,0,0
2013-2014,MAT,NICOLAS CHORIER MATERNELLE,0,52,51,47,0,0,0,0,0,0,0,0
2013-2014,ELEM,PAUL BERT PRIMAIRE ELEMENTAIRE,0,0,0,0,44,40,38,37,34,0,0,22
2013-2014,MAT,PAUL BERT PRIMAIRE MATERNELLE ,0,47,47,34,0,0,0,0,0,0,11,0
2013-2014,ELEM,PAUL PAINLEVE ELEMENTAIRE,0,0,0,0,71,35,62,51,39,0,0,0
2013-2014,MAT,PAUL PAINLEVE MATERNELLE,0,43,32,39,0,0,0,0,0,0,0,0
2013-2014,ELEM,PORTE ST LAURENT PRIM ELEM,0,0,0,0,10,11,10,12,12,0,0,0
2013-2014,MAT,PORTE ST LAURENT PRIM MAT,0,13,12,14,0,0,0,0,0,0,0,0
2013-2014,MAT,RAMPE MATERNELLE,10,32,44,31,0,0,0,0,0,0,0,0
2013-2014,MAT,SAVANE MATERNELLE,0,33,33,21,0,0,0,0,0,0,0,0
2013-2014,ELEM,SIDI BRAHIM ELEMENTAIRE,0,0,0,0,53,44,44,56,25,0,0,0
2013-2014,MAT,SIDI BRAHIM MATERNELLE,0,50,69,45,0,0,0,0,0,0,0,0
2013-2014,ELEM,TREMBLES ELEMENTAIRE,0,0,0,0,22,19,23,20,22,0,0,0
2013-2014,ELEM,VERDERET PRIMAIRE ELEMENTAIRE,0,0,0,0,36,47,34,32,26,0,0,0
2013-2014,MAT,VERDERET PRIMAIRE MATERNELLE,3,54,51,45,0,0,0,0,0,0,0,0
