OBJECTID,NOM,ID_IA45,ADRESSE,CODE_INSEE,CODE_POSTAL,COMMUNE,TYPE_ETAB,VALIDITE,PLACEMENT,X,Y,TELEPHONE,SITES_INTERNET
169,Ecole primaire publique,0450585S,4 rue Verte,45306,45210,LA SELLE EN HERMOY,Ecole primaire publique,Juillet 2012,Géocodage,692031.3,6768140.9,02 38 92 00 41,http://www.education.gouv.fr/annuaire/45-loiret/sceaux-du-gatinais/etab/ecole-primaire-publique.html
170,Ecole primaire publique,0450578J,Impasse des Landes,45307,45210,LA SELLE SUR LE BIED,Ecole primaire publique,Juillet 2012,Géocodage,692086.55,6773704.95,02 38 87 33 81,http://www.education.gouv.fr/annuaire/45-loiret/la-selle-sur-le-bied/etab/ecole-primaire-publique.html
171,Ecole primaire publique,0451127F,Rue du Champ Luneau,45308,45400,SEMOY,Ecole primaire publique,Juillet 2012,Géocodage,621460.95,6759730.9,02 38 84 64 94,http://www.education.gouv.fr/annuaire/45-loiret/semoy/etab/ecole-primaire-publique.html
172,Ecole primaire publique,0450859P,5 Route de Thignonville,45310,45300,SERMAISES,Ecole primaire publique,Juillet 2012,Géocodage,640667.2,6799751.2,02 38 39 71 95,http://www.education.gouv.fr/annuaire/45-loiret/sermaises/etab/ecole-primaire-publique.html
173,Ecole primaire publique,0450880M,337 Grande rue,45313,45410,SOUGY,Ecole primaire publique,Juillet 2012,Géocodage,609930.6,6773231.8,02 38 75 81 06,http://www.education.gouv.fr/annuaire/45-loiret/sougy/etab/ecole-primaire-publique.html
174,Ecole primaire publique Centre,0450152W,28 rue du Coq,45315,45600,SULLY SUR LOIRE,Ecole primaire publique,Juillet 2012,Géocodage,653006.8,6740675.8,02 38 36 26 48,http://www.education.gouv.fr/annuaire/45-loiret/sully-sur-loire/etab/ecole-primaire-publique-centre.html
175,Ecole primaire publique JM Blanchard,0450151V,50 rue Voltaire,45315,45600,SULLY SUR LOIRE,Ecole primaire publique,Juillet 2012,Géocodage,652442.8,6740246.15,02 38 36 36 92,http://www.education.gouv.fr/annuaire/45-loiret/sully-sur-loire/etab/ecole-primaire-publique-j-m-blanchard.html
176,Ecole primaire publique,0450532J,8 rue de la Mairie,45316,45530,SURY AUX BOIS,Ecole primaire publique,Juillet 2012,Géocodage,650871.9,6762985.6,02 38 55 45 96,http://www.education.gouv.fr/annuaire/45-loiret/sury-aux-bois/etab/ecole-primaire-publique.html
177,Ecole primaire publique,0451314J,1 rue Abel Adam,45317,45190,TAVERS,Ecole primaire publique,Juillet 2012,Géocodage,596368.05,6740854.7,02 38 44 92 49,http://www.education.gouv.fr/annuaire/45-loiret/tavers/etab/ecole-primaire-publique.html
178,Ecole primaire publique,0450135C,8 rue des écoles,45321,45260,THIMORY,Ecole primaire publique,Juillet 2012,Manuel,670248.1,6758110.9,02 38 96 33 04,http://www.education.gouv.fr/annuaire/45-loiret/thimory/etab/ecole-primaire-publique.html
179,Ecole primaire publique,0451214A,8 rue du 20 août 1944,45324,45510,TIGY,Ecole primaire publique,Juillet 2012,Géocodage,640187.1,6744082.35,02 38 58 11 10,http://www.education.gouv.fr/annuaire/45-loiret/tigy/etab/ecole-primaire-publique.html
180,Ecole primaire publique,0451190Z,82 rue de la Mairie,45326,45310,TOURNOISIS,Ecole primaire publique,Juillet 2012,Géocodage,597905.081865,6768001.223383,02 38 80 82 14,http://www.education.gouv.fr/annuaire/45-loiret/tournoisis/etab/ecole-primaire-publique.html
181,Ecole primaire publique,0450217S,4 rue du Vieux Bourg,45227,45500,NEVOY,Ecole primaire publique,Juillet 2012,Géocodage,668432.00647,6734921.076057,02 38 67 25 81,http://www.education.gouv.fr/annuaire/45-loiret/nevoy/etab/ecole-primaire-publique.html
182,Ecole primaire publique Roger Giry,0450882P,48 rue Saint Sauveur,45228,45340,NIBELLE,Ecole primaire publique,Juillet 2012,Géocodage,649829.397025,6769245.571355,02 38 32 23 28,http://www.education.gouv.fr/annuaire/45-loiret/nibelle/etab/ecole-primaire-publique-roger-giry.html
183,Ecole primaire publique,0451447D,56 rue du 17 Juin 1940,45188,45470,LOURY,Ecole primaire publique,Juillet 2012,Géocodage,631809.702728,6767106.354902,02 38 52 74 29,http://www.education.gouv.fr/annuaire/45-loiret/loury/etab/ecole-primaire-publique.html
184,Ecole primaire publique Château-Vignon Grands,0451086L,49 rue de Château Vignon,45191,45330,MALESHERBES,Ecole primaire publique,Juillet 2012,Géocodage,656214.3,6799903.9,02 38 34 86 55,http://www.education.gouv.fr/annuaire/45-loiret/malesherbes/etab/ecole-primaire-publique-chateau-vignon-grands.html
185,Ecole primaire publique Mazagran petits,0450609T,2 place Mazagran,45191,45330,MALESHERBES,Ecole primaire publique,Juillet 2012,Manuel,656604.6,6799615.1,02 38 34 82 55,http://www.education.gouv.fr/annuaire/45-loiret/malesherbes/etab/ecole-primaire-publique-mazagran-petits.html
186,Ecole primaire publique,0450618C,7 rue de la gare,45192,45300,MANCHECOURT,Ecole primaire publique,Juillet 2012,Géocodage,651364,6793184.9,02 38 30 19 34,http://www.education.gouv.fr/annuaire/45-loiret/manchecourt/etab/ecole-primaire-publique.html
187,Ecole primaire publique,0451198H,Rue de Chantaloup,45193,45240,MARCILLY EN VILLETTE,Ecole primaire publique,Juillet 2012,Géocodage,626294.2,6741043.25,02 38 76 15 17,http://www.education.gouv.fr/annuaire/45-loiret/marcilly-en-villette/etab/ecole-primaire-publique.html
188,Ecole primaire publique,0451088N,86 place Jean Zay,45194,45430,MARDIE,Ecole primaire publique,Juillet 2012,Géocodage,629499.265978,6754365.885212,02 38 86 81 92,http://www.education.gouv.fr/annuaire/45-loiret/mardie/etab/ecole-primaire-publique.html
189,Ecole primaire publique,0450665D,2 rue des écoles,45195,45300,MAREAU AUX BOIS,Ecole primaire publique,Juillet 2012,Géocodage,639601.1,6778482.1,02 38 34 04 77,http://www.education.gouv.fr/annuaire/45-loiret/mareau-aux-bois/etab/ecole-primaire-publique.html
190,Ecole primaire publique,0451591K,381 rue Saint Fiacre,45196,45370,MAREAU AUX PRES,Ecole primaire publique,Juillet 2012,Géocodage,610151.829837,6750169.394326,02 38 45 67 02,http://www.education.gouv.fr/annuaire/45-loiret/mareau-aux-pres/etab/ecole-primaire-publique.html
191,Ecole primaire publique,0450416H,20 rue de la gare,45197,45760,MARIGNY LES USAGES,Ecole primaire publique,Juillet 2012,Géocodage,626439.007235,6762346.123235,02 38 75 06 41,http://www.education.gouv.fr/annuaire/45-loiret/marigny-les-usages/etab/ecole-primaire-publique.html
192,Ecole primaire publique,0450829G,2 rue de Triguères,45199,45220,MELLEROY,Ecole primaire publique,Juillet 2012,Géocodage,696495.6,6755088.7,02 38 95 31 85,http://www.education.gouv.fr/annuaire/45-loiret/melleroy/etab/ecole-primaire-publique.html
193,Ecole primaire publique,0451396Y,101 rue des écoles,45200,45240,MENESTREAU EN VILLETTE,Ecole primaire publique,Juillet 2012,Géocodage,626598.6,6733603,02 38 76 96 51,http://www.education.gouv.fr/annuaire/45-loiret/menestreau-en-villette/etab/ecole-primaire-publique.html
194,Ecole primaire publique,0450354R,2 A rue des Hauts Talons,45202,45190,MESSAS,Ecole primaire publique,Juillet 2012,Géocodage,597853.2,6746161.6,02 38 44 04 84,http://www.education.gouv.fr/annuaire/45-loiret/messas/etab/ecole-primaire-publique.html
195,Ecole primaire publique Jehan de Meung,0450376P,17 rue Saint Jean,45203,45130,MEUNG SUR LOIRE,Ecole primaire publique,Juillet 2012,Géocodage,602813,6748265.5,02 38 44 31 55,http://www.education.gouv.fr/annuaire/45-loiret/meung-sur-loire/etab/ecole-primaire-publique-jehan-de-meung.html
196,Ecole primaire publique La Nivelle,0450377R,29 place Roger Gauthier,45203,45130,MEUNG SUR LOIRE,Ecole primaire publique,Juillet 2012,Manuel,602542.8,6748205.4,02 38 44 36 44,http://www.education.gouv.fr/annuaire/45-loiret/meung-sur-loire/etab/ecole-primaire-publique-la-nivelle.html
197,Ecole primaire publique Les Potières,0451372X,2 rue des Vignes,45203,45130,MEUNG SUR LOIRE,Ecole primaire publique,Juillet 2012,Géocodage,603480.8,6749097.2,02 38 44 28 81,http://www.education.gouv.fr/annuaire/45-loiret/meung-sur-loire/etab/ecole-primaire-publique-les-potieres.html
198,Ecole primaire publique Papecets,0451298S,5 rue Jean Macé,45203,45130,MEUNG SUR LOIRE,Ecole primaire publique,Juillet 2012,Manuel,602542.8,6748205.4,02 38 44 30 17,http://www.education.gouv.fr/annuaire/45-loiret/meung-sur-loire/etab/ecole-primaire-publique-papecets.html
199,Ecole primaire publique,0450337X,36 rue de Bourg,45204,45370,MEZIERES LEZ CLERY,Ecole primaire publique,Juillet 2012,Géocodage,610517.647219,6747175.370478,02 38 45 65 00,http://www.education.gouv.fr/annuaire/45-loiret/mezieres-lez-clery/etab/ecole-primaire-publique.html
200,Ecole primaire publique,0450500Z,3 rue des écoles,45206,45490,MIGNERES,Ecole primaire publique,Juillet 2012,Géocodage,671990,6772011.7,02 38 87 87 52,http://www.education.gouv.fr/annuaire/45-loiret/migneres/etab/ecole-primaire-publique.html
201,Ecole primaire publique,0450499Y,Rue de la Mairie,45207,45490,MIGNERETTE,Ecole primaire publique,Juillet 2012,Géocodage,670391.15,6772973.95,02 38 96 49 07,http://www.education.gouv.fr/annuaire/45-loiret/mignerette/etab/ecole-primaire-publique.html
202,Ecole primaire publique Albert Thierry,0450551E,8 rue de la Pontonnerie,45208,45200,MONTARGIS,Ecole primaire publique,Juillet 2012,Géocodage,679541.9,6766742.8,02 38 85 14 35,http://www.education.gouv.fr/annuaire/45-loiret/montargis/etab/ecole-primaire-publique-albert-thierry.html
