"Élections cantonales 2011 – 1er tour"	"Voix"	"% Inscrits"	"% Votants"
"Inscrits"	626		
"Abstentions"	282	45,05	
"Votants"	344	54,95	
"Blancs ou nuls"	17	2,72	4,94
"Exprimés"	327	52,24	95,06
