Année;Cité d'Alet-Ouvert;Cité d'Alet-NbTentes;Cité d'Alet-CATentes;Cité d'Alet-NbCaravCC;Cité d'Alet-CACaravCC;Les Nielles-Ouvert;Les Nielles-NbTentes;Les Nielles-CATentes;Les Nielles-NbCaravCC;Les Nielles-CACaravCC;Les Ilots-Ouvert;Les Ilots-NbCaravCC;Les Ilots-CACaravCC;Le Nicet-Ouvert;Le Nicet-NbTentes;Le Nicet-CATentes;Le Nicet-NbCaravCC;Le Nicet-CACaravCC
2011;136;19490;132 582,20 €;21817;181 505,79 €;59;4155;26 901,06 €;5089;48 347,20 €;178;8498;55 018,74 €;59;6276;39 914,76 €;8783;69 232,18 €
2012;147;18390;131 698,00 €;20212;178 407,00 €;54;2557;17 828,41 €;4660;42 712,53 €;221;11552;74 676,00 €;54;4647;31 514,88 €;6415;53 622,36 €
2013;111;19481;141 577,16 €;18068;163 240,30 €;54;692;5 133,80 €;5516;49 674,03 €;227;18716;120 598,19 €;0;0;0;0;0
2014;122;19229;147 187,50 €;19027;184 428,67 €;52;313;2 755,50 €;5454;50 756,35 €;229;22424;151 854,10 €;0;0;0;0;0
